Data from lapisWhite_Reflection__0__33.txt Node;
"Date: Fri Sep 12 11:15:02 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-68,3
186,281;-2657,35
186,552;87,26
186,822;37,69
187,093;-200
187,364;-2,65
187,635;4062,77
187,905;66,65
188,176;61,56
188,447;50,66
188,717;42,65
188,988;45,3
189,258;46,99
189,529;50,54
189,8;50,9
190,07;49,01
190,341;49,93
190,611;46,1
190,882;45,69
191,152;45,62
191,423;45,59
191,693;44,92
191,964;45,7
192,234;44,97
192,505;44,18
192,775;44,73
193,045;43,96
193,316;44,05
193,586;43,97
193,856;43,04
194,127;43,29
194,397;43,87
194,667;44,32
194,938;44,17
195,208;43,61
195,478;43,79
195,748;43,22
196,019;42,42
196,289;42,67
196,559;42,65
196,829;42,5
197,099;42,78
197,37;42,9
197,64;42,89
197,91;43,19
198,18;43,23
198,45;42,57
198,72;43,05
198,99;42,8
199,26;42,83
199,53;43,08
199,8;43,11
200,07;43,14
200,34;42,66
200,61;42,64
200,88;43,03
201,15;42,57
201,42;42,98
201,69;43,29
201,96;43,34
202,23;43,06
202,499;43,09
202,769;43,02
203,039;42,96
203,309;42,64
203,579;42,38
203,849;42,34
204,118;42,44
204,388;42,19
204,658;42,13
204,927;41,84
205,197;41,76
205,467;41,52
205,736;41,29
206,006;41,18
206,276;41,03
206,545;40,6
206,815;40,73
207,085;40,46
207,354;40,23
207,624;40,02
207,893;39,9
208,163;39,7
208,432;39,58
208,702;39,29
208,971;39,38
209,241;39,31
209,51;39,1
209,78;38,96
210,049;38,86
210,318;38,73
210,588;38,66
210,857;38,52
211,127;38,42
211,396;38,38
211,665;38,28
211,935;38,26
212,204;38,27
212,473;38,12
212,742;38,12
213,012;38
213,281;37,97
213,55;37,88
213,819;37,93
214,088;37,81
214,358;37,89
214,627;37,83
214,896;37,79
215,165;37,76
215,434;37,74
215,703;37,63
215,972;37,59
216,241;37,59
216,51;37,6
