Data from lapisWhite_Reflection__1__34.txt Node;
"Date: Fri Sep 12 11:15:51 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-755,81
186,281;-2007,35
186,552;109,72
186,822;36,74
187,093;45,45
187,364;-33,34
187,635;13281,91
187,905;108,31
188,176;44,46
188,447;40,37
188,717;33,64
188,988;33,62
189,258;35,01
189,529;35,61
189,8;35,31
190,07;30,12
190,341;30
190,611;26,77
190,882;25,48
191,152;25,8
191,423;26,11
191,693;25,59
191,964;24,16
192,234;24,57
192,505;23,14
192,775;23,08
193,045;22,28
193,316;21,08
193,586;20,22
193,856;20,18
194,127;19,17
194,397;18,66
194,667;18,8
194,938;18,34
195,208;17,61
195,478;17,65
195,748;17,18
196,019;16,6
196,289;16,5
196,559;16,1
196,829;15,49
197,099;15
197,37;14,57
197,64;14,72
197,91;14,43
198,18;14,32
198,45;13,77
198,72;13,58
198,99;13,13
199,26;12,89
199,53;12,8
199,8;13,1
200,07;12,8
200,34;12,1
200,61;12,04
200,88;12,05
201,15;11,48
201,42;11,67
201,69;11,63
201,96;11,54
202,23;11,54
202,499;11,25
202,769;11,14
203,039;11,12
203,309;10,75
203,579;10,41
203,849;10,34
204,118;10,22
204,388;9,93
204,658;10,01
204,927;9,79
205,197;9,55
205,467;9,14
205,736;9,15
206,006;9,16
206,276;8,97
206,545;8,73
206,815;8,73
207,085;8,7
207,354;8,52
207,624;8,52
207,893;8,21
208,163;8,21
208,432;8,07
208,702;7,89
208,971;7,94
209,241;8,02
209,51;8,03
209,78;7,98
210,049;8
210,318;7,82
210,588;7,87
210,857;7,8
211,127;7,7
211,396;7,71
211,665;7,6
211,935;7,63
212,204;7,54
212,473;7,48
212,742;7,38
213,012;7,31
213,281;7,22
213,55;7,19
213,819;7,15
214,088;7,14
214,358;7,09
214,627;6,96
214,896;6,86
215,165;6,64
215,434;6,61
215,703;6,51
215,972;6,47
216,241;6,39
216,51;6,34
216,779;6,29
217,048;6,23
217,317;6,19
217,586;6,13
217,855;6,12
218,124;6,04
218,393;5,99
218,662;5,98
218,931;5,9
219,2;5,85
219,469;5,79
219,738;5,73
220,006;5,7
220,275;5,7
220,544;5,67
220,813;5,65
221,082;5,63
221,35;5,62
221,619;5,62
221,888;5,59
222,157;5,56
222,425;5,56
222,694;5,52
222,963;5,51
223,231;5,47
223,5;5,48
223,769;5,46
224,037;5,44
224,306;5,43
224,574;5,42
224,843;5,43
225,111;5,43
225,38;5,41
225,648;5,4
225,917;5,33
226,185;5,32
226,454;5,32
226,722;5,3
226,991;5,31
227,259;5,29
227,528;5,27
227,796;5,29
228,064;5,26
228,333;5,24
228,601;5,25
228,869;5,22
229,138;5,21
229,406;5,22
229,674;5,21
229,942;5,22
230,211;5,24
230,479;5,23
230,747;5,2
231,015;5,2
231,283;5,19
231,552;5,2
231,82;5,16
232,088;5,17
232,356;5,18
232,624;5,16
232,892;5,16
233,16;5,15
233,428;5,12
233,696;5,12
233,964;5,1
234,232;5,09
234,5;5,09
234,768;5,07
235,036;5,07
235,304;5,06
235,572;5,04
235,84;5,03
236,108;5,01
236,376;5,03
236,644;5,02
236,912;5,02
237,179;5,02
237,447;5,04
237,715;5,03
237,983;5,01
238,251;4,99
238,518;4,98
238,786;4,99
239,054;4,99
239,322;5
239,589;5,02
239,857;5,03
240,125;5,05
240,392;5,06
240,66;5,05
240,927;5,06
241,195;5,05
241,463;5,04
241,73;5,06
241,998;5,05
242,265;5,05
242,533;5,05
242,8;5,05
243,068;5,05
243,335;5,05
243,603;5,06
243,87;5,08
244,138;5,08
244,405;5,08
244,672;5,09
244,94;5,07
245,207;5,06
245,474;5,06
245,742;5,05
246,009;5,04
246,276;5,03
246,544;5,02
246,811;5,02
247,078;5,02
247,345;5,01
247,613;5,01
247,88;5,01
248,147;5,01
248,414;5,01
248,681;5,01
248,948;5,02
249,215;5,02
249,483;5,01
249,75;5,01
250,017;5,02
250,284;5,01
250,551;5,02
250,818;5,02
251,085;5,01
251,352;5,01
251,619;5
251,886;5
252,153;5
252,42;5
252,687;5
252,953;5
253,22;5
253,487;4,99
253,754;4,99
254,021;4,99
254,288;4,98
254,555;4,97
254,821;4,96
255,088;4,96
255,355;4,96
255,622;4,96
255,888;4,94
256,155;4,93
256,422;4,93
256,688;4,93
256,955;4,92
257,222;4,92
257,488;4,92
257,755;4,91
258,022;4,92
258,288;4,91
258,555;4,89
258,821;4,88
259,088;4,88
259,354;4,87
259,621;4,86
259,887;4,86
260,154;4,85
260,42;4,84
260,687;4,83
260,953;4,82
261,219;4,8
261,486;4,79
261,752;4,78
262,019;4,78
262,285;4,77
262,551;4,76
262,818;4,75
263,084;4,74
263,35;4,73
263,616;4,71
263,883;4,71
264,149;4,71
264,415;4,7
264,681;4,71
264,947;4,7
265,214;4,7
265,48;4,7
265,746;4,7
266,012;4,69
266,278;4,68
266,544;4,68
266,81;4,68
267,076;4,68
267,342;4,68
267,608;4,67
267,874;4,68
268,14;4,68
268,406;4,68
268,672;4,69
268,938;4,69
269,204;4,68
269,47;4,67
269,736;4,65
270,002;4,65
270,268;4,63
270,533;4,63
270,799;4,62
271,065;4,62
271,331;4,61
271,597;4,61
271,862;4,61
272,128;4,6
272,394;4,59
272,66;4,59
272,925;4,6
273,191;4,6
273,457;4,59
273,722;4,59
273,988;4,58
274,254;4,56
274,519;4,56
274,785;4,56
275,05;4,57
275,316;4,58
275,582;4,58
275,847;4,57
276,113;4,57
276,378;4,57
276,644;4,56
276,909;4,56
277,174;4,56
277,44;4,56
277,705;4,57
277,971;4,59
278,236;4,58
278,501;4,56
278,767;4,56
279,032;4,55
279,297;4,54
279,563;4,56
279,828;4,56
280,093;4,56
280,358;4,56
280,624;4,55
280,889;4,55
281,154;4,55
281,419;4,56
281,684;4,56
281,95;4,57
282,215;4,57
282,48;4,58
282,745;4,58
283,01;4,57
283,275;4,57
283,54;4,55
283,805;4,56
284,07;4,57
284,335;4,57
284,6;4,57
284,865;4,58
285,13;4,57
285,395;4,58
285,66;4,59
285,925;4,59
286,19;4,6
286,455;4,62
286,72;4,63
286,985;4,64
287,249;4,65
287,514;4,65
287,779;4,67
288,044;4,66
288,309;4,67
288,573;4,68
288,838;4,69
289,103;4,71
289,367;4,73
289,632;4,73
289,897;4,74
290,161;4,76
290,426;4,77
290,691;4,79
290,955;4,8
291,22;4,81
291,484;4,82
291,749;4,85
292,014;4,86
292,278;4,88
292,543;4,89
292,807;4,9
293,072;4,93
293,336;4,94
293,6;4,96
293,865;4,98
294,129;5,01
294,394;5,03
294,658;5,06
294,922;5,08
295,187;5,1
295,451;5,13
295,715;5,15
295,98;5,18
296,244;5,2
296,508;5,22
296,773;5,25
297,037;5,27
297,301;5,28
297,565;5,32
297,829;5,33
298,094;5,35
298,358;5,38
298,622;5,4
298,886;5,42
299,15;5,46
299,414;5,48
299,678;5,5
299,942;5,52
300,206;5,53
300,47;5,56
300,734;5,59
300,998;5,61
301,262;5,64
301,526;5,66
301,79;5,68
302,054;5,7
302,318;5,72
302,582;5,75
302,846;5,77
303,11;5,79
303,374;5,82
303,637;5,84
303,901;5,87
304,165;5,88
304,429;5,92
304,693;5,94
304,956;5,97
305,22;5,99
305,484;6,01
305,747;6,05
306,011;6,07
306,275;6,09
306,538;6,13
306,802;6,15
307,066;6,18
307,329;6,21
307,593;6,25
307,856;6,28
308,12;6,33
308,384;6,37
308,647;6,39
308,911;6,41
309,174;6,44
309,438;6,46
309,701;6,49
309,964;6,51
310,228;6,54
310,491;6,56
310,755;6,59
311,018;6,63
311,281;6,65
311,545;6,69
311,808;6,71
312,071;6,71
312,335;6,73
312,598;6,76
312,861;6,79
313,124;6,81
313,388;6,83
313,651;6,86
313,914;6,88
314,177;6,91
314,44;6,94
314,704;6,96
314,967;7
315,23;7,03
315,493;7,08
315,756;7,09
316,019;7,13
316,282;7,18
316,545;7,21
316,808;7,25
317,071;7,28
317,334;7,32
317,597;7,35
317,86;7,38
318,123;7,41
318,386;7,44
318,649;7,47
318,912;7,5
319,175;7,52
319,437;7,55
319,7;7,59
319,963;7,61
320,226;7,64
320,489;7,68
320,751;7,7
321,014;7,72
321,277;7,76
321,54;7,79
321,802;7,82
322,065;7,85
322,328;7,87
322,59;7,9
322,853;7,94
323,116;7,99
323,378;8,04
323,641;8,09
323,903;8,13
324,166;8,17
324,428;8,21
324,691;8,23
324,953;8,26
325,216;8,28
325,478;8,33
325,741;8,37
326,003;8,4
