Data from BiaccaWhite_Reflection__3__49.txt Node;
"Date: Thu Sep 11 17:07:23 CEST 2025 User: sycur";
186,01;-3788,83
186,281;2640
186,552;511,05
186,822;205,48
187,093;0
187,364;-342,78
187,635;-178,22
187,905;109,55
188,176;64,32
188,447;57,25
188,717;50,15
188,988;51,37
189,258;52,29
189,529;57,56
189,8;58,52
190,07;54,36
190,341;50,82
190,611;46,04
190,882;45,63
191,152;46,1
191,423;43,72
191,693;41,59
191,964;39,57
192,234;38,65
192,505;35,63
192,775;35,14
193,045;34,05
193,316;32,73
193,586;32,36
193,856;31,34
194,127;30,85
194,397;30,38
194,667;29,97
194,938;28,41
195,208;27,48
195,478;26,1
195,748;26,14
196,019;25,66
196,289;24,88
196,559;24,13
196,829;23,07
197,099;22,65
197,37;22,41
197,64;21,41
197,91;20,6
198,18;20,37
198,45;19,59
198,72;19,09
198,99;18,76
199,26;18,1
199,53;18,04
199,8;17,37
200,07;16,55
200,34;15,98
200,61;15,97
200,88;15,53
201,15;15,41
201,42;14,37
201,69;13,84
201,96;13,65
202,23;13,35
202,499;12,85
202,769;12,92
203,039;12,81
203,309;12,87
203,579;12,55
203,849;12,21
204,118;11,87
204,388;11,43
204,658;11,09
204,927;11,04
205,197;10,62
205,467;10,22
205,736;10,11
206,006;9,82
206,276;9,41
206,545;9,18
206,815;9,01
207,085;8,96
207,354;8,74
207,624;8,59
207,893;8,35
208,163;8,37
208,432;8,06
208,702;7,92
208,971;7,69
209,241;7,58
209,51;7,56
209,78;7,46
210,049;7,43
210,318;7,25
210,588;7,09
210,857;7,01
211,127;6,98
211,396;6,84
211,665;6,91
211,935;6,95
212,204;6,93
212,473;6,76
212,742;6,74
213,012;6,68
213,281;6,62
213,55;6,59
213,819;6,37
214,088;6,28
214,358;6,18
214,627;6,14
214,896;6,05
215,165;5,96
215,434;5,94
215,703;5,89
215,972;5,8
216,241;5,7
216,51;5,71
216,779;5,66
217,048;5,64
217,317;5,5
217,586;5,46
217,855;5,34
218,124;5,36
218,393;5,31
218,662;5,22
218,931;5,17
219,2;5,08
219,469;5,06
219,738;4,99
220,006;4,94
220,275;4,88
