Data from BiaccaWhite_Reflection__4__50.txt Node;
"Date: Thu Sep 11 17:08:01 CEST 2025 User: sycur";
186,01;-1409,79
186,281;2022,26
186,552;475,67
186,822;458,22
187,093;0
187,364;0,41
187,635;15,34
187,905;65,61
188,176;47,4
188,447;47,66
188,717;44,52
188,988;46,64
189,258;46,75
189,529;45,49
189,8;47,91
190,07;43
190,341;40,71
190,611;36,26
190,882;36,66
191,152;36,51
191,423;34,81
191,693;34,06
191,964;34,02
192,234;33,35
192,505;31,59
192,775;30,7
193,045;30,05
193,316;29,54
193,586;28,23
193,856;27,18
194,127;26,53
194,397;25,75
194,667;25,51
194,938;24,92
195,208;24,87
195,478;23,36
195,748;22,44
196,019;22,18
196,289;22,56
196,559;21,82
196,829;20,99
197,099;20,25
197,37;19,7
197,64;18,51
197,91;17,94
198,18;17,43
198,45;16,79
198,72;16,26
198,99;15,85
199,26;15,44
199,53;15,02
199,8;14,41
200,07;13,98
200,34;13,46
200,61;13,14
200,88;12,61
201,15;12,61
201,42;12,56
201,69;11,95
201,96;11,67
202,23;11,43
202,499;11,09
202,769;11,41
203,039;11,32
203,309;11,56
203,579;11,24
203,849;11,21
204,118;10,8
204,388;10,61
204,658;10,41
204,927;10,39
205,197;10,12
205,467;9,78
205,736;9,64
206,006;9,46
206,276;9,19
206,545;8,98
206,815;8,79
207,085;8,58
207,354;8,63
207,624;8,39
207,893;8,17
208,163;8,21
208,432;7,77
208,702;7,65
208,971;7,47
209,241;7,36
209,51;7,2
209,78;7,22
210,049;7,12
210,318;6,92
210,588;6,84
210,857;6,83
211,127;6,83
211,396;6,72
211,665;6,66
211,935;6,66
212,204;6,68
212,473;6,56
212,742;6,53
213,012;6,33
213,281;6,23
213,55;6,12
213,819;5,92
214,088;5,89
214,358;5,84
214,627;5,83
214,896;5,74
215,165;5,66
215,434;5,54
215,703;5,56
215,972;5,51
216,241;5,42
216,51;5,39
216,779;5,34
217,048;5,31
217,317;5,21
217,586;5,1
217,855;4,99
218,124;4,99
218,393;4,95
218,662;4,93
218,931;4,86
219,2;4,91
219,469;4,83
219,738;4,81
220,006;4,75
220,275;4,64
220,544;4,62
220,813;4,53
221,082;4,47
221,35;4,36
221,619;4,3
221,888;4,26
222,157;4,26
222,425;4,21
222,694;4,12
222,963;4,09
223,231;4,08
223,5;4,05
223,769;3,99
224,037;3,95
224,306;3,94
224,574;3,91
224,843;3,81
225,111;3,83
225,38;3,8
225,648;3,76
225,917;3,73
226,185;3,74
226,454;3,72
226,722;3,7
226,991;3,68
227,259;3,65
227,528;3,64
227,796;3,58
228,064;3,55
228,333;3,53
228,601;3,54
228,869;3,5
229,138;3,46
229,406;3,41
229,674;3,4
229,942;3,39
230,211;3,4
230,479;3,4
230,747;3,37
231,015;3,34
231,283;3,34
231,552;3,35
231,82;3,29
232,088;3,3
232,356;3,3
232,624;3,29
232,892;3,29
233,16;3,25
233,428;3,24
233,696;3,24
233,964;3,23
234,232;3,19
234,5;3,17
234,768;3,17
235,036;3,19
235,304;3,17
235,572;3,15
235,84;3,12
236,108;3,12
