Data from BiaccaWhite_Reflection__0__46.txt Node;
"Date: Thu Sep 11 17:04:56 CEST 2025 User: sycur";
186,01;-1453,66
186,281;1417,36
186,552;351,54
186,822;284,14
187,093;0
187,364;-502,78
187,635;-156,96
187,905;102,98
188,176;50,43
188,447;44,93
188,717;39,81
188,988;41,96
189,258;44,14
189,529;44,55
189,8;43,88
190,07;43,8
190,341;41,98
190,611;37,34
190,882;35,39
191,152;33,64
191,423;33,42
191,693;32,02
191,964;31,89
192,234;31,34
192,505;29,56
192,775;29,48
193,045;28,45
193,316;27,96
193,586;27,19
193,856;26,11
194,127;25,79
194,397;25,8
194,667;25,18
194,938;24,54
195,208;23,74
195,478;23,12
195,748;22,75
196,019;22,34
196,289;22,86
196,559;22,12
196,829;21,6
197,099;20,95
197,37;20,34
197,64;19,27
197,91;18,89
198,18;18,62
198,45;17,57
198,72;16,72
198,99;16,3
199,26;15,85
199,53;15,68
199,8;15,13
200,07;14,2
200,34;13,85
200,61;13,47
200,88;13,32
201,15;13,2
201,42;12,65
201,69;12,06
201,96;11,39
202,23;11,45
202,499;11,26
202,769;11,29
203,039;11,45
203,309;11,55
203,579;11,33
203,849;11,17
204,118;11,04
204,388;11,05
204,658;10,78
204,927;10,67
205,197;10,59
205,467;10,29
205,736;10,37
206,006;10,2
206,276;9,98
206,545;9,89
206,815;9,76
207,085;9,59
207,354;9,63
207,624;9,79
207,893;9,52
208,163;9,61
208,432;9,35
208,702;9,25
208,971;9,06
209,241;8,98
209,51;8,94
209,78;8,94
210,049;8,93
210,318;8,97
210,588;8,99
210,857;8,98
211,127;9,09
211,396;8,95
211,665;9,08
211,935;9,11
212,204;9,18
212,473;9,03
212,742;9,08
213,012;9,06
213,281;8,96
213,55;9,01
213,819;8,91
214,088;8,88
214,358;8,85
214,627;8,95
214,896;8,89
215,165;8,87
215,434;8,85
215,703;8,87
215,972;8,79
216,241;8,76
216,51;8,84
216,779;8,76
217,048;8,75
217,317;8,63
217,586;8,59
217,855;8,48
218,124;8,58
218,393;8,57
218,662;8,57
218,931;8,5
219,2;8,42
219,469;8,39
219,738;8,35
220,006;8,34
220,275;8,22
220,544;8,19
220,813;8,08
221,082;7,97
221,35;7,87
221,619;7,82
221,888;7,75
222,157;7,63
222,425;7,58
222,694;7,49
222,963;7,39
223,231;7,31
223,5;7,24
223,769;7,11
224,037;6,98
224,306;6,88
224,574;6,76
224,843;6,69
225,111;6,61
225,38;6,54
225,648;6,42
225,917;6,34
226,185;6,27
226,454;6,2
226,722;6,11
226,991;6
227,259;5,87
227,528;5,77
227,796;5,65
228,064;5,54
228,333;5,46
228,601;5,38
228,869;5,26
229,138;5,16
229,406;5,07
229,674;5
229,942;4,89
230,211;4,84
230,479;4,78
230,747;4,68
231,015;4,58
231,283;4,49
231,552;4,43
231,82;4,32
232,088;4,24
232,356;4,17
232,624;4,09
232,892;4,04
233,16;3,95
233,428;3,88
233,696;3,82
233,964;3,77
234,232;3,7
234,5;3,66
234,768;3,6
235,036;3,57
235,304;3,51
235,572;3,46
235,84;3,41
236,108;3,36
236,376;3,34
236,644;3,32
236,912;3,28
237,179;3,23
237,447;3,2
237,715;3,17
237,983;3,15
238,251;3,14
238,518;3,11
238,786;3,11
239,054;3,11
239,322;3,07
239,589;3,06
