Data from BiaccaWhite_Reflection__1__47.txt Node;
"Date: Thu Sep 11 17:06:04 CEST 2025 User: sycur";
186,01;-2412
186,281;1453,96
186,552;325,28
186,822;259,11
187,093;0
187,364;-461,9
187,635;-149,7
187,905;118,72
188,176;66,51
188,447;53,88
188,717;43,19
188,988;42,68
189,258;41,76
189,529;43,5
189,8;44,78
190,07;45,02
190,341;42,35
190,611;39,31
190,882;38,43
191,152;37,66
191,423;36,75
191,693;36,25
191,964;35,23
192,234;34,94
192,505;32,68
192,775;31,65
193,045;30,56
193,316;29,96
193,586;28,92
193,856;27,78
194,127;27,72
194,397;27,44
194,667;27,18
194,938;26,09
195,208;25,59
195,478;24,5
195,748;23,59
196,019;23,29
196,289;23,41
196,559;22,67
196,829;21,99
197,099;21,21
197,37;20,55
197,64;19,51
197,91;18,88
198,18;19,11
198,45;19,1
198,72;18,69
198,99;17,92
199,26;17,4
199,53;17,26
199,8;16,52
200,07;15,87
200,34;15,05
200,61;14,96
200,88;14,74
201,15;14,63
201,42;14,24
201,69;13,49
201,96;13,44
202,23;13,15
202,499;12,77
202,769;12,86
203,039;12,52
203,309;12,51
203,579;12,28
203,849;11,74
204,118;11,06
204,388;10,73
204,658;10,64
204,927;10,59
205,197;10,32
205,467;9,97
205,736;10,06
206,006;9,94
206,276;9,64
206,545;9,4
206,815;9,25
207,085;8,97
207,354;8,99
207,624;8,67
207,893;8,45
208,163;8,43
208,432;8,1
208,702;7,98
208,971;7,81
209,241;7,62
209,51;7,51
209,78;7,54
210,049;7,45
210,318;7,35
210,588;7,2
210,857;7,1
211,127;7,04
211,396;6,89
211,665;6,89
211,935;6,91
212,204;6,83
212,473;6,62
212,742;6,74
213,012;6,59
213,281;6,5
213,55;6,55
213,819;6,34
214,088;6,28
214,358;6,2
214,627;6,15
214,896;6,06
215,165;6,08
215,434;5,96
215,703;5,85
215,972;5,7
216,241;5,62
216,51;5,57
216,779;5,55
217,048;5,47
217,317;5,36
217,586;5,28
217,855;5,14
218,124;5,17
218,393;5,12
218,662;5,1
218,931;5
219,2;4,89
219,469;4,92
219,738;4,86
220,006;4,84
220,275;4,78
220,544;4,78
220,813;4,69
221,082;4,66
221,35;4,64
221,619;4,67
221,888;4,62
222,157;4,59
222,425;4,53
222,694;4,47
222,963;4,42
223,231;4,38
223,5;4,38
223,769;4,32
224,037;4,26
224,306;4,25
224,574;4,25
224,843;4,24
225,111;4,2
225,38;4,19
225,648;4,18
225,917;4,13
226,185;4,1
226,454;4,05
226,722;4,02
226,991;4,01
227,259;3,96
227,528;3,95
227,796;3,91
228,064;3,88
228,333;3,88
228,601;3,86
228,869;3,79
229,138;3,74
229,406;3,69
229,674;3,67
229,942;3,64
230,211;3,63
230,479;3,61
230,747;3,58
231,015;3,56
231,283;3,53
231,552;3,54
231,82;3,5
232,088;3,48
232,356;3,47
232,624;3,45
232,892;3,45
233,16;3,42
233,428;3,41
233,696;3,41
233,964;3,4
234,232;3,39
234,5;3,4
234,768;3,42
235,036;3,43
235,304;3,42
235,572;3,39
235,84;3,39
236,108;3,38
236,376;3,39
236,644;3,4
236,912;3,39
237,179;3,36
237,447;3,39
237,715;3,41
237,983;3,41
238,251;3,42
238,518;3,42
238,786;3,44
239,054;3,45
239,322;3,44
239,589;3,47
239,857;3,48
240,125;3,51
240,392;3,52
240,66;3,54
240,927;3,54
241,195;3,56
241,463;3,57
241,73;3,59
241,998;3,59
242,265;3,59
242,533;3,62
242,8;3,64
243,068;3,63
243,335;3,62
243,603;3,63
243,87;3,63
244,138;3,63
244,405;3,64
244,672;3,65
244,94;3,64
245,207;3,63
245,474;3,64
245,742;3,62
246,009;3,61
246,276;3,61
246,544;3,59
246,811;3,59
247,078;3,59
247,345;3,58
247,613;3,58
247,88;3,58
