Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3586,4;65535;3584,1;-2,3;0;0;0;
1;--;--;--;3525,4;65535;3542,4;17;0;0;0;
2;--;--;--;3982,3;65535;4002,4;20,1;0;0;0;
3;--;--;--;3555,5;65535;3585,6;30,1;0;0;0;
4;--;--;--;3874,1;65535;3934,5;60,4;0;0;0;
5;--;--;--;3607,1;65535;3700;92,9;0;0;0;
6;--;--;--;3643,2;65535;3791,7;148,5;0;0;0;
7;--;--;--;3576,6;65535;3835,2;258,6;0;0;0;
8;--;--;--;3613,1;65535;4170,4;557,3;0;0;0;
9;--;--;--;3635,9;65535;5085;1449,1;0;0;0;
10;--;--;--;3685,7;65535;5753,3;2067,6;0;0;0;
11;--;--;--;4055;65535;4964,3;909,3;0;0;0;
12;--;--;--;3641,8;65535;3730,8;89;0;0;0;
13;--;--;--;3604,6;65535;3630,3;25,7;0;0;0;
14;--;--;--;3720,1;65535;3752,1;32;0;0;0;
15;--;--;--;3647;65535;3662,4;15,4;0;0;0;
16;--;--;--;3725,3;65535;3734,8;9,5;0;0;0;
17;--;--;--;3597,9;65535;3622,4;24,5;0;0;0;
18;--;--;--;4238,8;65535;4271,4;32,6;0;0;0;
19;--;--;--;3589,2;65535;3598,8;9,6;0;0;0;
20;--;--;--;3644,4;65535;3679;34,6;0;0;0;
21;--;--;--;3699,4;65535;3718,8;19,4;0;0;0;
22;--;--;--;3649;65535;3661,5;12,5;0;0;0;
23;--;--;--;3669,7;65535;3694,8;25,1;0;0;0;
24;--;--;--;3615,8;65535;3638,3;22,5;0;0;0;
25;--;--;--;3656,8;65535;3694,8;38;0;0;0;
26;--;--;--;3789,5;65535;3859,6;70,1;0;0;0;
27;--;--;--;3578,6;65535;3657,5;78,9;0;0;0;
28;--;--;--;3621,8;65535;3774,3;152,5;0;0;0;
29;--;--;--;3781,4;65535;4079,8;298,4;0;0;0;
30;--;--;--;3675,2;65535;4258,4;583,2;0;0;0;
31;--;--;--;3673,8;65535;4803,6;1129,8;0;0;0;
32;--;--;--;3683,7;65535;5873,2;2189,5;0;0;0;
33;--;--;--;3715,4;65535;7631,3;3915,9;0;0;0;
34;--;--;--;3588,6;65535;9337,6;5749;0;0;0;
35;--;--;--;3654,7;65535;9049,5;5394,8;0;0;0;
36;--;--;--;3594,8;65535;8468;4873,2;0;0;0;
37;--;--;--;3562,3;65535;8845,7;5283,4;0;0;0;
38;--;--;--;3551,1;65535;9170,9;5619,8;0;0;0;
39;--;--;--;3556,4;65535;9462,9;5906,5;0;0;0;
40;--;--;--;3640,5;65535;9612,7;5972,2;0;0;0;
41;--;--;--;3704,8;65535;9052,1;5347,3;0;0;0;
42;--;--;--;3654,4;65535;7973;4318,6;0;0;0;
43;--;--;--;3963,1;65535;7493,2;3530,1;0;0;0;
44;--;--;--;3671,7;65535;6686,3;3014,6;0;0;0;
45;--;--;--;3598,8;65535;6423,9;2825,1;0;0;0;
46;--;--;--;3745,3;65535;6426,2;2680,9;0;0;0;
47;--;--;--;3844,6;65535;6493,4;2648,8;0;0;0;
48;--;--;--;3743,3;65535;6450,3;2707;0;0;0;
49;--;--;--;3717,8;65535;6571,5;2853,7;0;0;0;
50;--;--;--;3686,6;65535;6791;3104,4;0;0;0;
51;--;--;--;3806,4;65535;7202,6;3396,2;0;0;0;
52;--;--;--;3644,5;65535;7220,3;3575,8;0;0;0;
53;--;--;--;3666,4;65535;7138,2;3471,8;0;0;0;
54;--;--;--;3579,3;65535;6705,1;3125,8;0;0;0;
55;--;--;--;3758,2;65535;6535;2776,8;0;0;0;
56;--;--;--;3845;65535;6401,4;2556,4;0;0;0;
57;--;--;--;3729,1;65535;6171,4;2442,3;0;0;0;
58;--;--;--;3590,5;65535;6015,4;2424,9;0;0;0;
59;--;--;--;3811,9;65535;6107,2;2295,3;0;0;0;
60;--;--;--;3860,8;65535;6087,3;2226,5;0;0;0;
61;--;--;--;4009,2;65535;6124,3;2115,1;0;0;0;
62;--;--;--;3649,7;65535;5691,1;2041,4;0;0;0;
63;--;--;--;3615,7;65535;5641,4;2025,7;0;0;0;
64;--;--;--;3802,6;65535;5777,3;1974,7;0;0;0;
65;--;--;--;3589,6;65535;5546,8;1957,2;0;0;0;
66;--;--;--;3939,9;65535;5856,1;1916,2;0;0;0;
67;--;--;--;3615,9;65535;5508;1892,1;0;0;0;
68;--;--;--;3542,2;65535;5450,5;1908,3;0;0;0;
69;--;--;--;3715,8;65535;5661,7;1945,9;0;0;0;
70;--;--;--;4408,4;65535;6422,2;2013,8;0;0;0;
71;--;--;--;3538,8;65535;5647,4;2108,6;0;0;0;
72;--;--;--;3543,6;65535;5707;2163,4;0;0;0;
73;794,03;12593,93;148,42;3712,1;65535;5931,1;2219;0;0;0;
74;794,18;12591,53;150,81;3540,7;65535;5722,1;2181,4;0;0;0;
75;794,34;12589,14;153,2;3551;65535;5565,8;2014,8;0;0;0;
76;794,49;12586,75;155,59;3667,3;65535;5481,3;1814;0;0;0;
77;794,64;12584,36;157,98;4939;65535;6579,7;1640,7;0;0;0;
78;794,79;12581,97;160,37;3833,7;65535;5383,4;1549,7;0;0;0;
79;794,94;12579,58;162,76;3719,1;65535;5263,3;1544,2;0;0;0;
80;795,09;12577,2;165,15;3902,1;65535;5387,3;1485,2;0;0;0;
81;795,24;12574,81;167,53;3854,9;65535;5367,6;1512,7;0;0;0;
82;795,39;12572,43;169,92;3653;65535;5161,6;1508,6;0;0;0;
83;795,54;12570,04;172,3;3617,1;65535;5150,3;1533,2;0;0;0;
84;795,69;12567,66;174,68;3773,6;65535;5238,3;1464,7;0;0;0;
85;795,84;12565,28;177,06;3983,4;65535;5368,2;1384,8;0;0;0;
86;795,99;12562,9;179,44;4241,7;65535;5561,7;1320;0;0;0;
87;796,15;12560,52;181,82;3652,8;65535;4900,5;1247,7;0;0;0;
88;796,3;12558,14;184,2;3743,3;65535;4933,9;1190,6;0;0;0;
89;796,45;12555,76;186,58;3664;65535;4802,8;1138,8;0;0;0;
90;796,6;12553,39;188,96;3755,9;65535;4862,4;1106,5;0;0;0;
91;796,75;12551,01;191,33;3796,3;65535;4872,4;1076,1;0;0;0;
92;796,9;12548,64;193,71;3586,2;65535;4685,4;1099,2;0;0;0;
93;797,05;12546,26;196,08;3650,5;65535;4702,4;1051,9;0;0;0;
94;797,2;12543,89;198,45;3727,5;65535;4812,5;1085;0;0;0;
95;797,35;12541,52;200,82;3602,2;65535;4716,2;1114;0;0;0;
96;797,5;12539,15;203,19;3582,9;65535;4684,7;1101,8;0;0;0;
97;797,65;12536,78;205,56;3886,5;65535;5038,5;1152;0;0;0;
98;797,8;12534,41;207,93;3761,7;65535;4940,9;1179,2;0;0;0;
99;797,95;12532,05;210,3;3652,1;65535;4821,3;1169,2;0;0;0;
100;798,1;12529,68;212,66;3651,1;65535;4862,5;1211,4;0;0;0;
101;798,26;12527,32;215,03;3741,1;65535;4920,5;1179,4;0;0;0;
102;798,41;12524,95;217,39;3548,1;65535;4710,5;1162,4;0;0;0;
103;798,56;12522,59;219,75;4741,8;65535;5929;1187,2;0;0;0;
104;798,71;12520,23;222,12;3586,6;65535;4776;1189,4;0;0;0;
105;798,86;12517,87;224,48;3532,7;65535;4731,6;1198,9;0;0;0;
106;799,01;12515,51;226,84;3875,8;65535;5040,7;1164,9;0;0;0;
107;799,16;12513,15;229,2;3617,2;65535;4769;1151,8;0;0;0;
108;799,31;12510,79;231,55;3577,1;65535;4693;1115,9;0;0;0;
109;799,46;12508,43;233,91;3645,7;65535;4737,4;1091,7;0;0;0;
110;799,61;12506,08;236,27;3620,6;65535;4693,7;1073,1;0;0;0;
111;799,76;12503,72;238,62;3582,4;65535;4633,6;1051,2;0;0;0;
112;799,91;12501,37;240,98;3615,9;65535;4645,5;1029,6;0;0;0;
113;800,06;12499,01;243,33;3644;65535;4674,6;1030,6;0;0;0;
114;800,21;12496,66;245,68;3707,9;65535;4689,6;981,7;0;0;0;
115;800,36;12494,31;248,03;3542,2;65535;4505,1;962,9;0;0;0;
116;800,51;12491,96;250,38;3658,5;65535;4606,7;948,2;0;0;0;
117;800,67;12489,61;252,73;3552,8;65535;4481,1;928,3;0;0;0;
118;800,82;12487,26;255,08;3596,5;65535;4563,9;967,4;0;0;0;
119;800,97;12484,92;257,43;3689,2;65535;4639,8;950,6;0;0;0;
120;801,12;12482,57;259,77;3662,8;65535;4619,1;956,3;0;0;0;
121;801,27;12480,23;262,12;3531,8;65535;4517;985,2;0;0;0;
122;801,42;12477,88;264,46;3686,7;65535;4719,3;1032,6;0;0;0;
123;801,57;12475,54;266,8;3652,1;65535;4749,6;1097,5;0;0;0;
124;801,72;12473,2;269,14;3716,9;65535;4897,6;1180,7;0;0;0;
125;801,87;12470,86;271,48;3693,4;65535;4969,9;1276,5;0;0;0;
126;802,02;12468,52;273,82;3532,5;65535;4939;1406,5;0;0;0;
127;802,17;12466,18;276,16;3715,2;65535;5214,5;1499,3;0;0;0;
128;802,32;12463,84;278,5;3614,3;65535;5135,8;1521,5;0;0;0;
129;802,47;12461,51;280,84;3690,1;65535;5084,8;1394,7;0;0;0;
