Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3558,8;65535;3585,9;27,1;0;0;0;
1;--;--;--;3517,1;65535;3538,2;21,1;0;0;0;
2;--;--;--;3978,5;65535;4002,2;23,7;0;0;0;
3;--;--;--;3544,9;65535;3584,7;39,8;0;0;0;
4;--;--;--;3867,9;65535;3919,2;51,3;0;0;0;
5;--;--;--;3620,6;65535;3707,3;86,7;0;0;0;
6;--;--;--;3608,6;65535;3765;156,4;0;0;0;
7;--;--;--;3557,7;65535;3832,1;274,4;0;0;0;
8;--;--;--;3612,3;65535;4116;503,7;0;0;0;
9;--;--;--;3601,7;65535;4912,1;1310,4;0;0;0;
10;--;--;--;3686,3;65535;5547,1;1860,8;0;0;0;
11;--;--;--;4048,3;65535;4892,9;844,6;0;0;0;
12;--;--;--;3622,6;65535;3735,9;113,3;0;0;0;
13;--;--;--;3580,1;65535;3644,7;64,6;0;0;0;
14;--;--;--;3713,1;65535;3741,2;28,1;0;0;0;
15;--;--;--;3626,6;65535;3673,4;46,8;0;0;0;
16;--;--;--;3712,8;65535;3739,3;26,5;0;0;0;
17;--;--;--;3578,2;65535;3624,2;46;0;0;0;
18;--;--;--;4245,7;65535;4266,7;21;0;0;0;
19;--;--;--;3571,3;65535;3599,6;28,3;0;0;0;
20;--;--;--;3637,6;65535;3660,3;22,7;0;0;0;
21;--;--;--;3685,1;65535;3734,5;49,4;0;0;0;
22;--;--;--;3639,3;65535;3673,8;34,5;0;0;0;
23;--;--;--;3655,6;65535;3707,7;52,1;0;0;0;
24;--;--;--;3614,4;65535;3670,8;56,4;0;0;0;
25;--;--;--;3648,5;65535;3697,8;49,3;0;0;0;
26;--;--;--;3784,3;65535;3874,5;90,2;0;0;0;
27;--;--;--;3565,9;65535;3707,1;141,2;0;0;0;
28;--;--;--;3630;65535;3851;221;0;0;0;
29;--;--;--;3782,4;65535;4211,4;429;0;0;0;
30;--;--;--;3661,3;65535;4566,5;905,2;0;0;0;
31;--;--;--;3648,9;65535;5360,6;1711,7;0;0;0;
32;--;--;--;3664,4;65535;6947,1;3282,7;0;0;0;
33;--;--;--;3692,2;65535;9642,4;5950,2;0;0;0;
34;--;--;--;3601,4;65535;12289,1;8687,7;0;0;0;
35;--;--;--;3646,7;65535;11659,1;8012,4;0;0;0;
36;--;--;--;3593,5;65535;10676,8;7083,3;0;0;0;
37;--;--;--;3565,3;65535;11268,9;7703,6;0;0;0;
38;--;--;--;3521;65535;11775,9;8254,9;0;0;0;
39;--;--;--;3537,6;65535;12211,7;8674,1;0;0;0;
40;--;--;--;3632,7;65535;12397;8764,3;0;0;0;
41;--;--;--;3681;65535;11440,9;7759,9;0;0;0;
42;--;--;--;3640,3;65535;9753;6112,7;0;0;0;
43;--;--;--;3964,8;65535;8735,4;4770,6;0;0;0;
44;--;--;--;3660,7;65535;7642,3;3981,6;0;0;0;
45;--;--;--;3602;65535;7197,6;3595,6;0;0;0;
46;--;--;--;3739,9;65535;7145,8;3405,9;0;0;0;
47;--;--;--;3842,4;65535;7245,8;3403,4;0;0;0;
48;--;--;--;3731,7;65535;7263,2;3531,5;0;0;0;
49;--;--;--;3690,2;65535;7482,2;3792;0;0;0;
50;--;--;--;3674,8;65535;7923,7;4248,9;0;0;0;
51;--;--;--;3809,5;65535;8466,2;4656,7;0;0;0;
52;--;--;--;3653;65535;8666,8;5013,8;0;0;0;
53;--;--;--;3661,3;65535;8560,5;4899,2;0;0;0;
