Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3564,5;65535;3583,6;19,1;0;0;0;
1;--;--;--;3509,6;65535;3524;14,4;0;0;0;
2;--;--;--;3958,9;65535;3989,1;30,2;0;0;0;
3;--;--;--;3542,1;65535;3590,7;48,6;0;0;0;
4;--;--;--;3865,8;65535;3938,6;72,8;0;0;0;
5;--;--;--;3610,3;65535;3710,9;100,6;0;0;0;
6;--;--;--;3615,9;65535;3808,1;192,2;0;0;0;
7;--;--;--;3565,5;65535;3876,4;310,9;0;0;0;
8;--;--;--;3614;65535;4247,3;633,3;0;0;0;
9;--;--;--;3610,6;65535;5264,6;1654;0;0;0;
10;--;--;--;3672;65535;6053,2;2381,2;0;0;0;
11;--;--;--;4025,1;65535;5104,2;1079,1;0;0;0;
12;--;--;--;3618,2;65535;3747,3;129,1;0;0;0;
13;--;--;--;3586,9;65535;3629,8;42,9;0;0;0;
14;--;--;--;3698,8;65535;3750,1;51,3;0;0;0;
15;--;--;--;3631,3;65535;3653,4;22,1;0;0;0;
16;--;--;--;3704;65535;3711,7;7,7;0;0;0;
17;--;--;--;3579,1;65535;3606,3;27,2;0;0;0;
18;--;--;--;4228,8;65535;4246;17,2;0;0;0;
19;--;--;--;3566,7;65535;3598,1;31,4;0;0;0;
20;--;--;--;3624,4;65535;3634,7;10,3;0;0;0;
21;--;--;--;3683,1;65535;3687;3,9;0;0;0;
22;--;--;--;3618,6;65535;3621,9;3,3;0;0;0;
23;--;--;--;3650,7;65535;3649,7;-1;0;0;0;
24;--;--;--;3594,8;65535;3622,7;27,9;0;0;0;
25;--;--;--;3628,4;65535;3640,8;12,4;0;0;0;
26;--;--;--;3776,3;65535;3801;24,7;0;0;0;
27;--;--;--;3579,4;65535;3591,7;12,3;0;0;0;
28;--;--;--;3618,2;65535;3647;28,8;0;0;0;
29;--;--;--;3801,5;65535;3811,8;10,3;0;0;0;
30;--;--;--;3662,5;65535;3714,1;51,6;0;0;0;
31;--;--;--;3660,7;65535;3694,9;34,2;0;0;0;
32;--;--;--;3668,6;65535;3787,1;118,5;0;0;0;
33;--;--;--;3683,6;65535;3839,5;155,9;0;0;0;
34;--;--;--;3595,3;65535;3790,8;195,5;0;0;0;
35;--;--;--;3650,7;65535;3890,7;240;0;0;0;
36;--;--;--;3583,1;65535;3838,1;255;0;0;0;
37;--;--;--;3551,8;65535;3815,4;263,6;0;0;0;
38;--;--;--;3534,4;65535;3796,7;262,3;0;0;0;
39;--;--;--;3532,2;65535;3829,5;297,3;0;0;0;
40;--;--;--;3610,1;65535;3997,6;387,5;0;0;0;
41;--;--;--;3687,6;65535;4154,4;466,8;0;0;0;
42;--;--;--;3622,3;65535;4235,2;612,9;0;0;0;
43;--;--;--;3957,8;65535;4876,2;918,4;0;0;0;
44;--;--;--;3655,3;65535;4689;1033,7;0;0;0;
45;--;--;--;3587,6;65535;4227,4;639,8;0;0;0;
46;--;--;--;3744,5;65535;4123,7;379,2;0;0;0;
47;--;--;--;3825,7;65535;4169,3;343,6;0;0;0;
48;--;--;--;3715,4;65535;4044,5;329,1;0;0;0;
49;--;--;--;3689,8;65535;4038,9;349,1;0;0;0;
50;--;--;--;3661;65535;4007,2;346,2;0;0;0;
51;--;--;--;3805,1;65535;4144,6;339,5;0;0;0;
52;--;--;--;3644,3;65535;3984,4;340,1;0;0;0;
53;--;--;--;3648,5;65535;3960,4;311,9;0;0;0;
54;--;--;--;3565,8;65535;3894,1;328,3;0;0;0;
55;--;--;--;3729,1;65535;4057,1;328;0;0;0;
56;--;--;--;3828,1;65535;4144,9;316,8;0;0;0;
57;--;--;--;3719,8;65535;4047,6;327,8;0;0;0;
58;--;--;--;3575,2;65535;3926,4;351,2;0;0;0;
59;--;--;--;3780;65535;4115,8;335,8;0;0;0;
60;--;--;--;3841;65535;4175,6;334,6;0;0;0;
61;--;--;--;3984,9;65535;4352,6;367,7;0;0;0;
62;--;--;--;3640,6;65535;4008,6;368;0;0;0;
63;--;--;--;3617,6;65535;3997,2;379,6;0;0;0;
64;--;--;--;3776,6;65535;4211,9;435,3;0;0;0;
65;--;--;--;3575,6;65535;4066,4;490,8;0;0;0;
66;--;--;--;3911,9;65535;4572,4;660,5;0;0;0;
67;--;--;--;3599,2;65535;4561,6;962,4;0;0;0;
68;--;--;--;3533,5;65535;4949,1;1415,6;0;0;0;
69;--;--;--;3719,9;65535;5872,4;2152,5;0;0;0;
70;--;--;--;4392,1;65535;7901,5;3509,4;0;0;0;
71;--;--;--;3532,3;65535;7968,5;4436,2;0;0;0;
72;--;--;--;3517,4;65535;6622,8;3105,4;0;0;0;
73;794,03;12593,93;148,42;3688,5;65535;5597,3;1908,8;0;0;0;
74;794,18;12591,53;150,81;3520,4;65535;5137,9;1617,5;0;0;0;
75;794,34;12589,14;153,2;3545,8;65535;4924,6;1378,8;0;0;0;
76;794,49;12586,75;155,59;3631,5;65535;4690;1058,5;0;0;0;
77;794,64;12584,36;157,98;4908,2;65535;5673,8;765,6;0;0;0;
78;794,79;12581,97;160,37;3822;65535;4381,4;559,4;0;0;0;
79;794,94;12579,58;162,76;3736,5;65535;4208,6;472,1;0;0;0;
80;795,09;12577,2;165,15;3879,7;65535;4304,4;424,7;0;0;0;
81;795,24;12574,81;167,53;3833,4;65535;4226,1;392,7;0;0;0;
82;795,39;12572,43;169,92;3627;65535;4003,5;376,5;0;0;0;
83;795,54;12570,04;172,3;3608,7;65535;3965,7;357;0;0;0;
84;795,69;12567,66;174,68;3787,5;65535;4101,8;314,3;0;0;0;
85;795,84;12565,28;177,06;3974,1;65535;4297,9;323,8;0;0;0;
86;795,99;12562,9;179,44;4236,3;65535;4533,6;297,3;0;0;0;
87;796,15;12560,52;181,82;3633,8;65535;3930,9;297,1;0;0;0;
88;796,3;12558,14;184,2;3721;65535;4011,2;290,2;0;0;0;
89;796,45;12555,76;186,58;3661,2;65535;3929,2;268;0;0;0;
90;796,6;12553,39;188,96;3741,7;65535;4009,6;267,9;0;0;0;
91;796,75;12551,01;191,33;3770,3;65535;4037,5;267,2;0;0;0;
92;796,9;12548,64;193,71;3578,6;65535;3867,2;288,6;0;0;0;
93;797,05;12546,26;196,08;3622,6;65535;3869;246,4;0;0;0;
94;797,2;12543,89;198,45;3713,7;65535;3993,7;280;0;0;0;
95;797,35;12541,52;200,82;3592,4;65535;3871,8;279,4;0;0;0;
96;797,5;12539,15;203,19;3547,8;65535;3820,6;272,8;0;0;0;
97;797,65;12536,78;205,56;3860,5;65535;4139,4;278,9;0;0;0;
98;797,8;12534,41;207,93;3763,8;65535;4045;281,2;0;0;0;
99;797,95;12532,05;210,3;3634,2;65535;3908,9;274,7;0;0;0;
100;798,1;12529,68;212,66;3644,9;65535;3896,6;251,7;0;0;0;
101;798,26;12527,32;215,03;3729,3;65535;3973,6;244,3;0;0;0;
102;798,41;12524,95;217,39;3521,7;65535;3779,2;257,5;0;0;0;
103;798,56;12522,59;219,75;4718,7;65535;4976,4;257,7;0;0;0;
104;798,71;12520,23;222,12;3570,5;65535;3861,9;291,4;0;0;0;
105;798,86;12517,87;224,48;3514,2;65535;3807,7;293,5;0;0;0;
106;799,01;12515,51;226,84;3867,3;65535;4149,3;282;0;0;0;
107;799,16;12513,15;229,2;3611,4;65535;3905,6;294,2;0;0;0;
108;799,31;12510,79;231,55;3574,9;65535;3868,3;293,4;0;0;0;
109;799,46;12508,43;233,91;3653;65535;3951,7;298,7;0;0;0;
110;799,61;12506,08;236,27;3619,7;65535;3919,3;299,6;0;0;0;
111;799,76;12503,72;238,62;3551,3;65535;3892,1;340,8;0;0;0;
112;799,91;12501,37;240,98;3613,3;65535;3933,5;320,2;0;0;0;
113;800,06;12499,01;243,33;3648,9;65535;3967,1;318,2;0;0;0;
114;800,21;12496,66;245,68;3703,9;65535;4041,5;337,6;0;0;0;
115;800,36;12494,31;248,03;3515,7;65535;3887,6;371,9;0;0;0;
116;800,51;12491,96;250,38;3643,5;65535;4031,8;388,3;0;0;0;
117;800,67;12489,61;252,73;3551,2;65535;3967,7;416,5;0;0;0;
118;800,82;12487,26;255,08;3590,9;65535;4025,6;434,7;0;0;0;
119;800,97;12484,92;257,43;3666,1;65535;4173,8;507,7;0;0;0;
120;801,12;12482,57;259,77;3648,5;65535;4224,1;575,6;0;0;0;
121;801,27;12480,23;262,12;3517,6;65535;4169,7;652,1;0;0;0;
122;801,42;12477,88;264,46;3667,8;65535;4457;789,2;0;0;0;
123;801,57;12475,54;266,8;3649,5;65535;4598,1;948,6;0;0;0;
124;801,72;12473,2;269,14;3723,5;65535;4908,8;1185,3;0;0;0;
125;801,87;12470,86;271,48;3673,8;65535;5194;1520,2;0;0;0;
126;802,02;12468,52;273,82;3520,9;65535;5423,4;1902,5;0;0;0;
127;802,17;12466,18;276,16;3692,8;65535;5901,3;2208,5;0;0;0;
128;802,32;12463,84;278,5;3596;65535;5908,2;2312,2;0;0;0;
129;802,47;12461,51;280,84;3691,1;65535;5711,2;2020,1;0;0;0;
130;802,62;12459,17;283,17;4338,8;65535;5913,1;1574,3;0;0;0;
131;802,77;12456,84;285,51;3672,3;65535;4845,4;1173,1;0;0;0;
132;802,92;12454,5;287,84;3928,1;65535;4823;894,9;0;0;0;
133;803,07;12452,17;290,17;3625,7;65535;4354,3;728,6;0;0;0;
134;803,22;12449,84;292,51;4112,1;65535;4699,8;587,7;0;0;0;
135;803,37;12447,51;294,84;3600,8;65535;4144,5;543,7;0;0;0;
136;803,52;12445,18;297,17;3669,9;65535;4133,4;463,5;0;0;0;
137;803,67;12442,85;299,5;3622,3;65535;4044,9;422,6;0;0;0;
138;803,82;12440,52;301,82;3629,4;65535;4027;397,6;0;0;0;
139;803,98;12438,19;304,15;3904,4;65535;4289,9;385,5;0;0;0;
140;804,13;12435,87;306,48;3713,1;65535;4067,9;354,8;0;0;0;
141;804,28;12433,54;308,8;3585,4;65535;3968,6;383,2;0;0;0;
142;804,43;12431,22;311,12;3564;65535;3918,3;354,3;0;0;0;
143;804,58;12428,9;313,45;3551,2;65535;3900,6;349,4;0;0;0;
144;804,73;12426,58;315,77;3720,5;65535;4085,7;365,2;0;0;0;
145;804,88;12424,25;318,09;3638,2;65535;3998,4;360,2;0;0;0;
146;805,03;12421,93;320,41;3657,2;65535;4032,6;375,4;0;0;0;
147;805,18;12419,62;322,73;3724,9;65535;4089,4;364,5;0;0;0;
148;805,33;12417,3;325,05;3783,3;65535;4208,6;425,3;0;0;0;
149;805,48;12414,98;327,36;3786,1;65535;4239,5;453,4;0;0;0;
150;805,63;12412,67;329,68;3753,8;65535;4275,6;521,8;0;0;0;
151;805,78;12410,35;331,99;3840,2;65535;4433,6;593,4;0;0;0;
152;805,93;12408,04;334,31;3822,3;65535;4452,2;629,9;0;0;0;
153;806,08;12405,72;336,62;3538,4;65535;4186,5;648,1;0;0;0;
154;806,23;12403,41;338,93;3622;65535;4265,5;643,5;0;0;0;
155;806,38;12401,1;341,24;3605;65535;4144,1;539,1;0;0;0;
156;806,53;12398,79;343,55;3644,4;65535;4108,5;464,1;0;0;0;
157;806,68;12396,48;345,86;3832,3;65535;4235,8;403,5;0;0;0;
158;806,83;12394,18;348,17;3685,7;65535;4040,5;354,8;0;0;0;
159;806,98;12391,87;350,47;3539,9;65535;3871,5;331,6;0;0;0;
160;807,13;12389,56;352,78;3672,5;65535;3992,4;319,9;0;0;0;
161;807,28;12387,26;355,09;3569,7;65535;3836,1;266,4;0;0;0;
162;807,43;12384,95;357,39;3830,7;65535;4099,6;268,9;0;0;0;
163;807,58;12382,65;359,69;3852,4;65535;4123,2;270,8;0;0;0;
164;807,73;12380,35;361,99;3575,7;65535;3811,8;236,1;0;0;0;
165;807,88;12378,05;364,29;3769,7;65535;4019,3;249,6;0;0;0;
166;808,03;12375,75;366,59;3656,1;65535;3908,5;252,4;0;0;0;
167;808,18;12373,45;368,89;3783,8;65535;4031,8;248;0;0;0;
168;808,33;12371,15;371,19;3574,6;65535;3819;244,4;0;0;0;
169;808,48;12368,86;373,49;3748,9;65535;3975,6;226,7;0;0;0;
170;808,63;12366,56;375,78;3822,4;65535;4045,9;223,5;0;0;0;
171;808,78;12364,26;378,08;3593,5;65535;3812,9;219,4;0;0;0;
172;808,93;12361,97;380,37;3695,5;65535;3900,7;205,2;0;0;0;
173;809,08;12359,68;382,67;3665,1;65535;3888,8;223,7;0;0;0;
174;809,23;12357,39;384,96;3810;65535;4018,3;208,3;0;0;0;
175;809,38;12355,09;387,25;3660,9;65535;3879,7;218,8;0;0;0;
176;809,53;12352,8;389,54;3638;65535;3848,2;210,2;0;0;0;
177;809,68;12350,51;391,83;3839,4;65535;4090,1;250,7;0;0;0;
178;809,83;12348,23;394,12;3818,8;65535;4043,7;224,9;0;0;0;
179;809,98;12345,94;396,4;3924;65535;4148,3;224,3;0;0;0;
180;810,13;12343,65;398,69;3703,6;65535;3890,8;187,2;0;0;0;
181;810,28;12341,37;400,98;3678,9;65535;3891,7;212,8;0;0;0;
182;810,43;12339,08;403,26;3693,2;65535;3886,6;193,4;0;0;0;
183;810,58;12336,8;405,54;3790,7;65535;3992,7;202;0;0;0;
184;810,73;12334,52;407,83;6612,7;65535;6840,1;227,4;0;0;0;
185;810,88;12332,24;410,11;3678,6;65535;3882,5;203,9;0;0;0;
186;811,03;12329,96;412,39;3564;65535;3762,8;198,8;0;0;0;
187;811,18;12327,68;414,67;3603,2;65535;3775,3;172,1;0;0;0;
188;811,33;12325,4;416,94;3751,7;65535;3944,4;192,7;0;0;0;
189;811,48;12323,12;419,22;3613;65535;3818,1;205,1;0;0;0;
190;811,63;12320,85;421,5;3718,8;65535;3933,1;214,3;0;0;0;
191;811,78;12318,57;423,77;3834,1;65535;4035,7;201,6;0;0;0;
192;811,93;12316,3;426,05;3754,9;65535;3962,3;207,4;0;0;0;
193;812,08;12314,02;428,32;3889,6;65535;4101,4;211,8;0;0;0;
194;812,23;12311,75;430,59;3640,7;65535;3848;207,3;0;0;0;
195;812,38;12309,48;432,87;3684,1;65535;3886;201,9;0;0;0;
196;812,53;12307,21;435,14;3708,3;65535;3898,5;190,2;0;0;0;
197;812,68;12304,94;437,41;3614,3;65535;3809,4;195,1;0;0;0;
198;812,83;12302,67;439,67;3709,6;65535;3918,5;208,9;0;0;0;
199;812,98;12300,4;441,94;3661,9;65535;3834,4;172,5;0;0;0;
200;813,13;12298,13;444,21;3666,4;65535;3865,5;199,1;0;0;0;
201;813,28;12295,87;446,47;3588,2;65535;3766,8;178,6;0;0;0;
202;813,43;12293,6;448,74;3613,2;65535;3797,6;184,4;0;0;0;
203;813,58;12291,34;451;4039,3;65535;4234,9;195,6;0;0;0;
204;813,73;12289,08;453,27;3704;65535;3899,2;195,2;0;0;0;
205;813,88;12286,82;455,53;3833,9;65535;4026,5;192,6;0;0;0;
206;814,03;12284,55;457,79;3671,6;65535;3867,7;196,1;0;0;0;
207;814,18;12282,29;460,05;3551,9;65535;3758,5;206,6;0;0;0;
208;814,33;12280,04;462,31;3552,1;65535;3728,7;176,6;0;0;0;
209;814,48;12277,78;464,57;3596,3;65535;3774,7;178,4;0;0;0;
210;814,63;12275,52;466,82;3629,8;65535;3825,8;196;0;0;0;
211;814,78;12273,26;469,08;3563,8;65535;3759,4;195,6;0;0;0;
212;814,93;12271,01;471,33;3782;65535;3989,2;207,2;0;0;0;
213;815,08;12268,75;473,59;3583,4;65535;3799,1;215,7;0;0;0;
214;815,23;12266,5;475,84;3713,8;65535;3919,9;206,1;0;0;0;
215;815,38;12264,25;478,09;3590;65535;3798,3;208,3;0;0;0;
216;815,53;12262;480,35;3732,9;65535;3935,7;202,8;0;0;0;
217;815,68;12259,75;482,6;3770;65535;3979;209;0;0;0;
218;815,83;12257,5;484,85;3839,3;65535;4044,1;204,8;0;0;0;
219;815,98;12255,25;487,09;3720,4;65535;3918,8;198,4;0;0;0;
220;816,13;12253;489,34;3630,4;65535;3828,5;198,1;0;0;0;
221;816,28;12250,76;491,59;3652,4;65535;3834,8;182,4;0;0;0;
222;816,43;12248,51;493,83;3613,7;65535;3803,9;190,2;0;0;0;
223;816,58;12246,27;496,08;3692;65535;3877,9;185,9;0;0;0;
224;816,73;12244,02;498,32;3674,6;65535;3846,2;171,6;0;0;0;
225;816,87;12241,78;500,56;3560,5;65535;3760,8;200,3;0;0;0;
226;817,02;12239,54;502,81;3772,7;65535;3955,6;182,9;0;0;0;
227;817,17;12237,3;505,05;3680,3;65535;3874,2;193,9;0;0;0;
228;817,32;12235,06;507,29;3763,8;65535;3946,6;182,8;0;0;0;
229;817,47;12232,82;509,53;3729,9;65535;3925,9;196;0;0;0;
230;817,62;12230,58;511,76;3679,4;65535;3855,4;176;0;0;0;
231;817,77;12228,34;514;3706;65535;3900,9;194,9;0;0;0;
232;817,92;12226,11;516,24;3750;65535;3936,1;186,1;0;0;0;
233;818,07;12223,87;518,47;3884,7;65535;4063,1;178,4;0;0;0;
234;818,22;12221,64;520,71;3584,8;65535;3769,1;184,3;0;0;0;
235;818,37;12219,4;522,94;3688,5;65535;4408,8;720,3;0;0;0;
236;818,52;12217,17;525,17;3581,1;65535;3728,9;147,8;0;0;0;
237;818,67;12214,94;527,4;3709,7;65535;3871,7;162;0;0;0;
238;818,82;12212,71;529,63;3574,1;65535;3742,1;168;0;0;0;
239;818,97;12210,48;531,86;3879,9;65535;4071,2;191,3;0;0;0;
240;819,12;12208,25;534,09;3739;65535;3931,9;192,9;0;0;0;
241;819,27;12206,02;536,32;3715,6;65535;3891,3;175,7;0;0;0;
242;819,42;12203,8;538,55;3785,6;65535;3944;158,4;0;0;0;
243;819,57;12201,57;540,77;3836,3;65535;4003,7;167,4;0;0;0;
244;819,72;12199,35;543;3749,4;65535;3924,7;175,3;0;0;0;
245;819,87;12197,12;545,22;3931,8;65535;4108,9;177,1;0;0;0;
246;820,01;12194,9;547,44;3812,2;65535;3976;163,8;0;0;0;
247;820,16;12192,68;549,66;3653,2;65535;3829,5;176,3;0;0;0;
248;820,31;12190,46;551,89;3584,4;65535;3749,9;165,5;0;0;0;
