Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3547,3;65535;3587,7;40,4;0;0;0;
1;--;--;--;3498,8;65535;3520,3;21,5;0;0;0;
2;--;--;--;3988,6;65535;4018,3;29,7;0;0;0;
3;--;--;--;3570,5;65535;3582,4;11,9;0;0;0;
4;--;--;--;3895,4;65535;3929,9;34,5;0;0;0;
5;--;--;--;3615,6;65535;3712,1;96,5;0;0;0;
6;--;--;--;3619,3;65535;3800,7;181,4;0;0;0;
7;--;--;--;3570,6;65535;3869,4;298,8;0;0;0;
8;--;--;--;3634,9;65535;4204;569,1;0;0;0;
9;--;--;--;3622;65535;5165,4;1543,4;0;0;0;
10;--;--;--;3684,9;65535;5916;2231,1;0;0;0;
11;--;--;--;4024;65535;5044,6;1020,6;0;0;0;
12;--;--;--;3626,2;65535;3755,6;129,4;0;0;0;
13;--;--;--;3588;65535;3631,9;43,9;0;0;0;
14;--;--;--;3706,2;65535;3745,5;39,3;0;0;0;
15;--;--;--;3628,9;65535;3673,8;44,9;0;0;0;
16;--;--;--;3703;65535;3738;35;0;0;0;
17;--;--;--;3578,1;65535;3608,7;30,6;0;0;0;
18;--;--;--;4252,4;65535;4279,1;26,7;0;0;0;
19;--;--;--;3597,1;65535;3611,7;14,6;0;0;0;
20;--;--;--;3636,2;65535;3669,8;33,6;0;0;0;
21;--;--;--;3707,2;65535;3736,2;29;0;0;0;
22;--;--;--;3620,9;65535;3666,8;45,9;0;0;0;
23;--;--;--;3643,2;65535;3684,6;41,4;0;0;0;
24;--;--;--;3603,1;65535;3657,1;54;0;0;0;
25;--;--;--;3630,9;65535;3692;61,1;0;0;0;
26;--;--;--;3773,1;65535;3851,9;78,8;0;0;0;
27;--;--;--;3579,6;65535;3698,9;119,3;0;0;0;
28;--;--;--;3638,3;65535;3817,7;179,4;0;0;0;
29;--;--;--;3788,6;65535;4139,5;350,9;0;0;0;
30;--;--;--;3666,6;65535;4395,2;728,6;0;0;0;
31;--;--;--;3653,2;65535;5056;1402,8;0;0;0;
32;--;--;--;3664,8;65535;6323,3;2658,5;0;0;0;
33;--;--;--;3682,1;65535;8455,5;4773,4;0;0;0;
34;--;--;--;3597,2;65535;10537,8;6940,6;0;0;0;
35;--;--;--;3671,3;65535;10289,2;6617,9;0;0;0;
36;--;--;--;3595,5;65535;9706;6110,5;0;0;0;
37;--;--;--;3558;65535;10197,8;6639,8;0;0;0;
38;--;--;--;3533,2;65535;10664,1;7130,9;0;0;0;
39;--;--;--;3536,4;65535;11070,2;7533,8;0;0;0;
40;--;--;--;3634;65535;11217,2;7583,2;0;0;0;
41;--;--;--;3706,6;65535;10509,3;6802,7;0;0;0;
42;--;--;--;3638,4;65535;9215,9;5577,5;0;0;0;
43;--;--;--;3969,9;65535;8521,3;4551,4;0;0;0;
44;--;--;--;3661,7;65535;7605,7;3944;0;0;0;
45;--;--;--;3589,6;65535;7249,1;3659,5;0;0;0;
46;--;--;--;3742;65535;7222,3;3480,3;0;0;0;
47;--;--;--;3825,6;65535;7295,1;3469,5;0;0;0;
48;--;--;--;3711,6;65535;7309,3;3597,7;0;0;0;
49;--;--;--;3692,2;65535;7441,2;3749;0;0;0;
50;--;--;--;3688,3;65535;7757;4068,7;0;0;0;
51;--;--;--;3822,8;65535;8208,6;4385,8;0;0;0;
52;--;--;--;3660,7;65535;8325,4;4664,7;0;0;0;
53;--;--;--;3674,8;65535;8229,3;4554,5;0;0;0;
54;--;--;--;3581,2;65535;7704,6;4123,4;0;0;0;
55;--;--;--;3729,5;65535;7433,4;3703,9;0;0;0;
56;--;--;--;3834,4;65535;7260,2;3425,8;0;0;0;
57;--;--;--;3736,2;65535;7030,3;3294,1;0;0;0;
58;--;--;--;3588,7;65535;6819,2;3230,5;0;0;0;
59;--;--;--;3803,3;65535;6968,2;3164,9;0;0;0;
60;--;--;--;3861,5;65535;6866,5;3005;0;0;0;
61;--;--;--;4003,3;65535;6889,9;2886,6;0;0;0;
62;--;--;--;3643,2;65535;6453,7;2810,5;0;0;0;
63;--;--;--;3622,3;65535;6402,8;2780,5;0;0;0;
64;--;--;--;3788,8;65535;6562,9;2774,1;0;0;0;
65;--;--;--;3589,6;65535;6333,3;2743,7;0;0;0;
66;--;--;--;3952,2;65535;6658,1;2705,9;0;0;0;
67;--;--;--;3603,6;65535;6277;2673,4;0;0;0;
68;--;--;--;3551,9;65535;6223,4;2671,5;0;0;0;
