Data from GiallorinoWhite_Reflection__3__33.txt Node;
"Date: Thu Sep 11 16:45:07 CEST 2025 User: sycur";
186,01;-1862,48
186,281;2357,36
186,552;469,48
186,822;405,86
187,093;0
187,364;-333,36
187,635;-4,56
187,905;36,05
188,176;33,73
188,447;39,85
188,717;36,48
188,988;35,97
189,258;38,23
189,529;39,88
189,8;38,33
190,07;36,8
190,341;35,88
190,611;32,6
190,882;31,69
191,152;31,17
191,423;31,3
191,693;30,68
191,964;30,54
192,234;28,94
192,505;27,21
192,775;26,36
193,045;25,24
193,316;25,34
193,586;25,02
193,856;23,87
194,127;23,73
194,397;23,1
194,667;22,59
194,938;21,68
195,208;21,5
195,478;20,7
195,748;20,48
196,019;20,33
196,289;20,42
196,559;19,97
196,829;19,62
197,099;18,95
197,37;18,23
197,64;17,42
197,91;17,35
198,18;17,08
198,45;16,54
198,72;16,33
198,99;15,76
199,26;15,2
199,53;14,86
199,8;14,14
200,07;13,58
200,34;13,25
200,61;12,96
200,88;12,37
201,15;12,32
201,42;11,87
201,69;11,47
201,96;11,29
202,23;10,89
202,499;10,69
202,769;10,82
203,039;10,55
203,309;10,74
203,579;10,41
203,849;10,19
204,118;9,98
204,388;9,71
204,658;9,66
204,927;9,71
205,197;9,83
205,467;9,41
205,736;9,54
206,006;9,25
206,276;9,08
206,545;8,92
206,815;8,76
207,085;8,68
207,354;8,72
207,624;8,65
207,893;8,49
208,163;8,43
208,432;8,16
208,702;8,15
208,971;8,02
209,241;7,83
209,51;7,74
209,78;7,56
210,049;7,47
210,318;7,39
210,588;7,35
210,857;7,15
211,127;7,13
211,396;7,03
211,665;7,08
211,935;7,11
212,204;7,2
212,473;7,04
212,742;7,03
213,012;6,9
213,281;6,7
213,55;6,78
213,819;6,55
214,088;6,46
214,358;6,36
214,627;6,31
214,896;6,27
215,165;6,23
215,434;6,26
215,703;6,24
215,972;6,1
216,241;5,97
216,51;6,02
216,779;5,98
217,048;5,97
217,317;5,95
217,586;5,88
217,855;5,76
218,124;5,81
218,393;5,8
218,662;5,75
218,931;5,76
219,2;5,71
219,469;5,73
219,738;5,69
220,006;5,66
220,275;5,63
220,544;5,64
220,813;5,56
221,082;5,54
221,35;5,47
221,619;5,46
221,888;5,47
222,157;5,46
222,425;5,43
222,694;5,34
222,963;5,28
223,231;5,27
223,5;5,27
223,769;5,24
224,037;5,18
224,306;5,19
224,574;5,17
224,843;5,12
225,111;5,12
225,38;5,13
225,648;5,11
225,917;5,07
226,185;5,06
226,454;5,03
226,722;4,99
226,991;5,01
227,259;4,96
227,528;4,95
227,796;4,9
228,064;4,87
228,333;4,87
228,601;4,85
228,869;4,81
229,138;4,79
229,406;4,76
229,674;4,76
229,942;4,72
230,211;4,71
230,479;4,7
230,747;4,69
231,015;4,66
231,283;4,65
231,552;4,66
231,82;4,63
232,088;4,63
232,356;4,63
232,624;4,6
232,892;4,61
233,16;4,56
233,428;4,55
233,696;4,53
233,964;4,51
234,232;4,5
234,5;4,47
234,768;4,44
235,036;4,44
235,304;4,43
235,572;4,4
235,84;4,38
236,108;4,36
236,376;4,35
236,644;4,34
236,912;4,31
237,179;4,28
237,447;4,28
237,715;4,27
237,983;4,25
238,251;4,25
238,518;4,23
238,786;4,24
239,054;4,24
239,322;4,24
239,589;4,23
239,857;4,23
240,125;4,23
240,392;4,24
240,66;4,23
240,927;4,23
241,195;4,23
241,463;4,24
241,73;4,25
241,998;4,23
242,265;4,22
242,533;4,22
242,8;4,23
243,068;4,22
243,335;4,21
243,603;4,21
243,87;4,21
244,138;4,21
244,405;4,21
244,672;4,21
244,94;4,2
245,207;4,2
245,474;4,2
245,742;4,19
246,009;4,18
246,276;4,17
246,544;4,15
246,811;4,15
247,078;4,15
247,345;4,13
247,613;4,13
247,88;4,13
248,147;4,12
248,414;4,11
248,681;4,1
248,948;4,11
249,215;4,11
249,483;4,11
249,75;4,11
250,017;4,08
250,284;4,07
250,551;4,06
250,818;4,06
251,085;4,06
251,352;4,07
251,619;4,07
251,886;4,08
252,153;4,08
252,42;4,08
252,687;4,08
252,953;4,08
253,22;4,07
253,487;4,09
253,754;4,1
254,021;4,1
254,288;4,09
254,555;4,08
254,821;4,09
255,088;4,08
255,355;4,07
255,622;4,08
255,888;4,08
256,155;4,08
256,422;4,08
256,688;4,08
256,955;4,07
257,222;4,06
257,488;4,06
257,755;4,05
258,022;4,04
258,288;4,04
258,555;4,04
258,821;4,05
259,088;4,04
259,354;4,02
259,621;4,02
259,887;4,02
260,154;4,03
260,42;4,02
260,687;4,01
260,953;4,02
261,219;4,02
261,486;4,02
261,752;4,03
262,019;4,04
