Data from GiallorinoWhite_Reflection__4__34.txt Node;
"Date: Thu Sep 11 16:45:56 CEST 2025 User: sycur";
186,01;-1845,93
186,281;2115,85
186,552;368,16
186,822;345,67
187,093;0
187,364;-641,49
187,635;-195,4
187,905;104,95
188,176;56,35
188,447;56,39
188,717;49,06
188,988;50,12
189,258;48,96
189,529;48,43
189,8;48,46
190,07;45,83
190,341;45
190,611;40,46
190,882;40,31
191,152;37,01
191,423;35,72
191,693;35,12
191,964;34,81
192,234;33,86
192,505;32,14
192,775;31,7
193,045;29,89
193,316;29,29
193,586;28,56
193,856;27,85
194,127;26,87
194,397;26,38
194,667;26,07
194,938;25,08
195,208;24,54
195,478;23,29
195,748;22,56
196,019;22,11
196,289;21,94
196,559;21,16
196,829;20,84
197,099;20,33
197,37;20,32
197,64;19,42
197,91;18,63
198,18;18,35
198,45;17,37
198,72;16,96
198,99;16,13
199,26;15,7
199,53;15,19
199,8;14,73
200,07;14,35
200,34;13,68
200,61;13,29
200,88;13,15
201,15;13,03
201,42;12,53
201,69;11,86
201,96;11,7
202,23;11,34
202,499;11,32
202,769;11,37
203,039;11,18
203,309;11,18
203,579;11,09
203,849;10,88
204,118;10,53
204,388;10,37
204,658;10,43
204,927;10,2
205,197;10
205,467;9,58
205,736;9,34
206,006;9,08
206,276;9,04
206,545;8,84
206,815;8,69
207,085;8,48
207,354;8,5
207,624;8,18
207,893;8
208,163;7,86
208,432;7,63
208,702;7,41
208,971;7,13
209,241;6,83
209,51;6,68
209,78;6,69
210,049;6,54
210,318;6,39
210,588;6,31
210,857;6,18
211,127;6,11
211,396;6,03
211,665;6,04
211,935;5,93
212,204;5,92
212,473;5,77
212,742;5,85
213,012;5,74
213,281;5,73
213,55;5,75
213,819;5,59
214,088;5,46
214,358;5,4
214,627;5,39
214,896;5,31
215,165;5,25
215,434;5,18
215,703;5,16
215,972;5,1
216,241;5,03
216,51;5,04
216,779;5,07
217,048;5,05
217,317;4,92
217,586;4,91
217,855;4,71
218,124;4,73
218,393;4,66
218,662;4,58
218,931;4,49
219,2;4,44
219,469;4,38
219,738;4,32
220,006;4,3
220,275;4,27
220,544;4,3
220,813;4,24
221,082;4,22
221,35;4,17
221,619;4,11
221,888;4,08
222,157;4,08
222,425;3,98
222,694;3,88
222,963;3,85
223,231;3,78
223,5;3,8
223,769;3,73
224,037;3,72
224,306;3,76
224,574;3,75
224,843;3,71
225,111;3,69
225,38;3,68
225,648;3,65
225,917;3,61
226,185;3,59
226,454;3,56
226,722;3,49
226,991;3,47
227,259;3,42
227,528;3,43
227,796;3,4
228,064;3,39
228,333;3,39
228,601;3,38
228,869;3,34
229,138;3,31
229,406;3,29
229,674;3,25
229,942;3,21
230,211;3,2
230,479;3,21
230,747;3,21
231,015;3,2
231,283;3,2
231,552;3,22
231,82;3,18
232,088;3,15
232,356;3,15
232,624;3,13
232,892;3,15
233,16;3,12
233,428;3,09
233,696;3,08
233,964;3,06
234,232;3,04
234,5;3,03
234,768;3,02
235,036;3,02
235,304;3,01
235,572;2,98
235,84;2,95
236,108;2,92
236,376;2,92
236,644;2,91
236,912;2,88
237,179;2,84
237,447;2,84
237,715;2,86
237,983;2,85
238,251;2,85
238,518;2,84
238,786;2,84
239,054;2,81
239,322;2,78
239,589;2,79
239,857;2,77
240,125;2,78
240,392;2,79
240,66;2,79
240,927;2,77
241,195;2,77
241,463;2,77
241,73;2,77
241,998;2,75
242,265;2,73
242,533;2,73
242,8;2,74
243,068;2,72
243,335;2,71
243,603;2,69
243,87;2,68
244,138;2,66
244,405;2,66
244,672;2,67
244,94;2,67
245,207;2,65
245,474;2,66
245,742;2,64
246,009;2,63
246,276;2,61
246,544;2,61
246,811;2,61
247,078;2,6
247,345;2,59
247,613;2,59
247,88;2,59
248,147;2,58
248,414;2,55
248,681;2,54
248,948;2,54
249,215;2,54
249,483;2,53
249,75;2,54
250,017;2,52
250,284;2,52
250,551;2,51
250,818;2,51
251,085;2,5
251,352;2,49
251,619;2,49
251,886;2,49
252,153;2,48
252,42;2,47
252,687;2,47
252,953;2,46
253,22;2,45
253,487;2,46
253,754;2,47
254,021;2,47
254,288;2,47
254,555;2,46
254,821;2,46
255,088;2,46
255,355;2,45
255,622;2,45
255,888;2,44
256,155;2,45
256,422;2,44
256,688;2,44
256,955;2,45
257,222;2,44
257,488;2,44
257,755;2,45
258,022;2,45
258,288;2,45
258,555;2,45
258,821;2,45
259,088;2,44
259,354;2,43
259,621;2,44
259,887;2,43
260,154;2,43
260,42;2,42
260,687;2,42
260,953;2,42
261,219;2,42
261,486;2,41
261,752;2,42
262,019;2,42
262,285;2,42
262,551;2,42
262,818;2,43
263,084;2,43
263,35;2,43
263,616;2,44
263,883;2,43
264,149;2,44
264,415;2,44
264,681;2,44
264,947;2,45
265,214;2,45
265,48;2,44
265,746;2,45
266,012;2,45
266,278;2,45
266,544;2,45
266,81;2,46
267,076;2,45
267,342;2,44
267,608;2,45
267,874;2,45
268,14;2,45
268,406;2,44
268,672;2,44
268,938;2,45
269,204;2,44
269,47;2,44
269,736;2,44
270,002;2,43
270,268;2,43
270,533;2,43
270,799;2,43
271,065;2,44
271,331;2,43
271,597;2,43
271,862;2,42
272,128;2,43
272,394;2,43
272,66;2,43
272,925;2,43
273,191;2,42
273,457;2,42
273,722;2,41
273,988;2,41
274,254;2,41
274,519;2,42
274,785;2,42
275,05;2,42
275,316;2,42
275,582;2,42
275,847;2,4
276,113;2,41
276,378;2,41
276,644;2,4
276,909;2,4
277,174;2,4
277,44;2,41
277,705;2,41
277,971;2,41
278,236;2,41
278,501;2,42
278,767;2,42
279,032;2,42
279,297;2,43
279,563;2,43
279,828;2,42
280,093;2,42
280,358;2,4
280,624;2,41
280,889;2,4
281,154;2,41
281,419;2,41
281,684;2,39
281,95;2,4
282,215;2,39
282,48;2,39
282,745;2,38
283,01;2,37
283,275;2,37
283,54;2,36
283,805;2,36
284,07;2,36
284,335;2,35
284,6;2,35
284,865;2,35
285,13;2,34
285,395;2,34
285,66;2,34
285,925;2,34
286,19;2,34
286,455;2,33
286,72;2,32
286,985;2,32
287,249;2,33
287,514;2,32
287,779;2,32
288,044;2,33
288,309;2,34
288,573;2,34
288,838;2,34
289,103;2,34
289,367;2,34
289,632;2,34
289,897;2,34
290,161;2,33
290,426;2,33
290,691;2,33
290,955;2,33
291,22;2,33
291,484;2,33
291,749;2,32
292,014;2,34
292,278;2,34
292,543;2,33
292,807;2,33
293,072;2,32
293,336;2,33
293,6;2,32
293,865;2,31
294,129;2,31
294,394;2,31
294,658;2,31
294,922;2,31
295,187;2,31
295,451;2,31
295,715;2,32
295,98;2,31
296,244;2,3
296,508;2,3
296,773;2,29
297,037;2,29
297,301;2,3
297,565;2,29
297,829;2,29
298,094;2,29
298,358;2,28
298,622;2,28
298,886;2,28
299,15;2,28
299,414;2,28
299,678;2,28
299,942;2,27
300,206;2,26
300,47;2,26
300,734;2,25
300,998;2,25
301,262;2,24
301,526;2,23
301,79;2,24
302,054;2,25
302,318;2,24
302,582;2,24
302,846;2,24
303,11;2,24
303,374;2,24
303,637;2,24
303,901;2,24
304,165;2,24
304,429;2,24
304,693;2,24
304,956;2,23
305,22;2,22
305,484;2,22
305,747;2,22
306,011;2,2
306,275;2,2
306,538;2,2
306,802;2,2
307,066;2,2
307,329;2,18
307,593;2,18
307,856;2,18
308,12;2,16
308,384;2,16
308,647;2,15
308,911;2,15
309,174;2,14
309,438;2,15
309,701;2,15
309,964;2,14
310,228;2,14
310,491;2,14
310,755;2,15
311,018;2,15
311,281;2,15
311,545;2,16
311,808;2,17
312,071;2,16
312,335;2,16
312,598;2,16
312,861;2,16
313,124;2,15
313,388;2,15
313,651;2,16
313,914;2,16
314,177;2,17
314,44;2,15
314,704;2,16
314,967;2,15
315,23;2,15
315,493;2,15
315,756;2,15
316,019;2,15
316,282;2,15
316,545;2,14
316,808;2,15
317,071;2,15
317,334;2,16
317,597;2,17
317,86;2,17
318,123;2,17
318,386;2,17
318,649;2,18
318,912;2,17
319,175;2,18
319,437;2,17
319,7;2,16
319,963;2,16
320,226;2,17
320,489;2,16
320,751;2,17
321,014;2,16
321,277;2,16
321,54;2,15
321,802;2,15
322,065;2,14
322,328;2,14
322,59;2,13
322,853;2,11
323,116;2,1
323,378;2,1
323,641;2,1
323,903;2,09
324,166;2,09
324,428;2,08
324,691;2,08
324,953;2,08
325,216;2,09
325,478;2,08
325,741;2,07
326,003;2,07
326,266;2,06
326,528;2,07
326,791;2,07
327,053;2,07
327,315;2,05
327,578;2,05
327,84;2,05
328,102;2,03
328,365;2,04
328,627;2,04
328,889;2,04
329,151;2,05
329,414;2,05
329,676;2,05
329,938;2,04
330,2;2,03
330,462;2,03
330,725;2,03
330,987;2,05
331,249;2,05
331,511;2,06
331,773;2,05
332,035;2,06
332,297;2,07
332,559;2,08
332,821;2,09
333,083;2,08
333,345;2,09
333,607;2,1
333,869;2,1
334,131;2,1
334,393;2,1
334,655;2,09
334,917;2,1
335,179;2,1
335,44;2,11
335,702;2,12
335,964;2,13
336,226;2,12
336,488;2,11
336,749;2,12
337,011;2,12
337,273;2,12
337,535;2,12
337,796;2,11
338,058;2,12
338,32;2,11
338,581;2,11
338,843;2,11
339,105;2,12
339,366;2,13
339,628;2,14
339,889;2,14
340,151;2,15
340,412;2,14
340,674;2,15
340,935;2,16
341,197;2,16
341,458;2,16
341,72;2,17
341,981;2,17
342,243;2,16
342,504;2,16
342,766;2,17
343,027;2,16
343,288;2,18
343,55;2,17
343,811;2,17
344,072;2,18
344,334;2,18
344,595;2,18
344,856;2,17
345,117;2,16
345,379;2,18
345,64;2,18
345,901;2,18
346,162;2,17
346,423;2,17
346,684;2,17
346,946;2,16
347,207;2,15
347,468;2,15
347,729;2,15
347,99;2,15
348,251;2,14
348,512;2,14
348,773;2,13
349,034;2,12
349,295;2,12
349,556;2,13
349,817;2,12
350,078;2,12
350,339;2,13
350,6;2,14
350,86;2,12
351,121;2,13
351,382;2,11
351,643;2,11
351,904;2,11
352,165;2,11
352,425;2,12
352,686;2,12
352,947;2,13
353,208;2,12
353,468;2,12
353,729;2,12
353,99;2,12
354,25;2,12
354,511;2,13
354,772;2,12
355,032;2,11
355,293;2,12
355,553;2,11
355,814;2,11
356,074;2,1
356,335;2,11
356,596;2,11
356,856;2,11
357,116;2,12
357,377;2,13
357,637;2,14
357,898;2,13
358,158;2,12
358,419;2,15
358,679;2,15
358,939;2,14
359,2;2,15
359,46;2,15
359,72;2,16
359,981;2,16
360,241;2,17
360,501;2,18
360,761;2,18
361,022;2,19
361,282;2,2
361,542;2,21
361,802;2,23
362,062;2,22
362,323;2,22
362,583;2,23
362,843;2,22
363,103;2,22
363,363;2,23
363,623;2,24
363,883;2,23
364,143;2,24
364,403;2,25
364,663;2,26
364,923;2,27
365,183;2,27
365,443;2,28
365,703;2,29
365,963;2,29
366,223;2,3
366,483;2,33
366,743;2,33
367,002;2,34
367,262;2,36
367,522;2,37
367,782;2,37
368,042;2,37
368,301;2,39
368,561;2,41
368,821;2,41
369,081;2,41
369,34;2,42
369,6;2,43
369,86;2,44
370,119;2,44
370,379;2,44
370,638;2,46
370,898;2,47
371,158;2,48
371,417;2,49
371,677;2,5
371,936;2,51
372,196;2,5
372,455;2,5
372,715;2,48
372,974;2,5
373,234;2,52
373,493;2,53
373,753;2,54
374,012;2,53
374,271;2,55
374,531;2,57
374,79;2,57
375,049;2,58
375,309;2,6
375,568;2,61
375,827;2,63
376,086;2,64
376,346;2,67
376,605;2,67
376,864;2,68
377,123;2,7
377,383;2,68
377,642;2,71
377,901;2,71
378,16;2,73
378,419;2,73
378,678;2,74
378,937;2,73
379,196;2,74
379,455;2,76
379,714;2,77
379,973;2,77
380,232;2,79
380,491;2,8
380,75;2,8
381,009;2,81
381,268;2,82
381,527;2,83
381,786;2,8
382,045;2,79
382,304;2,82
382,563;2,81
382,821;2,83
383,08;2,83
383,339;2,85
383,598;2,87
383,857;2,88
384,115;2,88
384,374;2,9
384,633;2,9
384,891;2,92
385,15;2,91
385,409;2,92
385,667;2,94
385,926;2,94
386,185;2,96
386,443;2,96
386,702;2,97
386,96;2,95
387,219;2,97
387,477;2,99
387,736;2,99
387,994;3,01
388,253;3,01
388,511;3,04
388,77;3,03
389,028;3,05
389,287;3,07
389,545;3,11
389,803;3,12
390,062;3,14
390,32;3,17
390,578;3,19
390,837;3,22
391,095;3,22
391,353;3,25
391,612;3,27
391,87;3,29
392,128;3,3
392,386;3,33
392,644;3,37
392,903;3,4
393,161;3,43
393,419;3,44
393,677;3,47
