Data from GiallorinoWhite_Reflection__0__30.txt Node;
"Date: Thu Sep 11 16:41:58 CEST 2025 User: sycur";
186,01;-1604,14
186,281;615,09
186,552;218,69
186,822;143,63
187,093;0
187,364;-256,61
187,635;-106,87
187,905;108,2
188,176;56,38
188,447;50,21
188,717;44,64
188,988;48,25
189,258;48,26
189,529;49
189,8;48,91
190,07;46,09
190,341;44,12
190,611;40,26
190,882;40,15
191,152;40,09
191,423;38,41
191,693;38
191,964;36,25
192,234;36,71
192,505;34,88
192,775;34,7
193,045;33,75
193,316;32,49
193,586;31,24
193,856;30,66
194,127;30,52
194,397;30,52
194,667;29,84
194,938;28,94
195,208;28,71
195,478;27,43
195,748;26,7
196,019;26,11
196,289;26,29
196,559;25,85
196,829;24,99
197,099;24,39
197,37;23,56
197,64;22,36
197,91;21,88
198,18;21,64
198,45;21,24
198,72;20,88
198,99;20,44
199,26;20
199,53;19,72
199,8;19,33
200,07;18,83
200,34;18,43
200,61;18,12
200,88;17,69
201,15;17,51
201,42;17,26
201,69;16,9
201,96;16,65
202,23;16,24
202,499;15,92
202,769;16,17
203,039;16,09
203,309;16,33
203,579;15,94
203,849;15,77
204,118;15,43
204,388;15,12
204,658;15,1
204,927;14,99
205,197;14,89
205,467;14,46
205,736;14,15
206,006;13,89
206,276;13,64
206,545;13,36
206,815;13,32
207,085;13,07
207,354;12,93
207,624;12,83
207,893;12,58
208,163;12,58
208,432;12,33
208,702;12,11
208,971;11,92
209,241;11,73
209,51;11,63
209,78;11,48
210,049;11,47
210,318;11,37
210,588;11,17
210,857;11,09
211,127;11,08
211,396;11,02
211,665;10,98
211,935;10,97
212,204;10,98
212,473;10,85
212,742;10,89
213,012;10,77
213,281;10,7
213,55;10,72
213,819;10,54
214,088;10,43
214,358;10,41
214,627;10,35
214,896;10,23
215,165;10,11
215,434;10,01
215,703;9,95
215,972;9,82
216,241;9,83
216,51;9,78
216,779;9,67
217,048;9,59
217,317;9,49
217,586;9,41
217,855;9,25
218,124;9,27
218,393;9,18
218,662;9,08
218,931;9,02
219,2;8,92
219,469;8,85
219,738;8,76
220,006;8,69
220,275;8,63
220,544;8,61
220,813;8,55
221,082;8,48
221,35;8,41
221,619;8,38
221,888;8,31
222,157;8,29
222,425;8,18
222,694;8,12
222,963;8,09
223,231;8,01
223,5;8,01
223,769;7,92
224,037;7,86
224,306;7,85
224,574;7,81
224,843;7,75
225,111;7,72
225,38;7,68
225,648;7,64
225,917;7,57
226,185;7,55
226,454;7,48
226,722;7,44
226,991;7,39
227,259;7,32
227,528;7,27
227,796;7,18
228,064;7,16
228,333;7,11
228,601;7,06
228,869;7,03
229,138;6,94
229,406;6,87
229,674;6,82
229,942;6,77
230,211;6,71
230,479;6,69
230,747;6,62
231,015;6,57
231,283;6,52
231,552;6,48
231,82;6,4
232,088;6,36
232,356;6,32
232,624;6,26
232,892;6,22
233,16;6,17
233,428;6,11
233,696;6,07
233,964;6,02
234,232;5,96
234,5;5,91
234,768;5,89
235,036;5,85
235,304;5,82
235,572;5,77
235,84;5,73
236,108;5,69
236,376;5,67
236,644;5,63
236,912;5,59
237,179;5,53
237,447;5,51
237,715;5,49
237,983;5,46
238,251;5,44
238,518;5,4
238,786;5,39
239,054;5,37
239,322;5,35
239,589;5,33
239,857;5,31
240,125;5,29
240,392;5,27
240,66;5,26
240,927;5,24
241,195;5,24
241,463;5,23
241,73;5,23
241,998;5,21
242,265;5,21
242,533;5,22
242,8;5,25
243,068;5,25
243,335;5,24
243,603;5,22
243,87;5,22
244,138;5,22
244,405;5,23
244,672;5,25
244,94;5,24
245,207;5,25
245,474;5,28
245,742;5,3
246,009;5,32
246,276;5,32
246,544;5,33
246,811;5,33
247,078;5,36
247,345;5,36
247,613;5,38
247,88;5,39
248,147;5,41
248,414;5,41
248,681;5,43
248,948;5,47
249,215;5,51
249,483;5,54
249,75;5,57
250,017;5,57
250,284;5,6
250,551;5,63
250,818;5,66
251,085;5,67
251,352;5,69
251,619;5,72
251,886;5,75
252,153;5,77
252,42;5,8
252,687;5,82
252,953;5,87
253,22;5,89
253,487;5,93
253,754;5,95
254,021;5,97
254,288;5,99
254,555;6,01
254,821;6,03
255,088;6,05
255,355;6,07
255,622;6,11
255,888;6,12
256,155;6,13
256,422;6,14
256,688;6,16
256,955;6,17
257,222;6,17
257,488;6,18
257,755;6,2
258,022;6,21
258,288;6,22
258,555;6,21
258,821;6,23
259,088;6,22
259,354;6,23
259,621;6,24
259,887;6,24
260,154;6,25
260,42;6,25
260,687;6,25
260,953;6,25
261,219;6,24
261,486;6,24
261,752;6,25
262,019;6,26
262,285;6,26
262,551;6,26
262,818;6,28
263,084;6,29
263,35;6,29
263,616;6,3
263,883;6,29
264,149;6,31
264,415;6,31
264,681;6,32
264,947;6,34
265,214;6,35
265,48;6,34
265,746;6,33
266,012;6,34
266,278;6,36
266,544;6,38
266,81;6,39
267,076;6,38
267,342;6,39
267,608;6,41
267,874;6,41
268,14;6,43
268,406;6,42
268,672;6,42
268,938;6,42
269,204;6,42
269,47;6,44
269,736;6,43
270,002;6,43
270,268;6,43
270,533;6,44
270,799;6,44
271,065;6,46
271,331;6,45
271,597;6,44
271,862;6,43
272,128;6,43
272,394;6,44
272,66;6,45
272,925;6,44
273,191;6,44
273,457;6,44
273,722;6,45
273,988;6,45
274,254;6,45
