Data from GiallorinoWhite_Reflection__1__31.txt Node;
"Date: Thu Sep 11 16:43:25 CEST 2025 User: sycur";
186,01;-918,76
186,281;1503,4
186,552;417,8
186,822;261,08
187,093;0
187,364;-533,15
187,635;-167,88
187,905;112,25
188,176;48,66
188,447;42,91
188,717;37,24
188,988;40,59
189,258;41,36
189,529;44,9
189,8;43,97
190,07;43,32
190,341;44,5
190,611;39,58
190,882;38,88
191,152;37,87
191,423;35,47
191,693;35
191,964;35,06
192,234;34,84
192,505;32,91
192,775;32,17
193,045;30,34
193,316;29,92
193,586;29,04
193,856;28,57
194,127;28,61
194,397;28,87
194,667;28,57
194,938;27,45
195,208;26,66
195,478;25,78
195,748;24,64
196,019;23,3
196,289;23,31
196,559;22,73
196,829;22,39
197,099;22,18
197,37;21,83
197,64;20,77
197,91;20,11
198,18;19,42
198,45;18,98
198,72;18,97
198,99;18
199,26;17,52
199,53;17,4
199,8;16,79
200,07;16,28
200,34;15,75
200,61;15,68
200,88;15,58
201,15;15,43
201,42;15,11
201,69;15,01
201,96;14,83
202,23;14,32
202,499;13,68
202,769;13,68
203,039;13,29
203,309;13,5
203,579;13,03
203,849;12,98
204,118;12,49
204,388;12,14
204,658;12,11
204,927;11,8
205,197;11,65
205,467;11,29
205,736;10,98
206,006;10,67
206,276;10,36
206,545;9,91
206,815;9,7
207,085;9,5
207,354;9,35
207,624;9,11
207,893;8,99
208,163;8,88
208,432;8,58
208,702;8,46
208,971;8,2
209,241;8,12
209,51;7,89
209,78;7,7
210,049;7,6
210,318;7,5
210,588;7,49
210,857;7,39
211,127;7,35
211,396;7,24
211,665;7,15
211,935;7,14
212,204;7,13
212,473;6,99
212,742;6,94
213,012;6,8
213,281;6,71
213,55;6,62
213,819;6,6
214,088;6,55
214,358;6,44
214,627;6,39
214,896;6,25
215,165;6,21
215,434;6,26
215,703;6,2
215,972;6,12
216,241;6,03
216,51;6,04
216,779;6
217,048;5,96
217,317;5,87
217,586;5,8
217,855;5,73
218,124;5,79
218,393;5,79
218,662;5,74
218,931;5,72
219,2;5,71
219,469;5,62
219,738;5,57
220,006;5,54
220,275;5,45
220,544;5,48
220,813;5,42
221,082;5,38
221,35;5,34
221,619;5,28
221,888;5,25
222,157;5,19
222,425;5,12
222,694;5,03
222,963;4,96
223,231;4,88
223,5;4,83
223,769;4,74
224,037;4,7
224,306;4,71
224,574;4,64
224,843;4,58
225,111;4,56
225,38;4,55
225,648;4,52
225,917;4,5
226,185;4,5
226,454;4,46
226,722;4,42
226,991;4,38
227,259;4,34
227,528;4,33
227,796;4,29
228,064;4,27
228,333;4,29
228,601;4,3
228,869;4,29
229,138;4,27
229,406;4,26
229,674;4,21
229,942;4,19
230,211;4,19
230,479;4,2
230,747;4,19
231,015;4,14
231,283;4,14
231,552;4,14
231,82;4,1
232,088;4,09
232,356;4,09
232,624;4,07
232,892;4,08
233,16;4,04
233,428;4,02
233,696;4,01
233,964;3,99
234,232;3,96
234,5;3,96
234,768;3,95
235,036;3,95
235,304;3,93
235,572;3,9
235,84;3,87
236,108;3,85
236,376;3,85
236,644;3,86
236,912;3,84
237,179;3,81
237,447;3,79
237,715;3,79
237,983;3,79
238,251;3,78
238,518;3,77
238,786;3,77
239,054;3,78
239,322;3,76
239,589;3,75
239,857;3,75
240,125;3,74
240,392;3,73
240,66;3,72
240,927;3,71
241,195;3,72
241,463;3,73
241,73;3,73
241,998;3,7
242,265;3,68
242,533;3,67
242,8;3,67
243,068;3,67
243,335;3,66
243,603;3,64
243,87;3,62
244,138;3,61
