Data from GaranzaWhite_Reflection__1__41.txt Node;
186,01;-1200,86
186,281;-4652,94
186,552;198,84
186,822;145,94
187,093;245,45
187,364;-4,24
187,635;1157,45
187,905;31,36
188,176;23,71
188,447;25,13
188,717;23,62
188,988;23,67
189,258;23,29
189,529;25,29
189,8;23,13
190,07;20,94
190,341;19,51
190,611;17,77
190,882;16,05
191,152;15,77
191,423;16,17
191,693;15,49
191,964;14,91
192,234;15,71
192,505;14
192,775;13,11
193,045;12,88
193,316;12,24
193,586;11,59
193,856;11,14
194,127;10,39
194,397;9,74
194,667;9,79
194,938;10,36
195,208;9,94
195,478;10
195,748;9,62
196,019;9,16
196,289;9,25
196,559;9,54
196,829;9,33
197,099;9,43
197,37;9,44
197,64;9,62
197,91;9,5
198,18;9,4
198,45;9,29
198,72;9,28
198,99;9,21
199,26;9,17
199,53;9,16
199,8;9,42
200,07;9,42
200,34;9,12
200,61;8,75
200,88;8,78
201,15;8,56
201,42;8,62
201,69;8,76
201,96;8,86
202,23;8,68
202,499;8,48
202,769;8,38
203,039;8,34
203,309;8,04
203,579;7,86
203,849;8,02
204,118;7,82
204,388;7,55
204,658;7,55
204,927;7,43
205,197;7,18
205,467;6,81
205,736;6,72
206,006;6,69
206,276;6,63
206,545;6,31
206,815;6,13
207,085;5,96
207,354;5,77
207,624;5,57
207,893;5,44
208,163;5,4
208,432;5,34
208,702;5,22
208,971;5,24
209,241;5,22
209,51;5,1
209,78;5,14
210,049;5,17
210,318;5,12
210,588;5,13
210,857;5,13
211,127;5,14
211,396;5,19
211,665;4,94
211,935;4,96
212,204;4,97
212,473;5,01
212,742;5,04
213,012;5,08
213,281;5,01
213,55;5,02
213,819;4,91
214,088;4,71
214,358;4,6
214,627;4,49
214,896;4,36
215,165;4,3
215,434;4,22
215,703;4,08
215,972;4,02
216,241;3,92
216,51;3,86
216,779;3,76
217,048;3,66
217,317;3,7
217,586;3,64
217,855;3,61
218,124;3,54
218,393;3,52
218,662;3,47
218,931;3,42
219,2;3,34
219,469;3,36
219,738;3,4
220,006;3,43
220,275;3,46
220,544;3,46
220,813;3,39
221,082;3,37
221,35;3,39
221,619;3,37
221,888;3,35
222,157;3,34
222,425;3,38
222,694;3,35
222,963;3,36
223,231;3,32
223,5;3,32
223,769;3,31
224,037;3,25
224,306;3,23
224,574;3,24
224,843;3,25
225,111;3,24
225,38;3,17
225,648;3,15
225,917;3,09
226,185;3,08
226,454;3,09
226,722;3,08
226,991;3,07
227,259;3,06
227,528;3,03
227,796;3,04
228,064;3,01
228,333;2,99
228,601;2,97
228,869;2,96
229,138;2,93
229,406;2,93
229,674;2,93
229,942;2,93
230,211;2,92
230,479;2,9
230,747;2,9
231,015;2,93
231,283;2,92
231,552;2,93
231,82;2,92
232,088;2,91
232,356;2,92
232,624;2,91
232,892;2,92
233,16;2,92
233,428;2,92
233,696;2,91
233,964;2,93
234,232;2,92
234,5;2,93
234,768;2,95
235,036;2,94
235,304;2,94
235,572;2,92
235,84;2,92
236,108;2,92
236,376;2,92
236,644;2,93
236,912;2,93
237,179;2,93
237,447;2,94
237,715;2,94
237,983;2,94
238,251;2,92
238,518;2,91
238,786;2,91
239,054;2,91
239,322;2,91
239,589;2,91
239,857;2,91
240,125;2,92
240,392;2,91
240,66;2,91
240,927;2,92
241,195;2,92
241,463;2,92
241,73;2,93
241,998;2,93
242,265;2,91
242,533;2,91
242,8;2,91
243,068;2,91
243,335;2,9
243,603;2,9
243,87;2,91
244,138;2,92
244,405;2,91
244,672;2,91
244,94;2,9
245,207;2,89
245,474;2,88
245,742;2,87
246,009;2,87
246,276;2,86
246,544;2,85
246,811;2,86
247,078;2,85
247,345;2,84
247,613;2,82
247,88;2,81
248,147;2,81
248,414;2,8
248,681;2,79
248,948;2,8
249,215;2,8
249,483;2,79
249,75;2,78
250,017;2,78
250,284;2,78
250,551;2,77
250,818;2,76
251,085;2,75
251,352;2,75
251,619;2,75
251,886;2,75
252,153;2,75
252,42;2,73
252,687;2,73
252,953;2,73
253,22;2,74
253,487;2,74
253,754;2,73
254,021;2,73
254,288;2,72
254,555;2,71
254,821;2,7
255,088;2,7
255,355;2,7
255,622;2,69
255,888;2,68
256,155;2,68
256,422;2,68
256,688;2,67
256,955;2,66
257,222;2,66
257,488;2,66
257,755;2,65
258,022;2,65
258,288;2,64
258,555;2,62
258,821;2,62
259,088;2,62
259,354;2,62
259,621;2,62
259,887;2,62
260,154;2,61
260,42;2,6
260,687;2,59
260,953;2,59
261,219;2,58
261,486;2,58
261,752;2,57
262,019;2,57
262,285;2,57
262,551;2,57
262,818;2,57
263,084;2,56
263,35;2,56
263,616;2,55
263,883;2,55
264,149;2,54
264,415;2,53
264,681;2,54
264,947;2,54
265,214;2,54
265,48;2,54
265,746;2,54
266,012;2,54
266,278;2,54
266,544;2,54
266,81;2,54
267,076;2,53
267,342;2,52
267,608;2,53
267,874;2,53
268,14;2,53
268,406;2,52
268,672;2,54
268,938;2,54
269,204;2,54
269,47;2,53
269,736;2,54
270,002;2,53
270,268;2,53
270,533;2,53
270,799;2,52
271,065;2,51
271,331;2,51
271,597;2,51
271,862;2,51
272,128;2,51
272,394;2,5
272,66;2,51
272,925;2,52
273,191;2,51
273,457;2,51
273,722;2,5
273,988;2,51
274,254;2,49
274,519;2,48
274,785;2,48
275,05;2,48
275,316;2,48
275,582;2,49
275,847;2,48
276,113;2,47
276,378;2,47
276,644;2,47
276,909;2,47
277,174;2,47
277,44;2,47
277,705;2,48
277,971;2,48
278,236;2,49
278,501;2,48
278,767;2,48
279,032;2,47
279,297;2,47
279,563;2,49
279,828;2,48
280,093;2,49
280,358;2,48
280,624;2,49
280,889;2,48
281,154;2,48
281,419;2,48
281,684;2,48
281,95;2,49
282,215;2,49
282,48;2,49
282,745;2,5
283,01;2,49
283,275;2,49
283,54;2,48
283,805;2,48
284,07;2,48
284,335;2,49
284,6;2,5
284,865;2,5
285,13;2,49
285,395;2,5
285,66;2,5
285,925;2,5
286,19;2,51
286,455;2,53
286,72;2,54
286,985;2,55
287,249;2,55
287,514;2,55
287,779;2,56
288,044;2,56
288,309;2,56
288,573;2,56
288,838;2,57
289,103;2,57
289,367;2,58
289,632;2,58
289,897;2,58
290,161;2,58
290,426;2,58
290,691;2,59
290,955;2,6
291,22;2,61
291,484;2,61
291,749;2,62
292,014;2,61
292,278;2,61
292,543;2,62
292,807;2,62
293,072;2,64
293,336;2,64
293,6;2,64
293,865;2,65
294,129;2,66
294,394;2,66
294,658;2,69
294,922;2,69
295,187;2,7
295,451;2,71
295,715;2,72
295,98;2,74
296,244;2,75
296,508;2,76
296,773;2,77
297,037;2,78
297,301;2,78
297,565;2,8
297,829;2,8
298,094;2,81
298,358;2,83
298,622;2,84
298,886;2,84
299,15;2,86
299,414;2,87
299,678;2,89
299,942;2,89
300,206;2,89
300,47;2,9
300,734;2,91
300,998;2,92
301,262;2,94
301,526;2,94
301,79;2,95
302,054;2,95
302,318;2,96
302,582;2,97
302,846;2,97
303,11;2,97
303,374;2,99
303,637;2,99
303,901;2,99
304,165;2,99
304,429;3
304,693;3
304,956;3,01
305,22;3,01
305,484;3,02
305,747;3,02
306,011;3,02
306,275;3,02
306,538;3,03
306,802;3,03
307,066;3,04
307,329;3,04
307,593;3,05
307,856;3,05
308,12;3,06
308,384;3,06
308,647;3,06
308,911;3,05
309,174;3,06
309,438;3,07
309,701;3,07
309,964;3,07
310,228;3,07
310,491;3,07
310,755;3,08
311,018;3,09
311,281;3,1
311,545;3,1
311,808;3,11
312,071;3,09
312,335;3,09
312,598;3,09
312,861;3,08
313,124;3,08
313,388;3,09
313,651;3,09
313,914;3,08
314,177;3,09
314,44;3,1
314,704;3,11
314,967;3,1
315,23;3,1
315,493;3,1
315,756;3,1
316,019;3,11
316,282;3,11
316,545;3,09
316,808;3,1
317,071;3,1
317,334;3,1
317,597;3,11
317,86;3,11
318,123;3,11
318,386;3,12
318,649;3,12
318,912;3,12
319,175;3,12
319,437;3,13
319,7;3,15
319,963;3,14
320,226;3,14
320,489;3,14
320,751;3,14
321,014;3,14
321,277;3,14
321,54;3,15
321,802;3,15
322,065;3,16
322,328;3,17
322,59;3,15
322,853;3,16
323,116;3,17
323,378;3,17
323,641;3,17
323,903;3,18
324,166;3,18
324,428;3,19
324,691;3,19
324,953;3,18
325,216;3,18
325,478;3,18
325,741;3,18
326,003;3,19
326,266;3,19
326,528;3,19
326,791;3,2
327,053;3,19
327,315;3,18
327,578;3,18
327,84;3,19
328,102;3,2
328,365;3,21
328,627;3,21
328,889;3,2
329,151;3,21
329,414;3,2
329,676;3,2
329,938;3,2
330,2;3,2
330,462;3,21
330,725;3,2
330,987;3,21
331,249;3,21
331,511;3,21
331,773;3,22
332,035;3,23
332,297;3,23
332,559;3,23
332,821;3,24
333,083;3,23
333,345;3,23
333,607;3,23
333,869;3,23
334,131;3,24
334,393;3,26
334,655;3,25
334,917;3,27
335,179;3,28
335,44;3,29
335,702;3,31
335,964;3,32
336,226;3,33
336,488;3,34
336,749;3,35
337,011;3,36
337,273;3,36
337,535;3,36
337,796;3,36
338,058;3,37
338,32;3,39
338,581;3,4
338,843;3,4
339,105;3,41
339,366;3,41
339,628;3,42
339,889;3,43
340,151;3,43
340,412;3,43
340,674;3,43
340,935;3,43
341,197;3,44
341,458;3,44
341,72;3,43
341,981;3,43
342,243;3,45
342,504;3,44
342,766;3,45
343,027;3,45
343,288;3,47
343,55;3,47
343,811;3,46
344,072;3,47
344,334;3,46
344,595;3,47
344,856;3,48
345,117;3,47
345,379;3,48
345,64;3,48
345,901;3,48
346,162;3,48
346,423;3,48
346,684;3,46
346,946;3,46
347,207;3,47
347,468;3,47
347,729;3,47
347,99;3,48
348,251;3,47
348,512;3,48
348,773;3,48
349,034;3,48
349,295;3,49
349,556;3,49
349,817;3,5
350,078;3,5
350,339;3,5
350,6;3,5
350,86;3,51
351,121;3,52
351,382;3,52
351,643;3,54
351,904;3,55
352,165;3,58
352,425;3,57
352,686;3,58
352,947;3,58
353,208;3,59
353,468;3,6
353,729;3,6
353,99;3,6
354,25;3,62
354,511;3,62
354,772;3,62
355,032;3,63
355,293;3,64
355,553;3,65
355,814;3,63
356,074;3,66
356,335;3,65
356,596;3,63
356,856;3,66
357,116;3,67
357,377;3,69
357,637;3,69
357,898;3,71
358,158;3,72
358,419;3,73
358,679;3,73
358,939;3,73
359,2;3,76
359,46;3,77
359,72;3,76
359,981;3,79
360,241;3,79
360,501;3,78
360,761;3,79
361,022;3,79
361,282;3,81
361,542;3,81
361,802;3,83
362,062;3,86
362,323;3,86
362,583;3,88
362,843;3,87
363,103;3,87
363,363;3,87
363,623;3,87
363,883;3,88
364,143;3,88
364,403;3,89
364,663;3,89
364,923;3,9
365,183;3,9
365,443;3,92
365,703;3,94
365,963;3,96
366,223;3,96
366,483;3,97
366,743;3,98
367,002;3,99
367,262;4,01
367,522;4
367,782;4,01
368,042;4
368,301;4,01
368,561;4,02
368,821;4,04
369,081;4,04
369,34;4,04
369,6;4,04
369,86;4,06
370,119;4,06
370,379;4,07
370,638;4,09
370,898;4,07
371,158;4,08
371,417;4,09
371,677;4,11
371,936;4,12
372,196;4,14
372,455;4,15
372,715;4,15
372,974;4,15
373,234;4,16
373,493;4,19
373,753;4,19
374,012;4,22
374,271;4,22
374,531;4,25
374,79;4,28
375,049;4,28
375,309;4,28
375,568;4,3
375,827;4,3
376,086;4,32
376,346;4,35
376,605;4,37
376,864;4,39
377,123;4,41
377,383;4,42
377,642;4,41
377,901;4,43
378,16;4,43
378,419;4,45
378,678;4,46
378,937;4,45
379,196;4,45
379,455;4,45
379,714;4,47
379,973;4,45
380,232;4,46
380,491;4,49
380,75;4,5
381,009;4,51
381,268;4,52
381,527;4,52
381,786;4,52
382,045;4,5
382,304;4,5
382,563;4,49
382,821;4,5
383,08;4,53
383,339;4,52
383,598;4,53
383,857;4,54
384,115;4,56
384,374;4,59
384,633;4,6
384,891;4,63
385,15;4,64
385,409;4,66
385,667;4,67
385,926;4,67
386,185;4,69
386,443;4,71
386,702;4,72
386,96;4,72
387,219;4,75
387,477;4,79
387,736;4,79
387,994;4,81
388,253;4,82
388,511;4,85
388,77;4,86
389,028;4,88
389,287;4,9
389,545;4,9
389,803;4,9
390,062;4,93
390,32;4,92
390,578;4,91
390,837;4,93
391,095;4,94
391,353;4,96
391,612;4,96
391,87;4,96
392,128;4,99
392,386;5
392,644;5
392,903;5,01
393,161;5
393,419;5,01
393,677;5,01
393,935;5
394,193;5,01
394,451;5,02
394,709;5,02
394,967;5,04
395,225;5,04
395,483;5,04
395,741;5,06
395,999;5,09
396,257;5,11
396,515;5,11
396,773;5,12
397,031;5,12
397,289;5,16
397,547;5,14
397,805;5,15
398,062;5,15
398,32;5,15
398,578;5,17
398,836;5,18
399,094;5,18
399,351;5,19
399,609;5,18
399,867;5,17
400,124;5,18
400,382;5,19
400,64;5,21
400,897;5,23
401,155;5,22
401,413;5,24
401,67;5,24
401,928;5,25
402,185;5,26
402,443;5,27
402,701;5,25
402,958;5,28
403,216;5,29
403,473;5,3
403,73;5,31
403,988;5,33
404,245;5,36
404,503;5,39
404,76;5,4
405,018;5,41
405,275;5,43
405,532;5,44
405,79;5,43
406,047;5,44
406,304;5,45
406,561;5,47
406,819;5,47
407,076;5,47
407,333;5,46
407,59;5,45
407,848;5,45
408,105;5,47
408,362;5,47
408,619;5,48
408,876;5,48
409,133;5,47
409,39;5,47
409,647;5,46
409,904;5,43
410,161;5,44
410,418;5,45
410,675;5,46
410,932;5,45
411,189;5,45
411,446;5,46
411,703;5,44
411,96;5,44
412,217;5,43
412,474;5,46
412,731;5,47
412,988;5,48
413,245;5,48
413,501;5,47
413,758;5,46
414,015;5,46
414,272;5,45
414,529;5,46
414,785;5,47
415,042;5,47
415,299;5,47
415,555;5,46
415,812;5,45
416,069;5,43
416,325;5,44
416,582;5,44
416,838;5,44
417,095;5,43
417,352;5,43
417,608;5,42
417,865;5,41
418,121;5,41
418,378;5,4
418,634;5,41
418,891;5,41
419,147;5,41
419,403;5,4
419,66;5,41
419,916;5,41
420,173;5,39
420,429;5,38
420,685;5,39
420,942;5,4
421,198;5,4
421,454;5,41
421,711;5,41
421,967;5,4
422,223;5,38
422,479;5,39
422,735;5,36
422,992;5,35
423,248;5,33
423,504;5,31
423,76;5,32
424,016;5,32
424,272;5,32
424,528;5,34
424,784;5,36
425,041;5,35
425,297;5,35
425,553;5,36
425,809;5,37
426,065;5,36
426,32;5,35
426,576;5,35
426,832;5,35
427,088;5,34
427,344;5,34
427,6;5,34
427,856;5,35
428,112;5,37
428,368;5,38
428,623;5,38
428,879;5,38
429,135;5,35
429,391;5,33
429,646;5,32
429,902;5,3
430,158;5,29
430,414;5,29
430,669;5,29
430,925;5,27
431,181;5,27
431,436;5,27
431,692;5,27
431,947;5,25
432,203;5,22
432,458;5,21
432,714;5,2
432,97;5,2
433,225;5,18
433,481;5,17
433,736;5,16
433,991;5,16
434,247;5,14
434,502;5,16
434,758;5,16
435,013;5,16
435,268;5,16
435,524;5,15
435,779;5,15
436,034;5,13
436,29;5,12
436,545;5,09
436,8;5,08
437,056;5,06
437,311;5,07
437,566;5,08
437,821;5,08
438,076;5,07
438,331;5,07
438,587;5,06
438,842;5,05
439,097;5,03
439,352;5,05
439,607;5,05
439,862;5,05
440,117;5,04
440,372;5,02
440,627;5
440,882;5
441,137;4,98
441,392;4,97
441,647;4,98
441,902;4,99
442,157;4,98
442,412;4,99
442,667;4,97
442,921;4,97
443,176;4,97
443,431;4,98
443,686;4,96
443,941;4,96
444,195;4,95
444,45;4,95
444,705;4,92
444,96;4,9
445,214;4,89
445,469;4,9
445,724;4,89
445,978;4,91
446,233;4,88
446,487;4,87
446,742;4,87
446,997;4,84
447,251;4,83
447,506;4,83
447,76;4,8
448,015;4,8
448,269;4,79
448,524;4,78
448,778;4,76
449,033;4,75
449,287;4,74
449,541;4,74
449,796;4,73
450,05;4,73
450,305;4,73
450,559;4,72
450,813;4,72
451,067;4,7
451,322;4,67
451,576;4,67
451,83;4,66
452,084;4,66
452,339;4,66
452,593;4,65
452,847;4,62
453,101;4,62
453,355;4,62
453,609;4,61
453,864;4,6
454,118;4,59
454,372;4,59
454,626;4,59
454,88;4,59
455,134;4,57
455,388;4,57
455,642;4,57
455,896;4,55
456,15;4,52
456,404;4,52
456,658;4,51
456,912;4,5
457,165;4,51
457,419;4,51
457,673;4,51
457,927;4,52
458,181;4,51
458,435;4,52
458,688;4,52
458,942;4,5
459,196;4,5
459,45;4,48
459,703;4,48
459,957;4,48
460,211;4,45
460,464;4,46
460,718;4,44
460,972;4,43
461,225;4,42
461,479;4,44
461,732;4,43
461,986;4,43
462,239;4,43
462,493;4,43
462,746;4,43
463;4,41
463,253;4,4
463,507;4,41
463,76;4,39
464,014;4,39
464,267;4,38
464,52;4,37
464,774;4,36
465,027;4,35
465,28;4,34
465,534;4,35
465,787;4,34
466,04;4,33
466,294;4,32
466,547;4,34
466,8;4,34
467,053;4,33
467,306;4,33
467,56;4,31
467,813;4,3
468,066;4,27
468,319;4,28
468,572;4,29
468,825;4,28
469,078;4,27
469,331;4,27
469,584;4,26
469,837;4,26
470,09;4,27
470,343;4,27
470,596;4,26
470,849;4,25
471,102;4,25
471,355;4,25
471,608;4,25
471,861;4,22
472,114;4,21
472,367;4,21
472,619;4,21
472,872;4,22
473,125;4,22
473,378;4,22
473,631;4,21
473,883;4,21
474,136;4,22
474,389;4,22
474,641;4,2
474,894;4,21
475,147;4,21
475,399;4,21
475,652;4,2
475,905;4,2
476,157;4,2
476,41;4,2
476,662;4,2
476,915;4,2
477,167;4,2
477,42;4,2
477,672;4,2
477,925;4,2
478,177;4,2
478,43;4,19
478,682;4,2
478,934;4,2
479,187;4,19
479,439;4,18
479,691;4,2
479,944;4,21
480,196;4,22
480,448;4,22
480,701;4,23
480,953;4,24
481,205;4,23
481,457;4,24
481,709;4,25
481,962;4,26
482,214;4,28
482,466;4,32
482,718;4,36
482,97;4,42
483,222;4,47
483,474;4,5
483,726;4,53
483,978;4,55
484,23;4,57
484,482;4,58
484,734;4,59
484,986;4,59
485,238;4,58
485,49;4,58
485,742;4,58
485,994;4,58
486,246;4,58
486,498;4,59
486,75;4,58
487,001;4,57
487,253;4,57
487,505;4,56
487,757;4,54
488,009;4,52
488,26;4,49
488,512;4,45
488,764;4,42
489,015;4,39
489,267;4,36
489,519;4,34
489,77;4,32
490,022;4,31
490,274;4,3
490,525;4,31
490,777;4,3
491,028;4,29
491,28;4,29
491,531;4,27
491,783;4,27
492,034;4,27
492,286;4,29
492,537;4,28
492,789;4,29
493,04;4,28
493,291;4,28
493,543;4,26
493,794;4,26
494,045;4,26
494,297;4,26
494,548;4,26
494,799;4,26
495,051;4,27
495,302;4,26
495,553;4,27
495,804;4,27
496,056;4,27
496,307;4,27
496,558;4,27
496,809;4,28
497,06;4,29
497,311;4,28
497,562;4,28
497,813;4,28
498,064;4,28
498,316;4,3
498,567;4,29
498,818;4,3
499,069;4,3
499,319;4,3
499,57;4,31
499,821;4,3
500,072;4,31
500,323;4,3
500,574;4,31
500,825;4,31
501,076;4,31
501,327;4,31
501,577;4,33
501,828;4,33
502,079;4,33
502,33;4,34
502,58;4,35
502,831;4,35
503,082;4,36
503,333;4,36
503,583;4,35
503,834;4,36
504,084;4,37
504,335;4,37
504,586;4,37
504,836;4,37
505,087;4,38
505,337;4,37
505,588;4,38
505,838;4,37
506,089;4,38
506,339;4,38
506,59;4,39
506,84;4,38
507,091;4,39
507,341;4,38
507,591;4,38
507,842;4,37
508,092;4,37
508,343;4,37
508,593;4,38
508,843;4,38
509,093;4,39
509,344;4,39
509,594;4,4
509,844;4,4
510,094;4,41
510,345;4,41
510,595;4,43
510,845;4,43
511,095;4,44
511,345;4,44
511,595;4,44
511,845;4,44
512,095;4,45
512,345;4,45
512,595;4,47
512,845;4,47
513,095;4,49
513,345;4,49
513,595;4,5
513,845;4,5
514,095;4,5
514,345;4,5
514,595;4,51
514,845;4,51
515,095;4,52
515,345;4,53
515,594;4,53
515,844;4,54
516,094;4,56
516,344;4,55
516,593;4,55
516,843;4,56
517,093;4,56
517,343;4,57
517,592;4,58
517,842;4,59
518,092;4,6
518,341;4,59
518,591;4,61
518,84;4,62
519,09;4,63
519,34;4,64
519,589;4,66
519,839;4,67
520,088;4,68
520,338;4,69
520,587;4,7
520,836;4,7
521,086;4,71
521,335;4,71
521,585;4,72
521,834;4,75
522,083;4,76
522,333;4,78
522,582;4,79
522,831;4,81
523,081;4,82
523,33;4,83
523,579;4,84
523,828;4,86
524,078;4,87
524,327;4,88
524,576;4,9
524,825;4,91
525,074;4,93
525,323;4,92
525,573;4,95
525,822;4,95
526,071;4,97
526,32;4,99
526,569;5,01
526,818;5,03
527,067;5,04
527,316;5,06
527,565;5,08
