Data from GaranzaWhite_Reflection__2__42.txt Node;
186,01;-62,3
186,281;-2442,65
186,552;148,17
186,822;79,34
187,093;-136,36
187,364;-21,56
187,635;8129,79
187,905;70,51
188,176;33,66
188,447;27,31
188,717;20,06
188,988;23,1
189,258;21,18
189,529;23,49
189,8;23,04
190,07;21,51
190,341;21
190,611;20,26
190,882;19,63
191,152;18,92
191,423;18,31
191,693;17,55
191,964;17,74
192,234;18,78
192,505;17,34
192,775;16,4
193,045;16,24
193,316;14,9
193,586;13,92
193,856;13,99
194,127;13,33
194,397;13,19
194,667;13,45
194,938;13,71
195,208;13,05
195,478;12,85
195,748;12,43
196,019;11,78
196,289;11,32
196,559;10,77
196,829;10,26
197,099;9,91
197,37;9,53
197,64;9,51
197,91;9,05
198,18;8,71
198,45;8,52
198,72;8,25
198,99;8,17
199,26;8,22
199,53;7,94
199,8;8,37
200,07;8,39
200,34;8,09
200,61;7,9
200,88;7,98
201,15;7,92
201,42;8,05
201,69;8,12
201,96;8,22
202,23;8,15
202,499;7,93
202,769;7,88
203,039;7,78
203,309;7,47
203,579;7,29
203,849;7,42
204,118;7,28
204,388;7,14
204,658;7,13
204,927;6,92
205,197;6,76
205,467;6,39
205,736;6,32
206,006;6,07
206,276;5,98
206,545;5,59
206,815;5,52
207,085;5,51
207,354;5,31
207,624;5,26
207,893;5,11
208,163;5,17
208,432;5,09
208,702;5,07
208,971;5,13
209,241;5,07
209,51;5,03
209,78;5,09
210,049;5,03
210,318;4,82
210,588;4,92
210,857;4,86
211,127;4,83
211,396;4,75
211,665;4,67
211,935;4,78
212,204;4,83
212,473;4,75
212,742;4,63
213,012;4,69
213,281;4,68
213,55;4,67
213,819;4,64
214,088;4,56
214,358;4,52
214,627;4,42
214,896;4,4
215,165;4,31
215,434;4,23
215,703;4,16
215,972;4,19
216,241;4,13
216,51;4,15
216,779;4,09
217,048;4,1
217,317;4,09
217,586;4,01
217,855;4,02
218,124;3,98
218,393;3,97
218,662;3,9
218,931;3,84
219,2;3,78
219,469;3,77
219,738;3,77
220,006;3,78
220,275;3,79
220,544;3,78
220,813;3,78
221,082;3,79
221,35;3,81
221,619;3,82
221,888;3,79
222,157;3,74
222,425;3,74
222,694;3,71
222,963;3,75
223,231;3,72
223,5;3,72
223,769;3,74
224,037;3,73
224,306;3,75
224,574;3,77
224,843;3,8
225,111;3,8
225,38;3,77
225,648;3,77
225,917;3,74
226,185;3,74
226,454;3,73
226,722;3,71
226,991;3,71
227,259;3,71
227,528;3,7
227,796;3,72
228,064;3,73
228,333;3,73
228,601;3,71
228,869;3,71
229,138;3,69
229,406;3,68
229,674;3,7
229,942;3,71
230,211;3,69
230,479;3,68
230,747;3,67
231,015;3,69
231,283;3,69
231,552;3,69
231,82;3,67
232,088;3,67
232,356;3,68
232,624;3,67
232,892;3,67
233,16;3,68
233,428;3,68
233,696;3,69
233,964;3,69
234,232;3,69
234,5;3,7
234,768;3,7
235,036;3,69
235,304;3,67
235,572;3,65
235,84;3,66
236,108;3,66
236,376;3,66
236,644;3,65
236,912;3,65
237,179;3,66
237,447;3,68
237,715;3,68
237,983;3,68
238,251;3,68
238,518;3,67
238,786;3,66
239,054;3,65
239,322;3,65
239,589;3,65
239,857;3,64
240,125;3,64
240,392;3,64
240,66;3,64
240,927;3,64
241,195;3,64
241,463;3,63
241,73;3,62
241,998;3,62
242,265;3,61
242,533;3,6
242,8;3,6
243,068;3,58
243,335;3,58
