Data from GaranzaWhite_Reflection__3__43.txt Node;
186,01;-871,6
186,281;-3704,41
186,552;80,71
186,822;50,71
187,093;27,27
187,364;-43,73
187,635;3317,02
187,905;72,39
188,176;48,11
188,447;44,54
188,717;37,08
188,988;33,66
189,258;36,34
189,529;32,77
189,8;32,31
190,07;29,25
190,341;29,94
190,611;25,96
190,882;24,59
191,152;24
191,423;22,46
191,693;22
191,964;20,98
192,234;20,82
192,505;19,08
192,775;18,52
193,045;17,69
193,316;18,01
193,586;17,42
193,856;16,27
194,127;14,93
194,397;14,56
194,667;15,05
194,938;15,15
195,208;14,85
195,478;14,54
195,748;14,09
196,019;13,7
196,289;14
196,559;13,54
196,829;13,2
197,099;13,19
197,37;12,84
197,64;13,2
197,91;12,81
198,18;12,88
198,45;12,62
198,72;13,04
198,99;12,4
199,26;11,8
199,53;11,93
199,8;12,52
200,07;12,51
200,34;12,2
200,61;12,23
200,88;12,46
201,15;12,33
201,42;12,27
201,69;12,14
201,96;11,85
202,23;11,61
202,499;11,13
202,769;11,09
203,039;11,06
203,309;10,56
203,579;10,33
203,849;10,35
204,118;10,09
204,388;9,47
204,658;9,36
204,927;9,38
205,197;9,15
205,467;8,74
205,736;8,66
206,006;8,49
206,276;8,19
206,545;7,8
206,815;7,59
207,085;7,56
207,354;7,26
207,624;7,25
207,893;7,15
208,163;7,24
208,432;7,2
208,702;7,11
208,971;7,11
209,241;7,11
209,51;7,05
209,78;7,08
210,049;7,18
210,318;7,13
210,588;7,08
210,857;7,03
211,127;6,94
211,396;6,75
211,665;6,59
211,935;6,68
212,204;6,7
212,473;6,66
212,742;6,58
213,012;6,62
213,281;6,57
213,55;6,5
213,819;6,47
214,088;6,37
214,358;6,25
214,627;6,23
214,896;6,12
215,165;5,99
215,434;5,93
215,703;5,75
215,972;5,74
216,241;5,67
216,51;5,6
216,779;5,51
217,048;5,53
217,317;5,55
217,586;5,44
217,855;5,38
218,124;5,33
218,393;5,25
218,662;5,22
218,931;5,14
219,2;5,06
219,469;4,99
219,738;4,96
220,006;4,97
220,275;4,93
220,544;4,91
220,813;4,91
221,082;4,89
221,35;4,92
221,619;4,88
221,888;4,84
222,157;4,82
222,425;4,85
222,694;4,82
222,963;4,82
223,231;4,77
223,5;4,8
223,769;4,77
224,037;4,79
224,306;4,76
224,574;4,77
224,843;4,8
225,111;4,81
225,38;4,81
225,648;4,81
225,917;4,77
226,185;4,79
226,454;4,79
226,722;4,79
226,991;4,78
227,259;4,78
227,528;4,78
227,796;4,81
228,064;4,81
228,333;4,81
228,601;4,81
228,869;4,82
229,138;4,81
229,406;4,84
229,674;4,87
229,942;4,92
230,211;4,95
230,479;4,97
230,747;4,98
231,015;4,99
231,283;5,03
231,552;5,07
231,82;5,08
232,088;5,11
232,356;5,16
232,624;5,21
232,892;5,25
233,16;5,29
233,428;5,33
233,696;5,38
233,964;5,42
234,232;5,47
234,5;5,53
234,768;5,58
235,036;5,64
235,304;5,67
235,572;5,7
235,84;5,74
236,108;5,8
236,376;5,87
236,644;5,94
236,912;5,98
237,179;6,05
237,447;6,13
237,715;6,19
237,983;6,25
238,251;6,3
238,518;6,36
238,786;6,42
239,054;6,48
239,322;6,54
239,589;6,61
239,857;6,65
240,125;6,72
240,392;6,78
240,66;6,83
240,927;6,88
241,195;6,93
241,463;6,99
241,73;7,04
241,998;7,08
242,265;7,13
242,533;7,18
242,8;7,22
243,068;7,25
243,335;7,28
243,603;7,3
243,87;7,33
244,138;7,36
244,405;7,39
244,672;7,42
244,94;7,44
245,207;7,45
245,474;7,48
245,742;7,49
246,009;7,51
246,276;7,52
246,544;7,54
246,811;7,56
247,078;7,57
247,345;7,58
247,613;7,57
247,88;7,56
248,147;7,56
248,414;7,55
248,681;7,55
248,948;7,55
249,215;7,55
249,483;7,55
249,75;7,55
250,017;7,53
250,284;7,53
250,551;7,52
250,818;7,52
251,085;7,5
251,352;7,49
251,619;7,48
251,886;7,48
252,153;7,46
252,42;7,45
252,687;7,45
252,953;7,44
253,22;7,44
253,487;7,45
253,754;7,44
254,021;7,43
254,288;7,42
254,555;7,41
254,821;7,4
255,088;7,4
255,355;7,39
255,622;7,4
255,888;7,38
256,155;7,37
256,422;7,37
256,688;7,38
256,955;7,36
257,222;7,35
257,488;7,35
257,755;7,35
258,022;7,33
258,288;7,32
258,555;7,3
258,821;7,28
259,088;7,28
259,354;7,27
259,621;7,27
259,887;7,28
260,154;7,27
260,42;7,26
260,687;7,25
260,953;7,25
261,219;7,22
261,486;7,22
261,752;7,21
262,019;7,2
262,285;7,18
262,551;7,17
262,818;7,15
263,084;7,14
263,35;7,13
263,616;7,13
263,883;7,11
264,149;7,11
264,415;7,1
264,681;7,09
264,947;7,08
265,214;7,06
265,48;7,04
265,746;7,03
266,012;7,03
266,278;7,01
266,544;7
266,81;7,01
267,076;7
267,342;6,99
267,608;6,98
267,874;6,99
268,14;6,99
268,406;6,98
268,672;6,99
268,938;6,99
269,204;6,98
269,47;6,97
269,736;6,97
270,002;6,96
270,268;6,95
270,533;6,96
270,799;6,96
271,065;6,95
271,331;6,94
271,597;6,93
271,862;6,94
272,128;6,93
272,394;6,93
272,66;6,92
272,925;6,92
273,191;6,92
273,457;6,92
273,722;6,92
273,988;6,91
274,254;6,89
274,519;6,89
274,785;6,9
275,05;6,89
275,316;6,9
275,582;6,9
275,847;6,91
276,113;6,91
276,378;6,92
276,644;6,92
276,909;6,92
277,174;6,93
277,44;6,93
277,705;6,95
277,971;6,97
278,236;6,98
278,501;6,99
278,767;6,99
279,032;7
279,297;7,01
279,563;7,04
279,828;7,06
280,093;7,08
280,358;7,09
280,624;7,1
280,889;7,11
281,154;7,12
281,419;7,14
281,684;7,15
281,95;7,18
282,215;7,2
282,48;7,23
282,745;7,25
283,01;7,26
283,275;7,28
283,54;7,29
283,805;7,32
284,07;7,36
284,335;7,38
284,6;7,41
284,865;7,45
285,13;7,47
285,395;7,51
285,66;7,54
285,925;7,58
286,19;7,62
286,455;7,67
286,72;7,72
286,985;7,76
287,249;7,81
287,514;7,85
287,779;7,9
288,044;7,94
288,309;7,99
288,573;8,04
288,838;8,09
289,103;8,15
289,367;8,19
289,632;8,24
289,897;8,29
290,161;8,35
290,426;8,39
290,691;8,45
290,955;8,5
291,22;8,56
291,484;8,6
291,749;8,66
292,014;8,71
292,278;8,78
292,543;8,82
292,807;8,88
293,072;8,94
293,336;8,99
293,6;9,05
293,865;9,12
294,129;9,18
294,394;9,23
294,658;9,29
294,922;9,35
295,187;9,41
295,451;9,48
295,715;9,53
295,98;9,59
296,244;9,65
296,508;9,7
296,773;9,76
297,037;9,82
297,301;9,87
297,565;9,92
297,829;9,96
298,094;10,02
298,358;10,07
298,622;10,12
298,886;10,17
