Data from GaranzaWhite_Reflection__0__40.txt Node;
186,01;-493,15
186,281;-2707,35
186,552;162,4
186,822;113,37
187,093;-127,27
187,364;-25,91
187,635;10688,3
187,905;77,39
188,176;33,7
188,447;27,53
188,717;24,25
188,988;21,13
189,258;21,14
189,529;22,74
189,8;22,75
190,07;19,81
190,341;20,79
190,611;19,44
190,882;17,3
191,152;18,01
191,423;17,89
191,693;16,99
191,964;16,12
192,234;17,09
192,505;15,84
192,775;15,17
193,045;14,67
193,316;13,54
193,586;13,24
193,856;13,19
194,127;12,77
194,397;12,17
194,667;12,36
194,938;12,13
195,208;11,81
195,478;11,81
195,748;11,7
196,019;11,03
196,289;10,84
196,559;10,81
196,829;9,86
197,099;9,52
197,37;9,43
197,64;9,63
197,91;9,15
198,18;8,54
198,45;7,98
198,72;7,69
198,99;7,31
199,26;6,68
199,53;6,74
199,8;7,09
200,07;7,21
200,34;7,2
200,61;7,1
200,88;6,9
201,15;6,41
201,42;6,22
201,69;6,12
201,96;6,24
202,23;5,86
202,499;5,81
202,769;5,8
203,039;5,79
203,309;5,47
203,579;5,56
203,849;5,89
204,118;6
204,388;5,8
204,658;5,77
204,927;5,9
205,197;5,81
205,467;5,53
205,736;5,39
206,006;5,2
206,276;5,04
206,545;4,87
206,815;4,81
207,085;4,88
207,354;4,81
207,624;4,69
207,893;4,56
208,163;4,51
208,432;4,49
208,702;4,43
208,971;4,56
209,241;4,48
209,51;4,37
209,78;4,34
210,049;4,39
210,318;4,34
210,588;4,35
210,857;4,28
211,127;4,12
211,396;4,02
211,665;3,93
211,935;4,05
212,204;3,96
212,473;3,98
212,742;3,92
213,012;3,92
213,281;3,87
213,55;3,91
213,819;3,92
214,088;3,79
214,358;3,69
214,627;3,6
214,896;3,55
215,165;3,48
215,434;3,42
215,703;3,32
215,972;3,34
216,241;3,29
216,51;3,2
216,779;3,21
217,048;3,23
217,317;3,22
217,586;3,18
217,855;3,21
218,124;3,11
218,393;3,06
218,662;3
218,931;2,95
219,2;2,88
219,469;2,83
219,738;2,84
220,006;2,85
220,275;2,85
220,544;2,82
220,813;2,8
221,082;2,78
221,35;2,76
221,619;2,72
221,888;2,69
222,157;2,68
222,425;2,68
222,694;2,65
222,963;2,66
223,231;2,59
223,5;2,65
223,769;2,67
224,037;2,67
224,306;2,66
224,574;2,68
224,843;2,7
225,111;2,7
225,38;2,67
225,648;2,66
225,917;2,61
226,185;2,6
226,454;2,57
226,722;2,56
226,991;2,6
227,259;2,59
227,528;2,59
227,796;2,58
228,064;2,57
228,333;2,56
228,601;2,54
228,869;2,53
229,138;2,49
229,406;2,48
229,674;2,47
229,942;2,47
230,211;2,46
230,479;2,46
230,747;2,44
231,015;2,44
231,283;2,42
231,552;2,41
231,82;2,41
232,088;2,42
232,356;2,41
232,624;2,38
232,892;2,37
233,16;2,35
233,428;2,35
233,696;2,34
233,964;2,33
234,232;2,32
234,5;2,33
234,768;2,32
235,036;2,29
235,304;2,28
235,572;2,26
235,84;2,25
236,108;2,24
236,376;2,24
236,644;2,22
236,912;2,22
237,179;2,22
237,447;2,22
237,715;2,21
237,983;2,21
238,251;2,2
238,518;2,2
238,786;2,18
239,054;2,18
239,322;2,18
239,589;2,18
239,857;2,18
240,125;2,19
240,392;2,18
240,66;2,19
240,927;2,2
241,195;2,18
241,463;2,18
241,73;2,17
241,998;2,17
242,265;2,16
242,533;2,15
242,8;2,14
243,068;2,14
243,335;2,14
243,603;2,14
