Data from malachiteVSwhite_Reflection__2__50.txt Node;
"Date: Wed Sep 10 12:51:55 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;37,87
186,281;52,4
186,552;70,23
186,822;82,34
187,093;466,67
187,364;310,37
187,635;136,45
187,905;96,35
188,176;77,54
188,447;46,83
188,717;34,97
188,988;32,02
189,258;33,19
189,529;34,82
189,8;26,94
190,07;25,65
190,341;21,07
190,611;22,99
190,882;17,51
191,152;16,2
191,423;14,65
191,693;15,04
191,964;15,9
192,234;15,43
192,505;15,31
192,775;17,05
193,045;17,15
193,316;15,2
193,586;15,44
193,856;14,34
194,127;14,88
194,397;15,21
194,667;15,28
194,938;13,74
195,208;13,68
195,478;14,91
195,748;14,05
196,019;13,91
196,289;12,86
196,559;13,18
196,829;11,05
197,099;12,14
197,37;11,97
197,64;11,39
197,91;10,68
198,18;10,12
198,45;9,47
198,72;8,7
198,99;8,33
199,26;7,25
199,53;7,95
199,8;8
200,07;8,07
200,34;7,61
200,61;7,87
200,88;7,79
201,15;7,08
201,42;6,8
201,69;6,43
201,96;6,43
202,23;7,22
202,499;8,71
202,769;8,24
203,039;7,73
203,309;7
203,579;6,97
203,849;7,33
204,118;7,11
204,388;7,1
204,658;6,87
204,927;7,02
205,197;6,26
205,467;6,25
205,736;6,25
206,006;6,15
206,276;5,85
206,545;5,82
206,815;5,98
207,085;6,3
207,354;6,64
207,624;6,37
207,893;5,97
208,163;5,25
208,432;5,24
208,702;5,08
208,971;4,88
209,241;4,89
209,51;4,87
209,78;5,09
210,049;5,01
210,318;5,34
210,588;5,21
210,857;5,53
211,127;5,47
211,396;5,08
211,665;5,3
211,935;5,68
212,204;5,85
212,473;5,83
212,742;5,62
213,012;5,57
213,281;5,76
213,55;5,89
213,819;5,95
214,088;5,97
214,358;6,03
214,627;6,24
214,896;6,15
215,165;5,96
215,434;5,68
215,703;5,47
215,972;5,19
216,241;5,07
216,51;4,74
216,779;4,5
217,048;4,52
217,317;4,21
217,586;4,07
217,855;3,89
218,124;3,7
218,393;3,64
218,662;3,67
218,931;3,72
219,2;3,37
219,469;3,46
219,738;3,49
220,006;3,52
220,275;3,4
220,544;3,52
220,813;3,56
221,082;3,68
221,35;3,81
221,619;3,86
221,888;3,96
222,157;4,15
222,425;4,26
222,694;4,24
222,963;4,32
223,231;4,25
223,5;4,3
223,769;4,28
224,037;4,28
224,306;4,14
224,574;4
224,843;4,1
225,111;4,03
225,38;3,9
225,648;3,89
225,917;3,85
226,185;3,77
226,454;3,77
226,722;3,78
226,991;3,65
227,259;3,61
227,528;3,52
227,796;3,42
228,064;3,32
228,333;3,37
228,601;3,36
228,869;3,33
229,138;3,23
229,406;3,26
229,674;3,24
229,942;3,25
230,211;3,26
230,479;3,22
230,747;3,22
231,015;3,22
231,283;3,21
231,552;3,2
231,82;3,12
232,088;3,07
232,356;3,04
232,624;3,08
232,892;3,11
233,16;3,14
233,428;3,15
233,696;3,17
233,964;3,17
234,232;3,16
234,5;3,14
234,768;3,12
235,036;3,13
235,304;3,12
235,572;3,17
235,84;3,11
236,108;3,12
236,376;3,09
236,644;3,05
236,912;3,02
237,179;3,06
237,447;3,06
237,715;3,07
237,983;3,03
238,251;2,98
238,518;2,96
238,786;2,93
239,054;2,86
239,322;2,86
239,589;2,8
239,857;2,77
240,125;2,77
240,392;2,79
240,66;2,77
240,927;2,72
241,195;2,68
241,463;2,73
241,73;2,72
241,998;2,72
242,265;2,71
242,533;2,71
242,8;2,69
243,068;2,71
243,335;2,68
243,603;2,72
243,87;2,71
244,138;2,71
244,405;2,73
244,672;2,74
244,94;2,7
245,207;2,72
245,474;2,75
245,742;2,72
246,009;2,67
246,276;2,69
246,544;2,69
246,811;2,65
247,078;2,64
247,345;2,66
247,613;2,67
247,88;2,65
248,147;2,64
248,414;2,63
248,681;2,63
248,948;2,64
249,215;2,59
249,483;2,59
249,75;2,57
250,017;2,52
250,284;2,52
250,551;2,53
250,818;2,54
251,085;2,52
251,352;2,55
251,619;2,6
251,886;2,56
252,153;2,57
252,42;2,57
252,687;2,57
252,953;2,55
253,22;2,51
253,487;2,52
253,754;2,55
254,021;2,54
254,288;2,54
254,555;2,52
254,821;2,55
255,088;2,56
255,355;2,55
255,622;2,56
255,888;2,57
256,155;2,56
256,422;2,53
256,688;2,52
256,955;2,51
257,222;2,5
257,488;2,51
257,755;2,51
258,022;2,54
258,288;2,52
258,555;2,5
258,821;2,5
259,088;2,51
259,354;2,47
259,621;2,48
259,887;2,51
260,154;2,52
260,42;2,49
260,687;2,49
260,953;2,51
261,219;2,52
261,486;2,48
261,752;2,5
262,019;2,49
262,285;2,48
262,551;2,46
262,818;2,46
263,084;2,45
263,35;2,44
263,616;2,42
263,883;2,42
264,149;2,43
264,415;2,45
264,681;2,43
264,947;2,44
265,214;2,44
265,48;2,39
265,746;2,4
266,012;2,41
266,278;2,38
266,544;2,4
266,81;2,39
267,076;2,42
267,342;2,38
267,608;2,41
267,874;2,41
268,14;2,44
268,406;2,45
268,672;2,45
268,938;2,45
269,204;2,47
269,47;2,47
269,736;2,45
270,002;2,42
270,268;2,45
270,533;2,47
270,799;2,48
271,065;2,45
271,331;2,43
271,597;2,45
271,862;2,46
272,128;2,44
272,394;2,47
272,66;2,44
272,925;2,49
273,191;2,46
273,457;2,47
273,722;2,45
273,988;2,44
274,254;2,44
274,519;2,45
274,785;2,43
275,05;2,42
275,316;2,43
275,582;2,45
275,847;2,44
276,113;2,41
276,378;2,4
276,644;2,46
276,909;2,46
277,174;2,46
277,44;2,48
277,705;2,48
277,971;2,47
278,236;2,5
278,501;2,48
278,767;2,48
279,032;2,49
279,297;2,51
279,563;2,48
279,828;2,48
280,093;2,45
280,358;2,45
280,624;2,45
280,889;2,47
281,154;2,47
281,419;2,47
281,684;2,46
281,95;2,43
282,215;2,43
282,48;2,42
282,745;2,4
283,01;2,39
283,275;2,36
283,54;2,34
283,805;2,31
284,07;2,33
284,335;2,32
284,6;2,31
284,865;2,31
285,13;2,3
285,395;2,32
285,66;2,33
285,925;2,35
286,19;2,35
286,455;2,33
286,72;2,33
286,985;2,3
287,249;2,32
287,514;2,34
287,779;2,31
288,044;2,31
288,309;2,31
288,573;2,3
288,838;2,36
289,103;2,38
289,367;2,39
289,632;2,4
289,897;2,41
290,161;2,41
290,426;2,4
290,691;2,43
290,955;2,4
291,22;2,4
291,484;2,38
291,749;2,37
292,014;2,37
292,278;2,37
292,543;2,41
292,807;2,43
293,072;2,43
293,336;2,43
293,6;2,41
293,865;2,4
294,129;2,39
294,394;2,37
294,658;2,37
294,922;2,34
295,187;2,33
295,451;2,32
295,715;2,32
295,98;2,31
296,244;2,31
296,508;2,3
296,773;2,32
297,037;2,33
297,301;2,35
297,565;2,37
297,829;2,35
298,094;2,33
298,358;2,3
298,622;2,32
298,886;2,34
299,15;2,39
299,414;2,4
299,678;2,44
299,942;2,42
300,206;2,42
300,47;2,45
300,734;2,45
300,998;2,46
301,262;2,47
301,526;2,47
301,79;2,46
302,054;2,49
302,318;2,49
302,582;2,53
302,846;2,51
303,11;2,52
303,374;2,53
303,637;2,54
303,901;2,55
304,165;2,52
304,429;2,52
304,693;2,5
304,956;2,52
305,22;2,52
305,484;2,53
305,747;2,55
306,011;2,53
306,275;2,5
306,538;2,51
306,802;2,51
307,066;2,53
307,329;2,51
307,593;2,5
307,856;2,5
308,12;2,44
308,384;2,48
308,647;2,45
308,911;2,44
309,174;2,43
309,438;2,4
309,701;2,41
309,964;2,42
310,228;2,43
310,491;2,42
310,755;2,41
311,018;2,43
311,281;2,45
311,545;2,46
311,808;2,5
312,071;2,48
312,335;2,47
312,598;2,48
312,861;2,53
313,124;2,56
313,388;2,6
313,651;2,61
313,914;2,6
314,177;2,58
314,44;2,57
314,704;2,56
314,967;2,58
315,23;2,62
315,493;2,64
315,756;2,62
316,019;2,61
316,282;2,6
316,545;2,57
316,808;2,56
317,071;2,57
317,334;2,58
317,597;2,6
317,86;2,63
318,123;2,63
318,386;2,6
318,649;2,57
318,912;2,54
319,175;2,55
319,437;2,54
319,7;2,56
319,963;2,61
320,226;2,63
320,489;2,62
