Data from malachiteVSwhite_Reflection__3__51.txt Node;
"Date: Wed Sep 10 12:52:51 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;23,88
186,281;80,41
186,552;83,49
186,822;76,64
187,093;-166,67
187,364;-34,1
187,635;65,67
187,905;30,17
188,176;32,79
188,447;21,94
188,717;13,98
188,988;13,73
189,258;4,9
189,529;11,76
189,8;7,12
190,07;4,34
190,341;4,2
190,611;4,21
190,882;2,48
191,152;7,1
191,423;5,36
191,693;6,03
191,964;2,54
192,234;6,52
192,505;6,31
192,775;9,66
193,045;10,7
193,316;6,96
193,586;6,9
193,856;5,86
194,127;5,61
194,397;7,46
194,667;7,1
194,938;7,14
195,208;5,25
195,478;5,82
195,748;6,27
196,019;5,4
196,289;5,2
196,559;4,24
196,829;2,97
197,099;3,79
197,37;3,9
197,64;4
197,91;2,64
198,18;3,1
198,45;2,75
198,72;2,44
198,99;3,89
199,26;3,8
199,53;4,38
199,8;4,04
200,07;3,44
200,34;2,86
200,61;3,48
200,88;4,61
201,15;5,36
201,42;4,82
201,69;4,6
201,96;3,68
202,23;4,58
202,499;5,22
202,769;5,32
203,039;4,7
203,309;4,4
203,579;4,46
203,849;4,78
204,118;4,25
204,388;4,37
204,658;3,85
204,927;4,04
205,197;3,65
205,467;3,82
205,736;4,27
206,006;4,67
206,276;4,37
206,545;4,4
206,815;4,3
207,085;4,64
207,354;4,94
207,624;4,79
207,893;4,6
208,163;4,38
208,432;4,68
208,702;4,87
208,971;4,43
209,241;4,96
209,51;4,91
209,78;5,11
210,049;5,07
210,318;5,27
210,588;5,3
210,857;5,34
211,127;5,56
211,396;4,94
211,665;4,81
211,935;5,16
212,204;5,2
212,473;5,02
212,742;4,87
213,012;4,92
213,281;5,31
213,55;5,44
213,819;5,32
214,088;5,05
214,358;5,12
214,627;5,17
214,896;4,67
215,165;4,48
215,434;4,27
215,703;4,03
215,972;3,74
216,241;3,69
216,51;3,62
216,779;3,48
217,048;3,71
217,317;3,55
217,586;3,5
217,855;3,42
218,124;3,49
218,393;3,43
218,662;3,35
218,931;3,33
219,2;3,11
219,469;3,18
219,738;3,14
220,006;3,04
220,275;3,16
220,544;3,34
220,813;3,41
221,082;3,42
221,35;3,53
221,619;3,69
221,888;3,63
222,157;3,68
222,425;3,69
222,694;3,5
222,963;3,58
223,231;3,45
223,5;3,38
223,769;3,27
224,037;3,24
224,306;3,22
224,574;3,2
224,843;3,17
225,111;3,12
225,38;3,09
225,648;3,01
225,917;3
226,185;2,94
226,454;2,91
226,722;3,04
226,991;3,01
227,259;3,02
227,528;3
227,796;2,99
228,064;2,95
228,333;3,06
228,601;3
228,869;2,99
229,138;2,97
229,406;3,01
229,674;3,08
229,942;3,04
230,211;3,07
230,479;3,17
230,747;3,18
231,015;3,19
231,283;3,22
231,552;3,23
231,82;3,18
232,088;3,18
232,356;3,15
232,624;3,13
232,892;3,11
233,16;3,09
233,428;3,04
233,696;3,03
233,964;2,97
234,232;2,98
234,5;2,97
234,768;2,96
235,036;2,96
235,304;2,95
235,572;3,02
235,84;2,94
236,108;2,87
236,376;2,85
236,644;2,83
236,912;2,83
237,179;2,8
237,447;2,77
237,715;2,73
237,983;2,7
238,251;2,69
238,518;2,69
238,786;2,69
239,054;2,69
239,322;2,69
239,589;2,7
239,857;2,68
240,125;2,68
