Data from malachiteVSwhite_Reflection__4__52.txt Node;
"Date: Wed Sep 10 12:54:03 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;10,23
186,281;58,78
186,552;83,32
186,822;81,97
187,093;-100
187,364;671,88
187,635;150,12
187,905;104,72
188,176;83,02
188,447;54,47
188,717;35,95
188,988;20,52
189,258;20,76
189,529;24,55
189,8;23,17
190,07;22,26
190,341;16,93
190,611;12,35
190,882;12,12
191,152;13,89
191,423;12,6
191,693;13,56
191,964;11,93
192,234;11,09
192,505;10,94
192,775;11,81
193,045;9,77
193,316;8
193,586;6,99
193,856;7,94
194,127;8,81
194,397;9,74
194,667;10,76
194,938;9,91
195,208;9,61
195,478;11,65
195,748;12,4
196,019;12,99
196,289;12,76
196,559;11,62
196,829;9,57
197,099;10,55
197,37;10,82
197,64;11,15
197,91;10,78
198,18;10,48
198,45;10,69
198,72;10,49
198,99;10,79
199,26;11,02
199,53;10,7
199,8;10,39
200,07;10,64
200,34;9,63
200,61;10
200,88;9,63
201,15;9,01
201,42;8,3
201,69;8,5
201,96;8,57
202,23;8,97
202,499;10,07
202,769;9,37
203,039;8,68
203,309;7,66
203,579;7,56
203,849;7,67
204,118;7,62
204,388;7,87
204,658;7,78
204,927;7,47
205,197;6,56
205,467;6,86
205,736;6,41
206,006;6,41
206,276;6,36
206,545;6,34
206,815;6,16
207,085;6,19
207,354;5,94
207,624;5,54
207,893;5,79
208,163;5,52
208,432;5,88
208,702;5,76
208,971;5,4
209,241;5,62
209,51;5,58
209,78;5,48
210,049;5,24
210,318;5,24
210,588;5,03
210,857;5,29
211,127;5,2
211,396;5,16
211,665;5,34
211,935;4,99
212,204;4,91
212,473;4,75
212,742;4,62
213,012;4,68
213,281;4,98
213,55;4,8
213,819;4,58
214,088;4,48
214,358;4,36
214,627;4,68
214,896;4,44
215,165;4,47
215,434;4,36
215,703;4,08
215,972;3,95
216,241;4,08
216,51;3,98
216,779;3,89
217,048;3,86
217,317;3,71
217,586;3,92
217,855;4,1
218,124;4,07
218,393;4,1
218,662;4,12
218,931;3,95
219,2;3,65
219,469;3,74
219,738;3,57
220,006;3,63
220,275;3,5
220,544;3,57
220,813;3,57
221,082;3,6
221,35;3,72
221,619;3,73
221,888;3,61
222,157;3,68
222,425;3,59
222,694;3,48
222,963;3,5
223,231;3,41
223,5;3,29
223,769;3,26
224,037;3,22
224,306;3,16
224,574;3,2
224,843;3,32
225,111;3,24
225,38;3,26
225,648;3,18
225,917;3,12
226,185;3,04
226,454;2,96
226,722;3,01
226,991;2,97
227,259;2,94
227,528;2,98
227,796;2,85
228,064;2,83
228,333;2,9
228,601;2,85
228,869;2,79
229,138;2,75
229,406;2,82
229,674;2,77
229,942;2,74
230,211;2,77
230,479;2,71
230,747;2,74
