Data from malachiteVSwhite_Reflection__0__48.txt Node;
"Date: Wed Sep 10 12:48:53 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;74,65
186,281;48,96
186,552;50,66
186,822;113,17
187,093;166,67
187,364;586,54
187,635;160,96
187,905;85,93
188,176;75,34
188,447;49,91
188,717;38,39
188,988;33,93
189,258;34,84
189,529;33,68
189,8;29,5
190,07;31,36
190,341;26,76
190,611;28,12
190,882;25,82
191,152;24,57
191,423;25,33
191,693;27,54
191,964;27,62
192,234;28,23
192,505;26,19
192,775;29,17
193,045;27,12
193,316;24,71
193,586;25,75
193,856;25,32
194,127;25,94
194,397;26,49
194,667;27,26
194,938;25,8
195,208;23,82
195,478;23,28
195,748;23,03
196,019;23,88
196,289;21,91
196,559;21,08
196,829;20,3
197,099;19,95
197,37;17,82
197,64;17,83
197,91;16,04
198,18;15,05
198,45;14,2
198,72;13,29
198,99;13,67
199,26;12,39
199,53;11,47
199,8;11,27
200,07;10,73
200,34;9,77
200,61;9,95
200,88;9,83
201,15;9,67
201,42;9,18
201,69;8,19
201,96;8,17
202,23;9,02
202,499;9,65
202,769;8,72
203,039;8,44
203,309;7,31
203,579;8,4
203,849;8,76
204,118;8,59
204,388;8,79
204,658;8,92
204,927;9,05
205,197;8,92
205,467;8,89
205,736;8,96
206,006;8,75
206,276;8,94
206,545;8,95
206,815;9,04
207,085;9,06
207,354;9,27
207,624;8,97
207,893;8,67
208,163;8,4
208,432;8,72
208,702;8,72
208,971;9,09
209,241;8,72
209,51;8,74
209,78;8,65
210,049;8,71
210,318;8,25
210,588;8,05
210,857;8
211,127;7,95
211,396;7,52
211,665;7,64
211,935;7,58
212,204;7,61
212,473;7,65
212,742;7,22
213,012;7,34
213,281;7,58
213,55;7,86
213,819;7,86
214,088;7,67
214,358;7,85
214,627;7,83
214,896;7,62
215,165;7,44
215,434;7,24
215,703;7
215,972;7,14
216,241;7,3
216,51;7,37
216,779;7,4
217,048;7,69
217,317;7,4
217,586;7,38
217,855;7,3
218,124;7,23
218,393;7,21
218,662;7,09
218,931;6,92
219,2;6,61
219,469;6,62
219,738;6,67
220,006;6,56
220,275;6,46
220,544;6,57
220,813;6,58
221,082;6,45
221,35;6,48
221,619;6,47
221,888;6,3
222,157;6,27
222,425;6,16
222,694;5,96
222,963;5,99
223,231;5,86
223,5;5,83
223,769;5,71
224,037;5,72
224,306;5,57
224,574;5,6
224,843;5,59
225,111;5,46
225,38;5,3
225,648;5,23
225,917;5,24
226,185;5,19
226,454;5,16
226,722;5,33
226,991;5,24
227,259;5,24
227,528;5,18
227,796;5,09
228,064;4,99
228,333;4,95
228,601;4,9
228,869;4,86
229,138;4,76
229,406;4,8
229,674;4,8
229,942;4,84
230,211;4,91
230,479;4,87
230,747;4,87
231,015;4,9
231,283;4,93
231,552;4,85
231,82;4,76
232,088;4,74
232,356;4,68
232,624;4,68
232,892;4,59
233,16;4,63
233,428;4,62
233,696;4,63
233,964;4,68
234,232;4,68
234,5;4,68
234,768;4,67
235,036;4,68
235,304;4,71
235,572;4,73
235,84;4,61
236,108;4,58
236,376;4,55
236,644;4,54
236,912;4,5
237,179;4,58
237,447;4,61
237,715;4,57
237,983;4,57
238,251;4,56
238,518;4,59
238,786;4,61
239,054;4,62
239,322;4,63
239,589;4,61
239,857;4,59
240,125;4,58
240,392;4,58
240,66;4,58
240,927;4,54
241,195;4,46
241,463;4,52
241,73;4,52
241,998;4,52
242,265;4,5
242,533;4,49
242,8;4,44
243,068;4,42
243,335;4,4
243,603;4,37
243,87;4,37
244,138;4,35
244,405;4,31
244,672;4,32
244,94;4,31
245,207;4,32
245,474;4,34
245,742;4,35
246,009;4,33
246,276;4,33
246,544;4,32
246,811;4,37
247,078;4,35
247,345;4,4
247,613;4,4
247,88;4,39
248,147;4,37
248,414;4,37
248,681;4,37
248,948;4,43
249,215;4,46
249,483;4,47
249,75;4,47
250,017;4,46
250,284;4,45
250,551;4,45
250,818;4,46
251,085;4,44
251,352;4,45
251,619;4,49
251,886;4,46
252,153;4,45
252,42;4,44
252,687;4,44
252,953;4,41
253,22;4,4
253,487;4,42
253,754;4,46
254,021;4,47
254,288;4,46
254,555;4,44
254,821;4,43
255,088;4,39
255,355;4,38
255,622;4,4
255,888;4,42
256,155;4,39
256,422;4,36
256,688;4,38
256,955;4,41
257,222;4,4
257,488;4,43
257,755;4,46
258,022;4,47
258,288;4,48
258,555;4,48
258,821;4,49
259,088;4,5
259,354;4,49
259,621;4,52
259,887;4,56
260,154;4,57
260,42;4,58
260,687;4,62
260,953;4,66
261,219;4,7
261,486;4,68
261,752;4,73
262,019;4,75
262,285;4,75
262,551;4,75
262,818;4,79
263,084;4,77
263,35;4,76
263,616;4,76
263,883;4,78
264,149;4,83
264,415;4,88
264,681;4,88
264,947;4,9
265,214;4,9
265,48;4,91
265,746;4,93
266,012;4,96
266,278;4,96
266,544;4,96
266,81;4,95
267,076;4,97
267,342;4,94
267,608;4,96
267,874;4,98
268,14;4,99
268,406;5
268,672;5,04
268,938;5,06
269,204;5,06
269,47;5,04
269,736;5,04
270,002;5
270,268;5,04
270,533;5,07
270,799;5,06
271,065;5,05
271,331;5,05
271,597;5,06
271,862;5,08
272,128;5,09
272,394;5,13
272,66;5,16
272,925;5,18
273,191;5,2
273,457;5,22
273,722;5,23
273,988;5,21
274,254;5,21
274,519;5,23
274,785;5,24
275,05;5,25
275,316;5,29
275,582;5,31
275,847;5,33
276,113;5,31
276,378;5,36
276,644;5,4
276,909;5,39
277,174;5,4
277,44;5,43
277,705;5,43
277,971;5,43
278,236;5,43
278,501;5,47
278,767;5,48
279,032;5,5
279,297;5,49
279,563;5,5
279,828;5,57
280,093;5,56
280,358;5,57
280,624;5,6
280,889;5,61
281,154;5,62
281,419;5,65
281,684;5,69
281,95;5,67
282,215;5,69
282,48;5,73
282,745;5,75
283,01;5,76
283,275;5,78
283,54;5,79
283,805;5,79
284,07;5,83
284,335;5,85
284,6;5,87
284,865;5,91
285,13;5,91
285,395;5,9
285,66;5,95
285,925;6
286,19;6,04
286,455;6,07
286,72;6,08
286,985;6,06
287,249;6,07
287,514;6,1
287,779;6,1
288,044;6,13
288,309;6,16
288,573;6,16
