Data from malachiteVSwhite_Reflection__1__49.txt Node;
"Date: Wed Sep 10 12:50:59 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-56,19
186,281;29,82
186,552;38,61
186,822;92,08
187,093;233,33
187,364;435,09
187,635;105,88
187,905;28,24
188,176;32,24
188,447;12,95
188,717;21,65
188,988;23,29
189,258;26,04
189,529;25,45
189,8;25,08
190,07;27,09
190,341;27,32
190,611;22,8
190,882;21,48
191,152;26,19
191,423;24,63
191,693;23,41
191,964;20,46
192,234;20,77
192,505;17,37
192,775;20,42
193,045;20,56
193,316;18,3
193,586;19,2
193,856;19,57
194,127;19,6
194,397;18,83
194,667;17,92
194,938;18,83
195,208;18,64
195,478;19,61
195,748;19,29
196,019;18,68
196,289;18,68
196,559;16,46
196,829;13,17
197,099;12,96
197,37;12,26
197,64;12,21
197,91;10,85
198,18;11,1
198,45;10,18
198,72;9,13
198,99;9,83
199,26;10
199,53;10,18
199,8;11,31
200,07;11,36
200,34;12,1
200,61;11,17
200,88;11,39
201,15;10,62
201,42;9,8
201,69;9,46
201,96;8,64
202,23;9,42
202,499;10,21
202,769;10,37
203,039;9,65
203,309;8,87
203,579;9,05
203,849;9,14
204,118;8,64
204,388;8,66
204,658;8,38
204,927;8,18
205,197;7,67
205,467;7,21
205,736;6,72
206,006;6,54
206,276;6,66
206,545;6,34
206,815;6,76
207,085;7,33
207,354;7,58
207,624;7,35
207,893;7,43
208,163;7,3
208,432;7,14
208,702;7,19
208,971;7,15
209,241;7,16
209,51;7,53
209,78;7,52
210,049;7,3
210,318;7,54
210,588;7,37
210,857;7,39
211,127;7,36
211,396;7,22
211,665;7,32
211,935;7,29
212,204;7,41
212,473;7,07
212,742;6,87
213,012;6,8
213,281;7,1
213,55;6,94
213,819;6,9
214,088;6,88
214,358;6,88
214,627;7
214,896;7,08
215,165;6,6
215,434;6,5
215,703;6,35
215,972;6,07
216,241;6,31
216,51;6,14
216,779;5,96
217,048;6,13
217,317;5,87
217,586;5,93
217,855;5,92
218,124;5,89
218,393;5,75
218,662;5,79
218,931;5,72
219,2;5,57
219,469;5,55
219,738;5,44
220,006;5,54
220,275;5,41
220,544;5,27
220,813;5,37
221,082;5,37
221,35;5,5
221,619;5,6
221,888;5,35
222,157;5,38
222,425;5,47
222,694;5,29
222,963;5,4
223,231;5,33
223,5;5,19
223,769;5,16
224,037;5,21
224,306;5,06
224,574;5,06
224,843;5,08
225,111;5
225,38;4,98
225,648;4,85
225,917;4,87
226,185;4,89
226,454;4,89
226,722;4,96
226,991;4,83
227,259;4,77
227,528;4,76
227,796;4,72
228,064;4,62
