Data from MinioWhite_Reflection__2__40.txt Node;
"Date: Thu Sep 11 16:57:17 CEST 2025 User: sycur";
186,01;-1347,17
186,281;1465,28
186,552;298,07
186,822;100,83
187,093;0
187,364;-164,27
187,635;-146,31
187,905;99,42
188,176;42,45
188,447;41,92
188,717;35,48
188,988;31,49
189,258;33,04
189,529;36,27
189,8;38,05
190,07;35,25
190,341;33,26
190,611;29,95
190,882;28,8
191,152;28,28
191,423;26,49
191,693;25,78
191,964;26,06
192,234;25,91
192,505;23,99
192,775;24,64
193,045;23,23
193,316;22,22
193,586;21,14
193,856;21,29
194,127;21,09
194,397;20,89
194,667;21,57
194,938;20,95
195,208;20,45
195,478;19,13
195,748;18,78
196,019;18,66
196,289;19,19
196,559;19,1
196,829;18,6
197,099;18,71
197,37;18,4
197,64;17,33
197,91;16,83
198,18;16,83
198,45;15,93
198,72;15,98
198,99;15,71
199,26;15,6
199,53;15,39
199,8;14,91
200,07;14,79
200,34;14,13
200,61;13,78
200,88;13,78
201,15;13,91
201,42;13,49
201,69;12,85
201,96;12,49
202,23;12,27
202,499;12,24
202,769;12,14
203,039;12,16
203,309;12,48
203,579;12,3
203,849;12,3
204,118;12,06
204,388;11,92
204,658;11,68
204,927;11,53
205,197;11,35
205,467;11,01
205,736;10,65
206,006;10,49
206,276;10,39
206,545;10,07
206,815;9,97
207,085;9,89
207,354;9,97
207,624;9,9
207,893;9,75
208,163;9,6
208,432;9,39
208,702;9,25
208,971;9,05
209,241;8,97
209,51;8,81
209,78;8,62
210,049;8,47
210,318;8,42
210,588;8,42
210,857;8,26
211,127;8,16
211,396;8,22
211,665;8,23
211,935;8,28
212,204;8,31
212,473;8,15
212,742;8,13
213,012;8
213,281;7,9
213,55;7,83
213,819;7,6
214,088;7,52
214,358;7,48
214,627;7,4
214,896;7,24
215,165;7,13
215,434;7,11
215,703;7,15
215,972;7,07
216,241;6,95
216,51;6,96
216,779;6,89
217,048;6,79
217,317;6,69
217,586;6,52
217,855;6,41
