Data from MinioWhite_Reflection__3__41.txt Node;
"Date: Thu Sep 11 16:57:57 CEST 2025 User: sycur";
186,01;-2700,83
186,281;1799,62
186,552;455,02
186,822;492,61
187,093;0
187,364;-233,49
187,635;-123,79
187,905;67,17
188,176;36,32
188,447;33,28
188,717;28,01
188,988;27,26
189,258;27,1
189,529;30,25
189,8;27,74
190,07;27,68
190,341;28,58
190,611;24,79
190,882;22,37
191,152;23,37
191,423;20,59
191,693;21,01
191,964;20,39
192,234;19,46
192,505;18,01
192,775;17,76
193,045;16,77
193,316;15,83
193,586;15,58
193,856;15,63
194,127;15,34
194,397;15,5
194,667;16,15
194,938;16
195,208;15,65
195,478;14,49
195,748;14,42
196,019;13,81
196,289;14,79
196,559;14,94
196,829;14,61
197,099;14,61
197,37;13,84
197,64;12,89
197,91;12,88
198,18;12,91
198,45;12,34
198,72;12,67
198,99;12,51
199,26;12,33
199,53;12,25
199,8;12,14
200,07;11,71
200,34;11,48
200,61;10,87
200,88;10,68
201,15;10,92
201,42;10,54
201,69;10,01
201,96;9,81
202,23;9,76
202,499;9,52
202,769;9,77
203,039;9,88
203,309;10,09
203,579;9,98
203,849;9,93
204,118;9,78
204,388;9,44
204,658;9,35
204,927;9,15
205,197;9
205,467;8,65
205,736;8,57
206,006;8,4
206,276;8,29
206,545;8,15
206,815;8,05
207,085;7,82
207,354;7,81
207,624;7,66
207,893;7,4
208,163;7,38
208,432;6,99
208,702;6,85
208,971;6,77
209,241;6,64
209,51;6,46
209,78;6,39
210,049;6,49
210,318;6,45
210,588;6,47
210,857;6,27
211,127;6,2
211,396;6,09
211,665;6,03
211,935;6,06
212,204;6,09
212,473;5,99
212,742;6,04
213,012;5,96
213,281;5,85
213,55;5,88
213,819;5,65
214,088;5,7
214,358;5,66
214,627;5,54
214,896;5,46
215,165;5,45
215,434;5,37
215,703;5,27
215,972;5,16
216,241;5,06
216,51;5,06
216,779;5,08
217,048;5,01
217,317;4,91
217,586;4,84
217,855;4,76
218,124;4,77
218,393;4,75
218,662;4,73
218,931;4,7
219,2;4,65
219,469;4,7
219,738;4,67
220,006;4,65
220,275;4,63
220,544;4,61
220,813;4,51
221,082;4,49
221,35;4,4
221,619;4,39
221,888;4,37
222,157;4,36
222,425;4,33
222,694;4,3
222,963;4,31
223,231;4,32
223,5;4,33
223,769;4,29
224,037;4,26
224,306;4,29
224,574;4,25
224,843;4,24
225,111;4,23
225,38;4,21
225,648;4,18
225,917;4,15
226,185;4,18
226,454;4,19
226,722;4,16
226,991;4,16
227,259;4,12
227,528;4,13
227,796;4,12
228,064;4,09
228,333;4,1
228,601;4,1
228,869;4,08
229,138;4,05
229,406;4,04
229,674;4,03
229,942;3,99
230,211;3,97
230,479;3,97
230,747;3,94
231,015;3,92
231,283;3,93
231,552;3,92
231,82;3,87
232,088;3,86
232,356;3,85
232,624;3,83
232,892;3,84
233,16;3,81
233,428;3,78
233,696;3,77
233,964;3,75
234,232;3,73
234,5;3,71
234,768;3,7
235,036;3,7
235,304;3,69
235,572;3,68
235,84;3,67
236,108;3,66
236,376;3,66
236,644;3,66
236,912;3,63
237,179;3,61
237,447;3,62
237,715;3,62
237,983;3,62
238,251;3,62
238,518;3,62
238,786;3,62
239,054;3,61
239,322;3,59
239,589;3,61
239,857;3,59
240,125;3,6
240,392;3,59
240,66;3,58
240,927;3,57
241,195;3,56
241,463;3,56
241,73;3,57
241,998;3,55
242,265;3,54
242,533;3,54
242,8;3,55
243,068;3,54
243,335;3,53
243,603;3,52
243,87;3,53
244,138;3,51
244,405;3,51
244,672;3,5
244,94;3,5
245,207;3,48
245,474;3,5
245,742;3,49
246,009;3,48
246,276;3,47
246,544;3,48
246,811;3,47
247,078;3,48
247,345;3,46
247,613;3,46
247,88;3,47
248,147;3,45
248,414;3,44
248,681;3,43
248,948;3,44
249,215;3,44
249,483;3,43
249,75;3,44
250,017;3,43
250,284;3,43
250,551;3,42
250,818;3,42
251,085;3,41
251,352;3,41
251,619;3,4
251,886;3,4
252,153;3,4
252,42;3,41
252,687;3,4
252,953;3,41
253,22;3,41
253,487;3,43
253,754;3,44
254,021;3,45
254,288;3,45
254,555;3,44
254,821;3,45
255,088;3,44
255,355;3,44
255,622;3,44
255,888;3,45
256,155;3,46
256,422;3,46
256,688;3,46
256,955;3,46
257,222;3,47
257,488;3,46
257,755;3,47
258,022;3,47
258,288;3,47
258,555;3,46
258,821;3,47
259,088;3,45
259,354;3,44
259,621;3,45
259,887;3,45
260,154;3,45
260,42;3,45
260,687;3,45
260,953;3,46
261,219;3,45
261,486;3,45
261,752;3,44
262,019;3,44
262,285;3,44
262,551;3,44
262,818;3,45
263,084;3,45
263,35;3,45
263,616;3,46
263,883;3,46
264,149;3,47
264,415;3,46
264,681;3,47
264,947;3,47
265,214;3,46
265,48;3,47
265,746;3,47
266,012;3,47
266,278;3,47
266,544;3,48
266,81;3,49
267,076;3,49
267,342;3,49
267,608;3,5
267,874;3,5
268,14;3,51
268,406;3,49
268,672;3,5
268,938;3,51
269,204;3,5
269,47;3,5
269,736;3,49
270,002;3,5
270,268;3,49
270,533;3,5
270,799;3,5
271,065;3,49
271,331;3,49
271,597;3,49
271,862;3,49
272,128;3,49
272,394;3,48
272,66;3,49
272,925;3,49
273,191;3,49
273,457;3,49
273,722;3,48
273,988;3,49
274,254;3,48
274,519;3,48
274,785;3,49
275,05;3,49
275,316;3,5
275,582;3,49
275,847;3,5
276,113;3,49
276,378;3,5
276,644;3,5
276,909;3,51
277,174;3,51
277,44;3,52
277,705;3,52
277,971;3,53
278,236;3,52
278,501;3,52
278,767;3,53
279,032;3,52
279,297;3,53
279,563;3,55
279,828;3,56
280,093;3,55
280,358;3,55
280,624;3,56
280,889;3,56
281,154;3,57
281,419;3,57
281,684;3,57
281,95;3,58
282,215;3,58
282,48;3,58
282,745;3,58
283,01;3,58
283,275;3,58
283,54;3,58
283,805;3,59
284,07;3,6
284,335;3,6
284,6;3,61
284,865;3,6
285,13;3,59
