Data from MinioWhite_Reflection__0__38.txt Node;
"Date: Thu Sep 11 16:55:11 CEST 2025 User: sycur";
186,01;-1165,52
186,281;918,87
186,552;292,46
186,822;49,04
187,093;0
187,364;-316,61
187,635;-123,65
187,905;92,89
188,176;55,34
188,447;47,02
188,717;39,03
188,988;42,6
189,258;40,38
189,529;40,81
189,8;40,29
190,07;37,5
190,341;35,29
190,611;31,04
190,882;33,17
191,152;33,08
191,423;30,81
191,693;29,44
191,964;28,82
192,234;28,29
192,505;26,2
192,775;25,83
193,045;24,59
193,316;23,7
193,586;23,27
193,856;22,32
194,127;22,24
194,397;22,63
194,667;22,47
194,938;21,86
195,208;21,72
195,478;20,93
195,748;20,55
196,019;21,12
196,289;21,45
196,559;20,47
196,829;20,12
197,099;20,03
197,37;20,21
197,64;19,59
197,91;19,56
198,18;19,86
198,45;19,91
198,72;19,81
198,99;19,82
199,26;19,43
199,53;19,25
199,8;18,81
200,07;18,55
200,34;18,03
200,61;18
200,88;17,98
201,15;17,79
201,42;17,64
201,69;16,95
201,96;16,93
202,23;16,84
202,499;16,49
202,769;16,92
203,039;16,71
203,309;16,73
203,579;16,4
203,849;16,16
204,118;15,85
204,388;15,7
204,658;15,53
204,927;15,5
205,197;15,46
205,467;15,22
205,736;14,96
206,006;14,86
206,276;14,71
206,545;14,42
206,815;14,55
207,085;14,42
207,354;14,55
207,624;14,41
207,893;14,24
208,163;14,28
208,432;13,85
208,702;13,75
208,971;13,66
209,241;13,61
209,51;13,6
209,78;13,57
210,049;13,49
210,318;13,46
210,588;13,32
210,857;13,24
211,127;13,28
211,396;13,26
211,665;13,17
211,935;13,21
212,204;13,3
212,473;13,14
212,742;13,11
213,012;12,97
213,281;12,86
213,55;12,94
213,819;12,75
214,088;12,73
214,358;12,68
214,627;12,61
214,896;12,5
215,165;12,4
215,434;12,27
215,703;12,29
215,972;12,14
216,241;12,12
216,51;12,1
216,779;11,98
217,048;11,9
217,317;11,82
217,586;11,75
217,855;11,62
218,124;11,59
218,393;11,57
218,662;11,46
218,931;11,38
219,2;11,26
219,469;11,2
219,738;11,12
220,006;11,06
220,275;11,02
220,544;10,99
220,813;10,89
221,082;10,87
221,35;10,78
221,619;10,71
221,888;10,65
222,157;10,59
222,425;10,51
222,694;10,41
222,963;10,36
223,231;10,23
223,5;10,15
223,769;10,06
224,037;9,95
224,306;9,93
224,574;9,87
224,843;9,8
225,111;9,76
225,38;9,68
225,648;9,6
225,917;9,47
226,185;9,43
226,454;9,35
226,722;9,23
226,991;9,17
227,259;9,09
227,528;9,03
227,796;8,93
228,064;8,87
228,333;8,83
228,601;8,77
228,869;8,69
229,138;8,6
229,406;8,53
229,674;8,48
229,942;8,39
230,211;8,34
230,479;8,28
230,747;8,17
231,015;8,12
231,283;8,06
231,552;8,03
231,82;7,92
232,088;7,85
232,356;7,81
232,624;7,74
232,892;7,69
233,16;7,59
233,428;7,53
233,696;7,46
233,964;7,39
234,232;7,32
234,5;7,28
234,768;7,24
235,036;7,19
235,304;7,13
235,572;7,08
235,84;7,02
236,108;6,96
236,376;6,95
236,644;6,92
236,912;6,85
237,179;6,79
237,447;6,78
237,715;6,76
237,983;6,73
238,251;6,7
238,518;6,69
238,786;6,69
239,054;6,68
239,322;6,64
239,589;6,63
239,857;6,62
240,125;6,61
240,392;6,61
240,66;6,61
240,927;6,61
241,195;6,62
241,463;6,64
241,73;6,66
241,998;6,66
242,265;6,66
242,533;6,69
242,8;6,74
243,068;6,76
243,335;6,79
243,603;6,82
243,87;6,85
244,138;6,86
244,405;6,9
244,672;6,95
244,94;7
245,207;7,06
245,474;7,11
245,742;7,16
246,009;7,21
246,276;7,27
246,544;7,33
246,811;7,4
247,078;7,46
247,345;7,51
247,613;7,58
247,88;7,65
248,147;7,7
248,414;7,76
248,681;7,83
248,948;7,91
249,215;7,99
249,483;8,06
249,75;8,15
250,017;8,23
250,284;8,3
250,551;8,38
250,818;8,46
251,085;8,53
251,352;8,61
251,619;8,68
251,886;8,76
252,153;8,82
252,42;8,9
252,687;8,96
252,953;9,04
253,22;9,11
253,487;9,2
253,754;9,28
254,021;9,36
254,288;9,42
254,555;9,49
254,821;9,55
255,088;9,61
255,355;9,68
255,622;9,73
255,888;9,76
256,155;9,83
256,422;9,86
256,688;9,91
256,955;9,96
257,222;10,01
257,488;10,04
257,755;10,11
258,022;10,14
258,288;10,18
258,555;10,21
258,821;10,26
259,088;10,28
259,354;10,31
259,621;10,34
259,887;10,37
260,154;10,38
260,42;10,41
260,687;10,45
260,953;10,46
261,219;10,48
261,486;10,5
261,752;10,52
262,019;10,56
262,285;10,58
262,551;10,59
262,818;10,61
263,084;10,62
263,35;10,63
263,616;10,65
263,883;10,68
264,149;10,71
264,415;10,71
264,681;10,73
264,947;10,76
265,214;10,76
265,48;10,76
265,746;10,78
266,012;10,78
266,278;10,79
266,544;10,8
266,81;10,81
267,076;10,82
267,342;10,83
267,608;10,83
267,874;10,84
268,14;10,85
268,406;10,86
268,672;10,87
268,938;10,88
269,204;10,87
269,47;10,87
269,736;10,87
270,002;10,87
270,268;10,87
270,533;10,86
270,799;10,86
271,065;10,88
271,331;10,88
271,597;10,88
271,862;10,87
272,128;10,87
272,394;10,87
272,66;10,87
272,925;10,86
273,191;10,86
273,457;10,85
273,722;10,86
273,988;10,84
274,254;10,83
274,519;10,81
274,785;10,81
275,05;10,8
275,316;10,8
275,582;10,79
275,847;10,78
276,113;10,77
276,378;10,76
276,644;10,74
276,909;10,73
277,174;10,73
277,44;10,74
277,705;10,74
277,971;10,73
278,236;10,72
278,501;10,72
278,767;10,7
279,032;10,68
279,297;10,66
279,563;10,66
279,828;10,67
280,093;10,66
280,358;10,65
280,624;10,65
280,889;10,63
281,154;10,63
281,419;10,62
281,684;10,6
281,95;10,61
282,215;10,6
282,48;10,6
282,745;10,59
283,01;10,56
283,275;10,54
283,54;10,53
283,805;10,51
284,07;10,51
284,335;10,51
284,6;10,51
284,865;10,49
285,13;10,47
285,395;10,45
285,66;10,44
285,925;10,43
286,19;10,42
286,455;10,41
286,72;10,38
286,985;10,37
287,249;10,37
287,514;10,35
287,779;10,35
288,044;10,35
288,309;10,33
288,573;10,33
288,838;10,32
289,103;10,32
289,367;10,31
289,632;10,31
289,897;10,3
290,161;10,29
290,426;10,29
290,691;10,29
290,955;10,28
291,22;10,28
291,484;10,28
291,749;10,26
292,014;10,25
292,278;10,26
292,543;10,25
292,807;10,25
293,072;10,24
293,336;10,22
293,6;10,21
293,865;10,2
294,129;10,19
294,394;10,19
294,658;10,18
294,922;10,17
295,187;10,15
295,451;10,15
295,715;10,13
295,98;10,12
296,244;10,12
296,508;10,1
296,773;10,09
297,037;10,09
297,301;10,07
297,565;10,07
297,829;10,04
298,094;10,03
298,358;10,01
298,622;9,99
298,886;9,98
299,15;9,96
299,414;9,95
299,678;9,94
299,942;9,93
300,206;9,91
300,47;9,9
300,734;9,89
300,998;9,87
301,262;9,87
301,526;9,85
301,79;9,84
302,054;9,82
302,318;9,8
302,582;9,79
302,846;9,78
303,11;9,76
303,374;9,76
303,637;9,75
303,901;9,74
304,165;9,72
304,429;9,7
304,693;9,68
304,956;9,66
305,22;9,64
305,484;9,62
305,747;9,61
306,011;9,58
306,275;9,56
306,538;9,55
306,802;9,52
307,066;9,5
307,329;9,49
307,593;9,48
307,856;9,47
308,12;9,44
308,384;9,42
308,647;9,39
308,911;9,38
309,174;9,36
309,438;9,36
309,701;9,36
309,964;9,34
310,228;9,34
310,491;9,33
310,755;9,33
311,018;9,31
311,281;9,3
311,545;9,3
311,808;9,29
312,071;9,27
