Data from MinioWhite_Reflection__1__39.txt Node;
"Date: Thu Sep 11 16:56:23 CEST 2025 User: sycur";
186,01;-3004,41
186,281;2070,94
186,552;392,49
186,822;103,69
187,093;0
187,364;-636,14
187,635;-227,97
187,905;100,98
188,176;51,09
188,447;48,69
188,717;40,32
188,988;43,58
189,258;44,89
189,529;41,95
189,8;42,38
190,07;41,84
190,341;39,34
190,611;37,61
190,882;36,18
191,152;34,49
191,423;33,49
191,693;33,22
191,964;32,71
192,234;31,04
192,505;28,5
192,775;28,69
193,045;26,73
193,316;26,11
193,586;25,49
193,856;25,31
194,127;24,91
194,397;25,04
194,667;24,98
194,938;24,57
195,208;24,78
195,478;23,89
195,748;23,69
196,019;23,17
196,289;23,08
196,559;22,52
196,829;21,81
197,099;21,23
197,37;20,63
197,64;19,55
197,91;19,81
198,18;19,59
198,45;18,84
198,72;19,34
198,99;19,11
199,26;18,71
199,53;18,44
199,8;18,09
200,07;17,82
200,34;17,11
200,61;16,72
200,88;16,61
201,15;16,73
201,42;16,66
201,69;16,43
201,96;16,27
202,23;16,24
202,499;16,07
202,769;16,42
203,039;16,36
203,309;16,25
203,579;16,02
203,849;16,1
204,118;15,86
204,388;15,24
204,658;14,92
204,927;14,75
205,197;14,62
205,467;14,12
205,736;13,85
206,006;13,75
206,276;13,49
206,545;13,03
206,815;12,63
207,085;12,26
207,354;12,13
207,624;11,82
207,893;11,53
208,163;11,53
208,432;11,21
208,702;10,94
208,971;10,87
209,241;10,61
209,51;10,39
209,78;10,3
210,049;10,24
210,318;10,23
210,588;10,2
210,857;9,97
211,127;9,92
211,396;9,77
211,665;9,6
211,935;9,52
212,204;9,55
212,473;9,44
212,742;9,39
213,012;9,21
213,281;9,21
213,55;9,12
213,819;8,88
214,088;8,75
214,358;8,68
214,627;8,65
214,896;8,49
215,165;8,37
215,434;8,34
215,703;8,26
215,972;8,08
216,241;8,06
216,51;8,04
216,779;8
217,048;7,95
217,317;7,83
217,586;7,79
217,855;7,74
218,124;7,76
218,393;7,7
218,662;7,7
218,931;7,64
219,2;7,59
219,469;7,55
219,738;7,49
220,006;7,4
220,275;7,32
220,544;7,35
220,813;7,24
221,082;7,17
221,35;7,09
221,619;7,04
221,888;6,97
222,157;6,96
222,425;6,88
222,694;6,82
222,963;6,81
223,231;6,75
223,5;6,72
223,769;6,65
224,037;6,61
224,306;6,6
224,574;6,55
224,843;6,52
225,111;6,51
225,38;6,52
225,648;6,5
225,917;6,45
226,185;6,45
226,454;6,44
226,722;6,41
226,991;6,38
227,259;6,36
227,528;6,35
227,796;6,28
228,064;6,26
228,333;6,25
228,601;6,24
228,869;6,2
229,138;6,15
229,406;6,11
229,674;6,09
229,942;6,06
230,211;6,04
230,479;6,04
230,747;6,01
231,015;5,97
231,283;5,97
231,552;5,97
231,82;5,89
232,088;5,87
232,356;5,85
232,624;5,85
232,892;5,85
233,16;5,82
233,428;5,82
233,696;5,82
233,964;5,79
234,232;5,78
234,5;5,76
234,768;5,76
235,036;5,76
235,304;5,75
235,572;5,74
235,84;5,72
236,108;5,7
236,376;5,71
236,644;5,71
236,912;5,68
237,179;5,66
237,447;5,66
237,715;5,68
237,983;5,65
238,251;5,64
238,518;5,63
238,786;5,62
239,054;5,61
239,322;5,58
239,589;5,58
239,857;5,57
240,125;5,57
240,392;5,57
240,66;5,57
240,927;5,55
241,195;5,55
241,463;5,54
241,73;5,55
241,998;5,52
242,265;5,51
242,533;5,51
242,8;5,51
243,068;5,5
243,335;5,48
243,603;5,49
243,87;5,5
244,138;5,49
244,405;5,48
244,672;5,48
244,94;5,48
245,207;5,45
245,474;5,45
245,742;5,44
246,009;5,44
246,276;5,42
246,544;5,42
246,811;5,42
247,078;5,42
247,345;5,39
247,613;5,39
247,88;5,38
248,147;5,38
248,414;5,36
248,681;5,35
248,948;5,37
249,215;5,36
249,483;5,35
249,75;5,34
250,017;5,32
250,284;5,33
250,551;5,33
250,818;5,34
251,085;5,33
251,352;5,34
251,619;5,33
251,886;5,35
252,153;5,34
252,42;5,33
252,687;5,33
252,953;5,33
253,22;5,31
253,487;5,33
253,754;5,31
254,021;5,31
254,288;5,3
254,555;5,29
254,821;5,29
255,088;5,29
255,355;5,28
255,622;5,28
255,888;5,27
256,155;5,27
256,422;5,25
256,688;5,25
256,955;5,23
257,222;5,22
257,488;5,2
257,755;5,2
258,022;5,19
258,288;5,19
258,555;5,17
258,821;5,18
259,088;5,17
259,354;5,17
259,621;5,16
259,887;5,16
260,154;5,15
260,42;5,14
260,687;5,13
260,953;5,13
261,219;5,11
261,486;5,11
261,752;5,09
262,019;5,09
262,285;5,08
262,551;5,07
262,818;5,08
263,084;5,07
263,35;5,06
263,616;5,06
263,883;5,05
264,149;5,06
264,415;5,04
264,681;5,04
264,947;5,04
265,214;5,02
265,48;5,01
265,746;5,01
266,012;5
266,278;5
266,544;4,99
266,81;5
267,076;4,98
267,342;4,98
267,608;4,98
267,874;4,98
268,14;4,98
268,406;4,97
268,672;4,96
268,938;4,95
269,204;4,95
269,47;4,95
269,736;4,94
270,002;4,94
270,268;4,93
270,533;4,92
270,799;4,92
271,065;4,91
271,331;4,91
271,597;4,91
271,862;4,9
272,128;4,9
272,394;4,9
272,66;4,9
272,925;4,9
273,191;4,89
273,457;4,89
273,722;4,88
273,988;4,88
274,254;4,88
274,519;4,88
274,785;4,86
275,05;4,85
275,316;4,86
275,582;4,85
275,847;4,84
276,113;4,84
276,378;4,84
276,644;4,83
276,909;4,83
277,174;4,81
277,44;4,82
277,705;4,81
277,971;4,8
278,236;4,8
278,501;4,8
278,767;4,79
279,032;4,78
279,297;4,78
279,563;4,78
279,828;4,78
280,093;4,77
280,358;4,78
280,624;4,78
280,889;4,77
281,154;4,77
281,419;4,77
281,684;4,76
281,95;4,75
282,215;4,75
282,48;4,76
282,745;4,76
283,01;4,75
283,275;4,73
283,54;4,72
283,805;4,73
284,07;4,71
284,335;4,71
284,6;4,71
284,865;4,72
285,13;4,71
285,395;4,7
285,66;4,7
285,925;4,68
286,19;4,68
286,455;4,67
286,72;4,67
286,985;4,66
287,249;4,67
287,514;4,68
287,779;4,67
288,044;4,68
288,309;4,67
288,573;4,68
288,838;4,69
289,103;4,69
289,367;4,68
289,632;4,68
289,897;4,68
290,161;4,68
290,426;4,68
290,691;4,67
290,955;4,67
291,22;4,68
291,484;4,68
291,749;4,67
292,014;4,67
292,278;4,68
292,543;4,67
292,807;4,68
293,072;4,67
293,336;4,67
293,6;4,66
293,865;4,66
294,129;4,64
294,394;4,64
294,658;4,65
294,922;4,64
295,187;4,65
295,451;4,65
295,715;4,64
295,98;4,64
296,244;4,63
296,508;4,63
296,773;4,62
297,037;4,63
297,301;4,62
297,565;4,62
297,829;4,61
298,094;4,62
298,358;4,61
298,622;4,6
298,886;4,6
299,15;4,6
299,414;4,59
299,678;4,6
299,942;4,6
300,206;4,58
300,47;4,58
300,734;4,58
300,998;4,57
301,262;4,57
301,526;4,56
301,79;4,55
302,054;4,54
302,318;4,54
302,582;4,53
302,846;4,54
303,11;4,54
303,374;4,54
303,637;4,53
303,901;4,53
304,165;4,53
304,429;4,52
304,693;4,51
304,956;4,5
305,22;4,5
