Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3564,5;65535;3597,1;32,6;0;0;0;
1;--;--;--;3509,6;65535;3523,3;13,7;0;0;0;
2;--;--;--;3958,9;65535;4006,1;47,2;0;0;0;
3;--;--;--;3542,1;65535;3599,5;57,4;0;0;0;
4;--;--;--;3865,8;65535;3922,7;56,9;0;0;0;
5;--;--;--;3610,3;65535;3719,6;109,3;0;0;0;
6;--;--;--;3615,9;65535;3771,8;155,9;0;0;0;
7;--;--;--;3565,5;65535;3868;302,5;0;0;0;
8;--;--;--;3614;65535;4187,5;573,5;0;0;0;
9;--;--;--;3610,6;65535;5116,7;1506,1;0;0;0;
10;--;--;--;3672;65535;5844,3;2172,3;0;0;0;
11;--;--;--;4025,1;65535;5009,7;984,6;0;0;0;
12;--;--;--;3618,2;65535;3746,4;128,2;0;0;0;
13;--;--;--;3586,9;65535;3633,9;47;0;0;0;
14;--;--;--;3698,8;65535;3740,6;41,8;0;0;0;
15;--;--;--;3631,3;65535;3662,9;31,6;0;0;0;
16;--;--;--;3704;65535;3745,8;41,8;0;0;0;
17;--;--;--;3579,1;65535;3607,8;28,7;0;0;0;
18;--;--;--;4228,8;65535;4266,1;37,3;0;0;0;
19;--;--;--;3566,7;65535;3597,3;30,6;0;0;0;
20;--;--;--;3624,4;65535;3672,8;48,4;0;0;0;
21;--;--;--;3683,1;65535;3709,8;26,7;0;0;0;
22;--;--;--;3618,6;65535;3654,3;35,7;0;0;0;
23;--;--;--;3650,7;65535;3666,1;15,4;0;0;0;
24;--;--;--;3594,8;65535;3642,5;47,7;0;0;0;
25;--;--;--;3628,4;65535;3676,7;48,3;0;0;0;
26;--;--;--;3776,3;65535;3826,3;50;0;0;0;
27;--;--;--;3579,4;65535;3646;66,6;0;0;0;
28;--;--;--;3618,2;65535;3712,5;94,3;0;0;0;
29;--;--;--;3801,5;65535;3909,3;107,8;0;0;0;
30;--;--;--;3662,5;65535;3902,3;239,8;0;0;0;
31;--;--;--;3660,7;65535;4121,7;461;0;0;0;
32;--;--;--;3668,6;65535;4570,2;901,6;0;0;0;
33;--;--;--;3683,6;65535;5144,3;1460,7;0;0;0;
34;--;--;--;3595,3;65535;5764;2168,7;0;0;0;
35;--;--;--;3650,7;65535;6930,4;3279,7;0;0;0;
36;--;--;--;3583,1;65535;8192,1;4609;0;0;0;
37;--;--;--;3551,8;65535;7648,1;4096,3;0;0;0;
38;--;--;--;3534,4;65535;6270,3;2735,9;0;0;0;
39;--;--;--;3532,2;65535;5652,2;2120;0;0;0;
40;--;--;--;3610,1;65535;5490,6;1880,5;0;0;0;
41;--;--;--;3687,6;65535;5423,6;1736;0;0;0;
42;--;--;--;3622,3;65535;5318,9;1696,6;0;0;0;
43;--;--;--;3957,8;65535;5715,4;1757,6;0;0;0;
44;--;--;--;3655,3;65535;5548;1892,7;0;0;0;
45;--;--;--;3587,6;65535;5614,3;2026,7;0;0;0;
46;--;--;--;3744,5;65535;5707,8;1963,3;0;0;0;
47;--;--;--;3825,7;65535;5651,2;1825,5;0;0;0;
48;--;--;--;3715,4;65535;5468,9;1753,5;0;0;0;
49;--;--;--;3689,8;65535;5446,3;1756,5;0;0;0;
50;--;--;--;3661;65535;5510,5;1849,5;0;0;0;
51;--;--;--;3805,1;65535;5761;1955,9;0;0;0;
52;--;--;--;3644,3;65535;5819,2;2174,9;0;0;0;
53;--;--;--;3648,5;65535;6224,4;2575,9;0;0;0;
54;--;--;--;3565,8;65535;6917;3351,2;0;0;0;
55;--;--;--;3729,1;65535;8500;4770,9;0;0;0;
56;--;--;--;3828,1;65535;11119,9;7291,8;0;0;0;
57;--;--;--;3719,8;65535;14579,1;10859,3;0;0;0;
58;--;--;--;3575,2;65535;19285,7;15710,5;0;0;0;
59;--;--;--;3780;65535;25597,5;21817,5;0;0;0;
60;--;--;--;3841;65535;29837,8;25996,8;0;0;0;
61;--;--;--;3984,9;65535;23471,8;19486,9;0;0;0;
