Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3564,5;65535;3556,9;-7,6;0;0;0;
1;--;--;--;3509,6;65535;3534,4;24,8;0;0;0;
2;--;--;--;3958,9;65535;3973,5;14,6;0;0;0;
3;--;--;--;3542,1;65535;3571,9;29,8;0;0;0;
4;--;--;--;3865,8;65535;3913,7;47,9;0;0;0;
5;--;--;--;3610,3;65535;3694,4;84,1;0;0;0;
6;--;--;--;3615,9;65535;3762,4;146,5;0;0;0;
7;--;--;--;3565,5;65535;3846,7;281,2;0;0;0;
8;--;--;--;3614;65535;4174,5;560,5;0;0;0;
9;--;--;--;3610,6;65535;5143,9;1533,3;0;0;0;
10;--;--;--;3672;65535;5840,5;2168,5;0;0;0;
11;--;--;--;4025,1;65535;5012,4;987,3;0;0;0;
12;--;--;--;3618,2;65535;3741,1;122,9;0;0;0;
13;--;--;--;3586,9;65535;3618,5;31,6;0;0;0;
14;--;--;--;3698,8;65535;3728,6;29,8;0;0;0;
15;--;--;--;3631,3;65535;3652,1;20,8;0;0;0;
16;--;--;--;3704;65535;3722,6;18,6;0;0;0;
17;--;--;--;3579,1;65535;3577,7;-1,4;0;0;0;
18;--;--;--;4228,8;65535;4229,5;0,7;0;0;0;
19;--;--;--;3566,7;65535;3570,4;3,7;0;0;0;
20;--;--;--;3624,4;65535;3619,4;-5;0;0;0;
21;--;--;--;3683,1;65535;3682,6;-0,5;0;0;0;
22;--;--;--;3618,6;65535;3629,4;10,8;0;0;0;
23;--;--;--;3650,7;65535;3651,4;0,7;0;0;0;
24;--;--;--;3594,8;65535;3628,7;33,9;0;0;0;
25;--;--;--;3628,4;65535;3646,7;18,3;0;0;0;
26;--;--;--;3776,3;65535;3801,9;25,6;0;0;0;
27;--;--;--;3579,4;65535;3620,5;41,1;0;0;0;
28;--;--;--;3618,2;65535;3682,8;64,6;0;0;0;
29;--;--;--;3801,5;65535;3894;92,5;0;0;0;
30;--;--;--;3662,5;65535;3871,3;208,8;0;0;0;
31;--;--;--;3660,7;65535;4059,2;398,5;0;0;0;
32;--;--;--;3668,6;65535;4447,9;779,3;0;0;0;
33;--;--;--;3683,6;65535;4958;1274,4;0;0;0;
34;--;--;--;3595,3;65535;5434,7;1839,4;0;0;0;
35;--;--;--;3650,7;65535;6347,9;2697,2;0;0;0;
36;--;--;--;3583,1;65535;7269,3;3686,2;0;0;0;
37;--;--;--;3551,8;65535;6710,5;3158,7;0;0;0;
38;--;--;--;3534,4;65535;5807,5;2273,1;0;0;0;
39;--;--;--;3532,2;65535;5451,4;1919,2;0;0;0;
40;--;--;--;3610,1;65535;5426,5;1816,4;0;0;0;
41;--;--;--;3687,6;65535;5412,8;1725,2;0;0;0;
42;--;--;--;3622,3;65535;5343,4;1721,1;0;0;0;
43;--;--;--;3957,8;65535;5719;1761,2;0;0;0;
44;--;--;--;3655,3;65535;5522,1;1866,8;0;0;0;
45;--;--;--;3587,6;65535;5547,6;1960;0;0;0;
46;--;--;--;3744,5;65535;5678;1933,5;0;0;0;
47;--;--;--;3825,7;65535;5642;1816,3;0;0;0;
48;--;--;--;3715,4;65535;5491,5;1776,1;0;0;0;
49;--;--;--;3689,8;65535;5468,4;1778,6;0;0;0;
50;--;--;--;3661;65535;5501,2;1840,2;0;0;0;
