Data from sienaNatWhite_Reflection__2__33.txt Node;
"Date: Wed Sep 10 12:22:02 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;95,74
186,281;55,08
186,552;50,92
186,822;69,78
187,093;66,67
187,364;749,75
187,635;243,05
187,905;126,24
188,176;108,73
188,447;84,31
188,717;71,9
188,988;56,24
189,258;47,99
189,529;50,18
189,8;51,06
190,07;45,77
190,341;37,08
190,611;38,7
190,882;36,34
191,152;35,41
191,423;32,36
191,693;33,36
191,964;32,44
192,234;33,37
192,505;31,86
192,775;32,48
193,045;29,2
193,316;25,08
193,586;24,77
193,856;24,68
194,127;22,56
194,397;21,55
194,667;22,57
194,938;21,11
195,208;18,47
195,478;19,66
195,748;20,23
196,019;21,83
196,289;20,11
196,559;18,26
196,829;16,88
197,099;16,44
197,37;16,65
197,64;17,23
197,91;15,42
198,18;15,04
198,45;14,11
198,72;13,7
198,99;15,18
199,26;14,56
199,53;14,14
199,8;14,54
200,07;13,96
200,34;12,75
200,61;12,26
200,88;12,15
201,15;11,14
201,42;10,17
201,69;9,17
201,96;8,62
202,23;9,01
202,499;9,44
202,769;9,25
203,039;8,81
203,309;8,12
203,579;8,83
203,849;9,03
204,118;8,83
204,388;8,76
204,658;7,54
204,927;7,41
205,197;6,55
205,467;6,58
205,736;6,61
206,006;6,5
206,276;6,89
206,545;6,94
206,815;7,12
207,085;7,12
207,354;7,07
207,624;6,66
207,893;6,77
208,163;6,32
208,432;6,38
208,702;6,01
208,971;5,74
209,241;5,59
209,51;5,44
209,78;5,45
210,049;5,36
210,318;5,7
210,588;5,76
210,857;5,65
211,127;5,62
211,396;5,1
211,665;5,31
211,935;5,45
212,204;5,19
212,473;4,79
212,742;4,69
213,012;4,91
213,281;5,08
213,55;5,07
213,819;5,21
214,088;5,17
214,358;5,39
214,627;5,63
214,896;5,34
215,165;5,3
215,434;5,24
215,703;5,21
215,972;5,1
216,241;5,17
216,51;5,27
216,779;5,1
217,048;5,49
217,317;5,19
217,586;5
217,855;5,02
218,124;5,03
218,393;4,96
218,662;4,95
218,931;4,94
219,2;4,81
219,469;4,65
219,738;4,51
220,006;4,38
220,275;4,19
220,544;4,23
220,813;4,21
221,082;4,13
221,35;4,06
221,619;4,09
221,888;3,93
222,157;3,86
222,425;3,94
222,694;3,68
222,963;3,71
223,231;3,79
223,5;3,8
223,769;3,69
224,037;3,66
224,306;3,53
224,574;3,54
224,843;3,46
225,111;3,43
225,38;3,34
225,648;3,22
225,917;3,23
226,185;3,27
226,454;3,22
226,722;3,31
226,991;3,25
227,259;3,24
227,528;3,2
227,796;3,16
228,064;3,09
228,333;3,18
228,601;3,17
228,869;3,08
229,138;3
229,406;3,07
229,674;3,07
229,942;3,1
230,211;3,14
230,479;3,19
230,747;3,22
231,015;3,3
231,283;3,37
231,552;3,32
231,82;3,18
232,088;3,21
232,356;3,16
232,624;3,17
232,892;3,12
233,16;3,14
233,428;3,12
233,696;3,14
233,964;3,11
234,232;3,08
234,5;3,07
234,768;3,09
235,036;3,11
235,304;3,14
235,572;3,15
235,84;3,07
236,108;3,03
236,376;3,02
236,644;2,98
236,912;2,94
237,179;2,96
237,447;2,97
237,715;2,92
237,983;2,92
238,251;2,9
238,518;2,88
238,786;2,86
239,054;2,84
239,322;2,82
239,589;2,78
239,857;2,78
240,125;2,78
240,392;2,75
240,66;2,73
240,927;2,66
241,195;2,59
241,463;2,62
241,73;2,6
241,998;2,59
242,265;2,57
242,533;2,59
242,8;2,56
243,068;2,58
243,335;2,55
243,603;2,52
243,87;2,51
244,138;2,51
244,405;2,51
244,672;2,54
244,94;2,52
245,207;2,54
245,474;2,54
245,742;2,52
246,009;2,51
246,276;2,5
246,544;2,49
246,811;2,49
247,078;2,49
247,345;2,52
247,613;2,5
247,88;2,48
248,147;2,46
248,414;2,48
248,681;2,49
248,948;2,5
249,215;2,47
249,483;2,47
249,75;2,45
250,017;2,45
250,284;2,45
250,551;2,46
250,818;2,46
251,085;2,45
251,352;2,41
251,619;2,44
251,886;2,44
252,153;2,46
252,42;2,47
252,687;2,45
252,953;2,45
253,22;2,44
253,487;2,45
253,754;2,46
254,021;2,46
254,288;2,43
254,555;2,43
254,821;2,48
255,088;2,47
255,355;2,49
255,622;2,48
255,888;2,45
256,155;2,41
256,422;2,36
256,688;2,35
256,955;2,39
257,222;2,37
257,488;2,38
257,755;2,37
258,022;2,37
258,288;2,35
258,555;2,32
258,821;2,31
259,088;2,33
259,354;2,3
259,621;2,28
259,887;2,3
260,154;2,32
260,42;2,26
260,687;2,27
260,953;2,29
261,219;2,31
261,486;2,29
261,752;2,33
262,019;2,38
262,285;2,36
262,551;2,35
262,818;2,37
263,084;2,34
263,35;2,35
263,616;2,33
263,883;2,36
264,149;2,36
264,415;2,38
264,681;2,37
264,947;2,39
265,214;2,4
265,48;2,39
265,746;2,39
266,012;2,43
266,278;2,41
266,544;2,39
266,81;2,37
267,076;2,39
267,342;2,36
267,608;2,34
267,874;2,36
268,14;2,4
268,406;2,38
268,672;2,39
268,938;2,38
269,204;2,39
269,47;2,37
269,736;2,38
270,002;2,35
270,268;2,35
