Data from sienaNatWhite_Reflection__3__34.txt Node;
"Date: Wed Sep 10 12:22:52 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;35,67
186,281;49,86
186,552;27,55
186,822;49,49
187,093;-433,33
187,364;419,24
187,635;139,27
187,905;79,86
188,176;59,06
188,447;45,79
188,717;38,12
188,988;33,11
189,258;38,33
189,529;39,99
189,8;34,25
190,07;32,63
190,341;30,06
190,611;29,06
190,882;28,6
191,152;25,1
191,423;24,84
191,693;24,76
191,964;24,29
192,234;24,65
192,505;24,18
192,775;24,71
193,045;22,85
193,316;20,1
193,586;19,31
193,856;18,16
194,127;18,34
194,397;18,87
194,667;19,05
194,938;17,09
195,208;17,54
195,478;18,68
195,748;17,36
196,019;17,68
196,289;16,4
196,559;15,18
196,829;14,55
197,099;15,74
197,37;14,53
197,64;14,79
197,91;14,61
198,18;13,78
198,45;13,6
198,72;13,04
198,99;13,74
199,26;13,65
199,53;14,39
199,8;14,28
200,07;13,53
200,34;12,46
200,61;12,81
200,88;11,94
201,15;11,66
201,42;11,46
201,69;10,71
201,96;10,89
202,23;11,72
202,499;12,26
202,769;11,34
203,039;11,33
203,309;9,55
203,579;9,33
203,849;9,6
204,118;9,66
204,388;9,46
204,658;8,87
204,927;8,6
205,197;8,12
205,467;8,2
205,736;8,5
206,006;8,87
206,276;9,11
206,545;9,18
206,815;8,69
207,085;8,67
207,354;8,98
207,624;8,66
207,893;8,34
208,163;8,06
208,432;8,09
208,702;8,09
208,971;8,15
209,241;8,36
209,51;8,26
209,78;7,91
210,049;7,86
210,318;8,19
210,588;8,2
210,857;8,34
211,127;8,33
211,396;7,99
211,665;7,73
211,935;7,64
212,204;7,45
212,473;7,47
212,742;7,28
213,012;7,19
213,281;7,23
213,55;7,27
213,819;7,11
214,088;6,99
214,358;6,59
214,627;7,01
214,896;6,83
215,165;6,56
215,434;6,37
215,703;6,38
215,972;6,07
216,241;6,06
216,51;5,85
216,779;5,62
217,048;5,67
217,317;5,51
217,586;5,45
217,855;5,5
218,124;5,53
218,393;5,46
218,662;5,42
218,931;5,38
219,2;5,3
219,469;5,37
219,738;5,33
220,006;5,48
220,275;5,33
220,544;5,21
220,813;5,19
221,082;5,26
221,35;5,2
221,619;5,28
221,888;5,25
222,157;5,26
222,425;5,32
222,694;5,19
222,963;5,28
223,231;5,28
223,5;5,18
223,769;5,1
224,037;5,09
224,306;4,95
224,574;5,03
224,843;4,9
225,111;4,8
225,38;4,72
225,648;4,65
225,917;4,6
226,185;4,7
226,454;4,75
226,722;4,77
226,991;4,76
227,259;4,71
227,528;4,65
227,796;4,62
228,064;4,53
228,333;4,54
228,601;4,48
228,869;4,39
229,138;4,4
229,406;4,45
229,674;4,44
229,942;4,49
230,211;4,43
230,479;4,49
230,747;4,51
231,015;4,56
231,283;4,56
231,552;4,55
231,82;4,43
232,088;4,37
232,356;4,31
232,624;4,29
232,892;4,29
233,16;4,34
233,428;4,34
233,696;4,34
233,964;4,32
234,232;4,37
234,5;4,39
234,768;4,36
235,036;4,32
235,304;4,33
235,572;4,33
235,84;4,25
236,108;4,19
236,376;4,17
236,644;4,11
236,912;4,1
237,179;4,07
237,447;4,08
237,715;4,03
237,983;4,03
238,251;4,02
238,518;4,01
238,786;3,97
239,054;3,97
239,322;3,96
239,589;3,92
239,857;3,87
240,125;3,86
240,392;3,86
240,66;3,85
240,927;3,82
241,195;3,77
241,463;3,83
241,73;3,84
241,998;3,86
242,265;3,85
242,533;3,84
242,8;3,83
243,068;3,8
243,335;3,81
