Data from sienaNatWhite_Reflection__4__35.txt Node;
"Date: Wed Sep 10 12:23:52 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;5,7
186,281;25,78
186,552;25,5
186,822;13,19
187,093;333,33
187,364;157,43
187,635;-8,09
187,905;-14,49
188,176;2,95
188,447;9,81
188,717;15,07
188,988;15,38
189,258;12
189,529;22,04
189,8;16,35
190,07;19,38
190,341;12,82
190,611;14,83
190,882;12,2
191,152;12,41
191,423;12,12
191,693;14,05
191,964;13,87
192,234;16,09
192,505;14,85
192,775;16,1
193,045;15,91
193,316;15,91
193,586;15,74
193,856;16,27
194,127;15,52
194,397;14,69
194,667;14,87
194,938;16,53
195,208;14,92
195,478;15,96
195,748;14,84
196,019;15,02
196,289;14,49
196,559;13,3
196,829;13,54
197,099;14,9
197,37;14,31
197,64;13,66
197,91;12,54
198,18;12,65
198,45;12,34
198,72;12,13
198,99;12,07
199,26;11,9
199,53;11,5
199,8;11,52
200,07;11,29
200,34;10,56
200,61;9,4
200,88;9,62
201,15;9,28
201,42;9,74
201,69;9,95
201,96;9,51
202,23;10,2
202,499;9,79
202,769;8,59
203,039;7,23
203,309;6,64
203,579;6,91
203,849;7,18
204,118;6,61
204,388;6,34
204,658;6,14
204,927;6,1
205,197;5,39
205,467;5,12
205,736;5,19
206,006;5,5
206,276;5,95
206,545;6,02
206,815;5,84
207,085;5,8
207,354;6,06
207,624;6,05
207,893;6,01
208,163;5,68
208,432;6,02
208,702;6,09
208,971;6,52
209,241;6,21
209,51;5,97
209,78;6,12
210,049;6,04
210,318;6,21
210,588;6,12
210,857;6,3
211,127;6,32
211,396;6,06
211,665;5,81
211,935;5,88
212,204;5,75
212,473;5,73
212,742;5,5
213,012;5,56
213,281;5,52
213,55;5,5
213,819;5,32
214,088;5,25
214,358;5,39
214,627;5,19
214,896;5,05
215,165;4,87
215,434;4,6
215,703;4,54
215,972;4,53
216,241;4,71
216,51;4,55
216,779;4,4
