Data from sienaNatWhite_Reflection__0__31.txt Node;
"Date: Wed Sep 10 12:20:09 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;89,27
186,281;64,86
186,552;36,71
186,822;41,26
187,093;-266,67
187,364;313,86
187,635;231,13
187,905;167,35
188,176;122,21
188,447;87,19
188,717;80,53
188,988;67,56
189,258;68,2
189,529;65,08
189,8;58,81
190,07;57,06
190,341;56,41
190,611;53,7
190,882;52,93
191,152;53,43
191,423;51,51
191,693;50,58
191,964;50,66
192,234;53,65
192,505;50,99
192,775;48,26
193,045;46,14
193,316;41,14
193,586;39,94
193,856;39,07
194,127;38,9
194,397;36,98
194,667;36,41
194,938;35,04
195,208;33,98
195,478;35,09
195,748;33,37
196,019;33,98
196,289;31,83
196,559;29,7
196,829;28,67
197,099;28,52
197,37;28,35
197,64;29,07
197,91;27,54
198,18;27,15
198,45;27,33
198,72;27,07
198,99;27,34
199,26;26,25
199,53;26,33
199,8;26,63
200,07;26,65
200,34;26,44
200,61;26,51
200,88;26,31
201,15;25,86
201,42;26,05
201,69;24,67
201,96;24,94
202,23;25,36
202,499;25,07
202,769;25,02
203,039;23,51
203,309;21,92
203,579;21,72
203,849;22,58
204,118;22,23
204,388;22,11
204,658;21,62
204,927;21,59
205,197;20,59
205,467;20,46
205,736;20,19
206,006;20,17
206,276;19,7
206,545;19,25
206,815;19
207,085;18,96
207,354;19,14
207,624;19
207,893;18,81
208,163;18,8
208,432;18,4
208,702;18,34
208,971;17,97
209,241;17,79
209,51;17,55
209,78;17,32
210,049;16,88
210,318;17,1
210,588;16,92
210,857;17,05
211,127;16,87
211,396;16,54
211,665;16,61
211,935;16,64
212,204;16,52
212,473;16,61
212,742;16,38
213,012;16,25
213,281;16
213,55;16
213,819;15,74
214,088;15,52
214,358;15,62
214,627;15,77
214,896;15,66
215,165;15,27
215,434;15,09
215,703;15,14
215,972;14,84
216,241;14,75
216,51;14,76
216,779;14,6
217,048;14,73
217,317;14,33
217,586;14,29
217,855;14,34
218,124;14,16
218,393;14,18
218,662;13,96
218,931;13,91
219,2;13,65
219,469;13,69
219,738;13,7
220,006;13,63
220,275;13,6
220,544;13,6
220,813;13,6
221,082;13,62
221,35;13,63
221,619;13,58
221,888;13,46
222,157;13,43
222,425;13,47
222,694;13,26
222,963;13,28
223,231;13,22
223,5;13,14
223,769;13,06
224,037;12,99
224,306;13,04
224,574;13,03
224,843;12,92
225,111;12,8
225,38;12,72
225,648;12,66
225,917;12,6
226,185;12,42
226,454;12,36
226,722;12,33
226,991;12,18
227,259;12,13
227,528;12,08
227,796;11,95
228,064;11,79
228,333;11,74
228,601;11,65
228,869;11,56
229,138;11,45
229,406;11,43
229,674;11,35
229,942;11,32
230,211;11,33
