Data from sienaNatWhite_Reflection__1__32.txt Node;
"Date: Wed Sep 10 12:21:12 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;7,64
186,281;33,45
186,552;12,5
186,822;77,6
187,093;-600
187,364;458,72
187,635;166,29
187,905;131,61
188,176;81,54
188,447;52,46
188,717;35,95
188,988;31,21
189,258;32,34
189,529;38,5
189,8;35,6
190,07;32,81
190,341;25,94
190,611;22,52
190,882;21,79
191,152;24,5
191,423;24,46
191,693;22,66
191,964;20,64
192,234;23,8
192,505;20,45
192,775;21,92
193,045;20,47
193,316;17,54
193,586;13,65
193,856;14,31
194,127;16,29
194,397;16,63
194,667;16,75
194,938;15,59
195,208;14,06
195,478;15,55
195,748;15,24
196,019;16,15
196,289;16,47
196,559;14,55
196,829;12,99
197,099;12,98
197,37;12,14
197,64;12,43
197,91;11,17
198,18;11,41
198,45;10,4
198,72;10,63
198,99;11,53
199,26;12,9
199,53;13,07
199,8;12,2
200,07;12,06
200,34;12,21
200,61;11,28
200,88;10,78
201,15;10,74
201,42;10,9
201,69;10,08
201,96;9,49
202,23;10,92
202,499;11,67
202,769;11,8
203,039;11,64
203,309;11,04
203,579;11,01
203,849;11,14
204,118;10,87
204,388;10,83
204,658;10,63
204,927;10,1
205,197;9,33
205,467;9,24
205,736;9,48
206,006;9,28
206,276;9,93
206,545;9,91
206,815;9,58
207,085;9,37
207,354;9,95
207,624;9,61
207,893;9,49
208,163;8,97
208,432;8,7
208,702;8,52
208,971;8,37
209,241;8,38
209,51;8,47
209,78;8,5
210,049;7,98
210,318;7,84
210,588;7,67
210,857;7,81
211,127;7,66
211,396;7,36
211,665;7,34
211,935;7,28
212,204;7,11
212,473;6,93
212,742;6,74
213,012;6,58
213,281;6,76
213,55;6,48
213,819;6,42
214,088;6,33
214,358;6,2
214,627;6,31
214,896;6,14
215,165;5,82
215,434;5,62
215,703;5,64
215,972;5,47
216,241;5,49
216,51;5,48
216,779;5,5
217,048;5,44
217,317;5,1
217,586;5,15
217,855;5,24
218,124;5,25
218,393;5,06
218,662;4,98
218,931;4,82
219,2;4,48
219,469;4,56
219,738;4,58
220,006;4,6
220,275;4,54
220,544;4,61
220,813;4,77
221,082;4,82
221,35;4,85
221,619;4,93
221,888;4,82
222,157;4,69
222,425;4,66
222,694;4,51
222,963;4,59
223,231;4,43
223,5;4,44
223,769;4,36
224,037;4,45
224,306;4,46
224,574;4,55
224,843;4,66
225,111;4,53
225,38;4,41
225,648;4,36
225,917;4,3
226,185;4,11
226,454;3,89
226,722;3,95
226,991;3,81
227,259;3,8
227,528;3,79
227,796;3,77
228,064;3,64
228,333;3,69
228,601;3,65
228,869;3,6
229,138;3,53
229,406;3,57
229,674;3,48
229,942;3,41
230,211;3,36
230,479;3,35
230,747;3,36
231,015;3,38
231,283;3,46
231,552;3,4
231,82;3,44
232,088;3,46
232,356;3,45
232,624;3,52
232,892;3,45
233,16;3,43
233,428;3,42
233,696;3,49
233,964;3,5
234,232;3,49
234,5;3,47
234,768;3,46
235,036;3,42
235,304;3,46
235,572;3,48
235,84;3,42
236,108;3,36
236,376;3,34
236,644;3,26
236,912;3,2
237,179;3,23
237,447;3,2
237,715;3,17
237,983;3,14
238,251;3,1
238,518;3,09
238,786;3,07
239,054;3,05
239,322;3,03
239,589;3,01
239,857;2,98
240,125;3,01
240,392;3,01
240,66;3,02
240,927;2,97
241,195;2,91
241,463;2,95
241,73;2,98
241,998;2,99
242,265;3,01
242,533;3
242,8;2,98
243,068;3,01
243,335;2,99
243,603;2,93
243,87;2,94
244,138;2,94
244,405;2,93
244,672;2,96
244,94;2,92
245,207;2,9
245,474;2,91
245,742;2,9
246,009;2,87
246,276;2,85
246,544;2,85
246,811;2,88
247,078;2,88
247,345;2,88
247,613;2,86
247,88;2,84
248,147;2,85
248,414;2,86
248,681;2,82
248,948;2,86
249,215;2,87
249,483;2,83
249,75;2,82
250,017;2,85
250,284;2,84
250,551;2,86
250,818;2,88
251,085;2,88
251,352;2,85
251,619;2,86
251,886;2,85
252,153;2,86
252,42;2,84
252,687;2,82
252,953;2,83
253,22;2,82
253,487;2,84
253,754;2,82
254,021;2,81
254,288;2,83
254,555;2,79
254,821;2,81
255,088;2,83
255,355;2,83
255,622;2,78
255,888;2,78
256,155;2,74
256,422;2,72
256,688;2,71
256,955;2,72
257,222;2,71
257,488;2,71
257,755;2,71
258,022;2,72
258,288;2,68
258,555;2,67
258,821;2,68
259,088;2,67
259,354;2,64
259,621;2,63
259,887;2,62
260,154;2,64
260,42;2,62
260,687;2,63
260,953;2,64
261,219;2,68
261,486;2,65
261,752;2,67
262,019;2,65
262,285;2,63
262,551;2,6
262,818;2,63
263,084;2,59
263,35;2,58
263,616;2,55
263,883;2,57
264,149;2,54
264,415;2,53
264,681;2,52
264,947;2,56
265,214;2,53
265,48;2,55
265,746;2,56
266,012;2,57
266,278;2,56
266,544;2,57
266,81;2,56
267,076;2,59
267,342;2,58
267,608;2,59
267,874;2,59
268,14;2,6
268,406;2,58
268,672;2,62
268,938;2,63
269,204;2,63
269,47;2,64
269,736;2,65
270,002;2,62
270,268;2,64
270,533;2,62
270,799;2,64
271,065;2,61
271,331;2,61
271,597;2,59
271,862;2,58
272,128;2,56
272,394;2,55
272,66;2,56
272,925;2,55
273,191;2,54
273,457;2,57
273,722;2,56
273,988;2,57
274,254;2,55
274,519;2,55
274,785;2,56
275,05;2,53
275,316;2,52
275,582;2,55
275,847;2,54
276,113;2,53
276,378;2,55
276,644;2,54
276,909;2,52
277,174;2,53
277,44;2,55
277,705;2,54
277,971;2,52
278,236;2,52
278,501;2,54
278,767;2,54
279,032;2,54
279,297;2,57
279,563;2,53
279,828;2,53
280,093;2,49
280,358;2,49
280,624;2,5
280,889;2,49
281,154;2,49
281,419;2,5
281,684;2,51
281,95;2,48
282,215;2,49
282,48;2,48
282,745;2,49
283,01;2,49
283,275;2,5
283,54;2,47
283,805;2,45
284,07;2,45
284,335;2,46
284,6;2,44
284,865;2,44
285,13;2,41
285,395;2,44
285,66;2,46
285,925;2,46
286,19;2,5
286,455;2,49
286,72;2,51
286,985;2,48
287,249;2,48
287,514;2,5
287,779;2,48
288,044;2,47
288,309;2,45
288,573;2,43
288,838;2,44
289,103;2,48
289,367;2,48
289,632;2,48
289,897;2,46
290,161;2,47
290,426;2,46
290,691;2,52
290,955;2,48
291,22;2,46
291,484;2,45
291,749;2,42
292,014;2,43
292,278;2,42
292,543;2,43
292,807;2,41
293,072;2,38
293,336;2,38
293,6;2,4
293,865;2,39
294,129;2,39
294,394;2,37
294,658;2,37
294,922;2,34
295,187;2,33
295,451;2,32
295,715;2,3
295,98;2,29
296,244;2,29
296,508;2,3
296,773;2,3
297,037;2,32
297,301;2,33
297,565;2,34
297,829;2,3
298,094;2,3
298,358;2,3
298,622;2,32
298,886;2,33
299,15;2,36
299,414;2,37
299,678;2,39
299,942;2,4
300,206;2,4
300,47;2,43
300,734;2,42
300,998;2,44
301,262;2,44
301,526;2,44
301,79;2,42
302,054;2,43
302,318;2,44
302,582;2,46
302,846;2,46
303,11;2,46
303,374;2,48
303,637;2,49
303,901;2,5
304,165;2,53
304,429;2,51
304,693;2,49
304,956;2,5
305,22;2,51
305,484;2,54
305,747;2,55
306,011;2,55
306,275;2,54
306,538;2,55
306,802;2,56
307,066;2,59
307,329;2,6
307,593;2,58
307,856;2,6
308,12;2,58
308,384;2,59
308,647;2,61
308,911;2,6
309,174;2,6
309,438;2,58
309,701;2,56
309,964;2,57
310,228;2,54
310,491;2,53
310,755;2,52
311,018;2,53
311,281;2,53
311,545;2,53
311,808;2,53
312,071;2,54
312,335;2,5
312,598;2,49
312,861;2,52
313,124;2,54
313,388;2,56
313,651;2,56
313,914;2,53
314,177;2,49
314,44;2,49
314,704;2,5
314,967;2,53
315,23;2,55
315,493;2,55
315,756;2,56
316,019;2,58
316,282;2,59
316,545;2,55
316,808;2,58
317,071;2,57
317,334;2,59
317,597;2,6
317,86;2,61
318,123;2,63
318,386;2,59
318,649;2,57
318,912;2,54
319,175;2,55
319,437;2,56
319,7;2,58
319,963;2,6
320,226;2,59
320,489;2,55
320,751;2,53
321,014;2,52
321,277;2,53
321,54;2,5
321,802;2,48
322,065;2,52
322,328;2,48
322,59;2,47
322,853;2,46
323,116;2,46
323,378;2,48
323,641;2,44
323,903;2,48
324,166;2,49
324,428;2,49
324,691;2,48
324,953;2,47
325,216;2,5
325,478;2,49
325,741;2,48
326,003;2,5
326,266;2,5
326,528;2,51
326,791;2,51
327,053;2,53
327,315;2,49
327,578;2,5
327,84;2,49
328,102;2,48
328,365;2,5
328,627;2,46
328,889;2,46
329,151;2,49
329,414;2,49
329,676;2,46
329,938;2,47
330,2;2,46
330,462;2,48
330,725;2,41
330,987;2,41
331,249;2,42
331,511;2,4
331,773;2,39
332,035;2,42
332,297;2,44
332,559;2,44
332,821;2,42
333,083;2,39
333,345;2,4
333,607;2,43
333,869;2,47
334,131;2,5
334,393;2,48
334,655;2,48
334,917;2,45
335,179;2,47
335,44;2,48
335,702;2,47
335,964;2,45
336,226;2,5
336,488;2,49
336,749;2,48
337,011;2,48
337,273;2,49
337,535;2,45
337,796;2,41
338,058;2,42
338,32;2,41
