Data from redochrewhite_Reflection__2__09.txt Node;
"Date: Wed Sep 10 11:33:49 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;110,04
186,281;92,95
186,552;69,7
186,822;78,33
187,093;166,67
187,364;381,85
187,635;122,81
187,905;77,77
188,176;71,05
188,447;48,69
188,717;47,01
188,988;36,61
189,258;31,82
189,529;33,86
189,8;28,34
190,07;28,69
190,341;24,79
190,611;24,5
190,882;20,12
191,152;19,15
191,423;16,01
191,693;16,69
191,964;14,87
192,234;17,83
192,505;17,42
192,775;18,09
193,045;16,67
193,316;13,93
193,586;12,91
193,856;12,57
194,127;14,49
194,397;13,46
194,667;14,72
194,938;13,68
195,208;14,65
195,478;15,9
195,748;16,01
196,019;17,35
196,289;15,78
196,559;15,01
196,829;14,35
197,099;14,58
197,37;14,32
197,64;14,96
197,91;14,26
198,18;14,48
198,45;14,58
198,72;15,25
198,99;15,68
199,26;15,45
199,53;15,94
199,8;14,81
200,07;14,57
200,34;13,66
200,61;13,65
200,88;13,35
201,15;12,57
201,42;11,97
201,69;11,16
201,96;10,55
202,23;11,51
202,499;11,68
202,769;10,97
203,039;9,68
203,309;8,31
203,579;8,63
203,849;9,09
204,118;8,9
204,388;8,31
204,658;8,31
204,927;8,49
205,197;7,22
205,467;7,47
205,736;7,67
206,006;7,74
206,276;7,83
206,545;7,69
206,815;7,92
207,085;7,93
207,354;8,35
207,624;8,62
207,893;8,22
208,163;8,06
208,432;8,52
208,702;8,67
208,971;8,72
209,241;8,66
209,51;8,54
209,78;8,65
210,049;8,7
210,318;8,73
210,588;8,5
210,857;8,89
211,127;8,9
211,396;8,56
211,665;8,64
211,935;8,85
212,204;8,63
212,473;8,41
212,742;8,39
213,012;8,22
213,281;8,13
213,55;8,14
213,819;8,14
214,088;8,07
214,358;7,99
214,627;8,08
214,896;7,79
215,165;7,48
215,434;7,32
215,703;7,08
215,972;6,93
216,241;7,06
216,51;7,03
216,779;6,78
217,048;6,96
217,317;6,81
217,586;6,75
217,855;6,94
218,124;6,95
218,393;6,78
218,662;6,77
218,931;6,73
219,2;6,5
219,469;6,5
219,738;6,41
220,006;6,53
220,275;6,45
220,544;6,52
220,813;6,5
221,082;6,43
221,35;6,46
221,619;6,45
221,888;6,39
222,157;6,32
222,425;6,37
222,694;6,17
222,963;6,15
223,231;6,03
223,5;6,02
223,769;5,94
224,037;6,01
224,306;5,91
224,574;5,96
224,843;6
225,111;5,91
225,38;5,87
