Data from redochrewhite_Reflection__3__10.txt Node;
"Date: Wed Sep 10 11:35:01 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;170,78
186,281;87,32
186,552;56,89
186,822;113,61
187,093;100
187,364;208,08
187,635;81,3
187,905;88,51
188,176;58,46
188,447;30,68
188,717;26,49
188,988;23,2
189,258;11,44
189,529;25,38
189,8;20,8
190,07;23,89
190,341;19,7
190,611;17,26
190,882;13,11
191,152;10
191,423;9,4
191,693;10,44
191,964;10,4
192,234;14,2
192,505;12,45
192,775;16,59
193,045;16,8
193,316;14,16
193,586;12,05
193,856;13,04
194,127;14,42
194,397;14,26
194,667;16
194,938;15,24
195,208;13,52
195,478;13,98
195,748;13,62
196,019;14,68
196,289;13,8
196,559;12,97
196,829;11,34
197,099;12,96
197,37;12,62
197,64;13,83
197,91;13,64
198,18;14,05
198,45;12,67
198,72;11,3
198,99;11,78
199,26;11,38
199,53;11,63
199,8;11,22
200,07;11,45
200,34;10,02
200,61;10,84
200,88;10,61
201,15;10,64
201,42;10,34
201,69;9,26
201,96;8,94
202,23;9,36
202,499;10,21
202,769;9,09
203,039;8,49
203,309;7,06
203,579;6,94
203,849;6,86
204,118;6,98
204,388;7,7
204,658;7,47
204,927;8,05
205,197;7,38
205,467;7,37
205,736;7,54
206,006;7,55
206,276;7,38
206,545;7,49
206,815;7,47
207,085;7,33
207,354;7,88
207,624;7,91
207,893;7,91
208,163;7,75
208,432;8,14
208,702;7,87
208,971;8,03
209,241;7,93
209,51;7,84
209,78;7,84
210,049;7,69
210,318;7,76
210,588;7,46
210,857;7,63
211,127;7,66
211,396;7,32
211,665;7,46
211,935;7,48
212,204;7,44
212,473;7,42
212,742;7,31
213,012;7,28
213,281;7,51
213,55;7,73
213,819;7,67
214,088;7,31
214,358;7,44
214,627;7,65
214,896;7,51
215,165;7,33
215,434;7,24
215,703;7,01
215,972;6,85
216,241;6,9
216,51;6,8
216,779;6,72
217,048;6,68
217,317;6,58
217,586;6,58
217,855;6,58
218,124;6,61
218,393;6,51
218,662;6,41
218,931;6,23
219,2;6,04
219,469;6,14
219,738;6,24
220,006;6,25
220,275;6,14
220,544;6,16
220,813;6,17
221,082;6,14
221,35;6,22
221,619;6,38
221,888;6,19
222,157;6,15
222,425;6,2
222,694;6,19
222,963;6,22
223,231;6,18
223,5;6,13
223,769;6,05
224,037;6,02
224,306;5,91
224,574;5,96
224,843;5,99
225,111;5,84
225,38;5,72
225,648;5,58
225,917;5,57
226,185;5,52
226,454;5,52
226,722;5,48
226,991;5,39
227,259;5,39
227,528;5,43
227,796;5,43
228,064;5,3
228,333;5,33
228,601;5,21
228,869;5,14
229,138;5,11
229,406;5,12
229,674;5,17
229,942;5,18
230,211;5,15
230,479;5,1
230,747;5,13
231,015;5,14
231,283;5,17
231,552;5,08
231,82;5,07
232,088;5,04
232,356;5,04
232,624;5,03
232,892;4,97
233,16;4,93
233,428;4,89
233,696;4,89
233,964;4,87
234,232;4,92
234,5;4,88
234,768;4,88
235,036;4,85
235,304;4,87
235,572;4,89
235,84;4,81
236,108;4,81
236,376;4,76
236,644;4,74
236,912;4,72
237,179;4,73
237,447;4,73
237,715;4,71
237,983;4,71
238,251;4,75
238,518;4,71
238,786;4,71
239,054;4,71
239,322;4,71
239,589;4,65
239,857;4,58
240,125;4,62
240,392;4,6
240,66;4,61
240,927;4,51
241,195;4,5
241,463;4,55
241,73;4,55
241,998;4,58
242,265;4,58
242,533;4,6
242,8;4,6
243,068;4,6
243,335;4,57
243,603;4,55
243,87;4,51
244,138;4,55
244,405;4,55
244,672;4,56
244,94;4,53
245,207;4,54
245,474;4,57
245,742;4,54
246,009;4,52
246,276;4,49
246,544;4,5
246,811;4,46
247,078;4,46
247,345;4,43
247,613;4,42
247,88;4,41
248,147;4,36
248,414;4,37
248,681;4,34
248,948;4,35
249,215;4,35
249,483;4,34
249,75;4,31
250,017;4,29
250,284;4,28
250,551;4,29
250,818;4,31
251,085;4,29
251,352;4,29
251,619;4,29
251,886;4,31
252,153;4,33
252,42;4,3
252,687;4,27
252,953;4,27
253,22;4,25
253,487;4,23
253,754;4,26
254,021;4,24
254,288;4,25
254,555;4,26
254,821;4,28
255,088;4,26
255,355;4,26
255,622;4,24
255,888;4,24
256,155;4,23
256,422;4,22
256,688;4,22
256,955;4,22
257,222;4,24
257,488;4,23
257,755;4,23
258,022;4,25
258,288;4,23
258,555;4,25
258,821;4,24
259,088;4,23
259,354;4,2
259,621;4,19
259,887;4,2
260,154;4,23
260,42;4,17
260,687;4,17
260,953;4,18
261,219;4,19
261,486;4,17
261,752;4,19
262,019;4,18
262,285;4,16
262,551;4,16
262,818;4,15
263,084;4,12
263,35;4,11
263,616;4,09
263,883;4,13
264,149;4,12
264,415;4,15
264,681;4,16
264,947;4,18
265,214;4,18
265,48;4,19
265,746;4,17
266,012;4,22
266,278;4,22
266,544;4,23
266,81;4,23
267,076;4,26
267,342;4,24
267,608;4,22
267,874;4,23
268,14;4,24
268,406;4,25
268,672;4,27
268,938;4,27
269,204;4,28
269,47;4,26
269,736;4,24
270,002;4,2
270,268;4,19
270,533;4,2
270,799;4,22
271,065;4,19
271,331;4,2
271,597;4,2
271,862;4,21
272,128;4,2
272,394;4,21
272,66;4,2
272,925;4,2
273,191;4,21
273,457;4,23
273,722;4,23
273,988;4,21
274,254;4,21
274,519;4,23
274,785;4,25
275,05;4,23
275,316;4,24
275,582;4,25
275,847;4,27
276,113;4,26
276,378;4,25
276,644;4,26
276,909;4,23
277,174;4,23
277,44;4,24
277,705;4,22
277,971;4,18
278,236;4,2
278,501;4,21
278,767;4,23
279,032;4,23
279,297;4,24
279,563;4,22
279,828;4,23
280,093;4,19
280,358;4,17
280,624;4,18
280,889;4,17
281,154;4,18
281,419;4,18
281,684;4,19
281,95;4,2
282,215;4,2
282,48;4,2
282,745;4,2
283,01;4,2
283,275;4,2
283,54;4,18
283,805;4,17
284,07;4,15
284,335;4,15
284,6;4,11
284,865;4,09
285,13;4,07
285,395;4,06
285,66;4,09
285,925;4,09
286,19;4,12
286,455;4,11
286,72;4,11
286,985;4,1
287,249;4,07
287,514;4,04
287,779;4,04
288,044;4,05
288,309;4,02
288,573;4,01
288,838;4,04
289,103;4,08
289,367;4,06
289,632;4,09
289,897;4,09
290,161;4,11
290,426;4,11
290,691;4,15
290,955;4,14
291,22;4,12
291,484;4,1
291,749;4,07
292,014;4,09
292,278;4,09
292,543;4,11
292,807;4,11
293,072;4,13
293,336;4,12
293,6;4,12
293,865;4,1
294,129;4,08
294,394;4,06
294,658;4,06
294,922;4,07
295,187;4,06
295,451;4,05
