Data from redochrewhite_Reflection__4__11.txt Node;
"Date: Wed Sep 10 11:37:29 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;31,51
186,281;48,6
186,552;36,17
186,822;91,17
187,093;333,33
187,364;87,04
187,635;29,04
187,905;36,43
188,176;33,72
188,447;8,92
188,717;16,43
188,988;18,69
189,258;16,19
189,529;16,49
189,8;12,61
190,07;16,28
190,341;16,29
190,611;15,14
190,882;13,71
191,152;15,11
191,423;13,55
191,693;14,78
191,964;14,91
192,234;18,22
192,505;17,59
192,775;21,45
193,045;22,09
193,316;21,05
193,586;20,29
193,856;20,79
194,127;22,2
194,397;21,71
194,667;22,57
194,938;23,26
195,208;22,65
195,478;23,76
195,748;22,61
196,019;22,52
196,289;21,23
196,559;19,99
196,829;18,78
197,099;19,62
197,37;18,88
197,64;19
197,91;18,09
198,18;17,71
198,45;17,44
198,72;16,54
198,99;15,89
199,26;15,47
199,53;15,04
199,8;15,48
200,07;15,03
200,34;14,08
200,61;13,52
200,88;13,8
201,15;13,09
201,42;12,83
201,69;12,36
201,96;12,73
202,23;13,71
202,499;13,82
202,769;13,37
203,039;12,78
203,309;11,34
203,579;11,53
203,849;11,2
204,118;10,24
204,388;10,23
204,658;10,21
204,927;10,11
205,197;9,32
205,467;8,93
205,736;9,26
206,006;9,29
206,276;9,44
206,545;9,37
206,815;9,33
207,085;9,38
207,354;9,78
207,624;9,47
207,893;8,9
208,163;8,83
208,432;9,07
208,702;8,97
208,971;9,2
209,241;8,87
209,51;9,07
209,78;9,19
210,049;8,97
210,318;8,95
210,588;9,02
210,857;9,23
211,127;9,24
211,396;8,65
211,665;8,68
211,935;8,49
212,204;8,32
212,473;8,34
212,742;8,29
213,012;8,19
213,281;8,47
213,55;8,81
213,819;8,85
214,088;8,63
214,358;8,58
214,627;8,48
214,896;8,43
215,165;8,15
215,434;7,92
215,703;7,93
215,972;8,01
216,241;8,1
216,51;8,03
216,779;7,98
217,048;8,17
217,317;8,03
217,586;8,01
217,855;8,01
218,124;8,08
218,393;8,05
218,662;8,02
218,931;7,79
219,2;7,37
219,469;7,33
219,738;7,38
220,006;7,38
220,275;7,5
220,544;7,52
220,813;7,49
221,082;7,53
221,35;7,44
221,619;7,42
221,888;7,37
222,157;7,36
222,425;7,2
222,694;7,1
222,963;7,07
223,231;7,03
223,5;6,95
223,769;6,71
224,037;6,64
224,306;6,56
224,574;6,62
224,843;6,67
225,111;6,5
225,38;6,39
225,648;6,37
225,917;6,28
226,185;6,22
226,454;6,21
226,722;6,26
226,991;6,19
227,259;6,13
227,528;6
227,796;5,97
228,064;5,93
228,333;5,88
228,601;5,82
228,869;5,74
229,138;5,62
229,406;5,66
229,674;5,7
229,942;5,71
230,211;5,73
230,479;5,68
230,747;5,72
231,015;5,66
231,283;5,66
231,552;5,58
231,82;5,47
232,088;5,48
232,356;5,42
232,624;5,43
232,892;5,41
233,16;5,39
233,428;5,38
233,696;5,38
233,964;5,35
234,232;5,34
234,5;5,35
234,768;5,39
235,036;5,41
235,304;5,37
235,572;5,37
235,84;5,3
236,108;5,33
236,376;5,29
236,644;5,27
236,912;5,26
237,179;5,3
237,447;5,33
237,715;5,23
237,983;5,23
238,251;5,22
238,518;5,2
238,786;5,21
239,054;5,18
239,322;5,21
239,589;5,26
239,857;5,26
240,125;5,28
240,392;5,28
240,66;5,27
240,927;5,25
241,195;5,24
241,463;5,25
241,73;5,25
241,998;5,29
242,265;5,28
242,533;5,27
242,8;5,27
243,068;5,28
243,335;5,34
243,603;5,35
243,87;5,35
244,138;5,35
244,405;5,34
244,672;5,34
244,94;5,29
245,207;5,27
245,474;5,3
245,742;5,29
246,009;5,27
246,276;5,29
246,544;5,28
246,811;5,25
247,078;5,24
247,345;5,26
247,613;5,25
247,88;5,24
248,147;5,24
248,414;5,2
248,681;5,19
248,948;5,18
249,215;5,14
249,483;5,12
249,75;5,11
250,017;5,1
250,284;5,11
250,551;5,12
250,818;5,12
251,085;5,06
251,352;5,04
251,619;5,04
251,886;4,98
252,153;5
252,42;4,99
252,687;4,98
252,953;4,96
253,22;4,91
253,487;4,92
253,754;4,92
254,021;4,91
254,288;4,89
254,555;4,86
254,821;4,88
255,088;4,87
255,355;4,87
255,622;4,86
255,888;4,84
256,155;4,81
256,422;4,8
256,688;4,8
256,955;4,8
257,222;4,79
257,488;4,79
257,755;4,76
258,022;4,73
258,288;4,71
258,555;4,67
258,821;4,68
259,088;4,68
259,354;4,64
259,621;4,61
259,887;4,62
260,154;4,62
260,42;4,57
260,687;4,58
260,953;4,58
261,219;4,58
261,486;4,56
261,752;4,55
262,019;4,52
262,285;4,49
262,551;4,47
262,818;4,47
263,084;4,46
263,35;4,44
263,616;4,42
263,883;4,41
264,149;4,39
264,415;4,38
264,681;4,34
264,947;4,35
265,214;4,37
265,48;4,34
265,746;4,36
266,012;4,37
266,278;4,34
266,544;4,34
266,81;4,33
267,076;4,33
267,342;4,33
267,608;4,35
267,874;4,35
268,14;4,37
268,406;4,35
268,672;4,35
268,938;4,34
269,204;4,33
269,47;4,33
269,736;4,33
270,002;4,29
270,268;4,31
270,533;4,31
270,799;4,3
271,065;4,29
271,331;4,23
271,597;4,25
271,862;4,23
272,128;4,21
272,394;4,21
272,66;4,19
272,925;4,21
273,191;4,18
273,457;4,19
273,722;4,15
273,988;4,16
274,254;4,15
274,519;4,15
274,785;4,17
275,05;4,14
275,316;4,14
275,582;4,16
275,847;4,17
276,113;4,14
276,378;4,14
276,644;4,15
276,909;4,15
277,174;4,13
277,44;4,14
277,705;4,11
277,971;4,09
278,236;4,1
278,501;4,08
278,767;4,09
279,032;4,08
279,297;4,09
279,563;4,04
279,828;4,02
280,093;3,98
280,358;3,97
280,624;3,96
280,889;3,96
281,154;3,97
281,419;3,96
281,684;3,98
281,95;3,98
282,215;3,97
282,48;3,97
282,745;3,96
283,01;3,96
283,275;3,93
283,54;3,93
283,805;3,93
284,07;3,95
284,335;3,92
284,6;3,9
284,865;3,88
285,13;3,89
285,395;3,92
285,66;3,95
285,925;3,98
286,19;4,03
286,455;4,01
286,72;4,04
286,985;4
287,249;3,99
287,514;4
287,779;4,02
288,044;4,01
288,309;4,02
288,573;4,02
288,838;4,09
289,103;4,12
289,367;4,13
289,632;4,13
289,897;4,16
290,161;4,19
290,426;4,22
290,691;4,27
290,955;4,25
291,22;4,25
291,484;4,24
291,749;4,21
292,014;4,21
292,278;4,22
292,543;4,26
292,807;4,31
293,072;4,3
293,336;4,3
293,6;4,31
293,865;4,34
294,129;4,32
294,394;4,31
294,658;4,32
294,922;4,33
295,187;4,32
295,451;4,3
295,715;4,31
295,98;4,34
296,244;4,33
296,508;4,35
296,773;4,39
297,037;4,42
297,301;4,45
297,565;4,49
297,829;4,47
298,094;4,46
298,358;4,44
298,622;4,46
298,886;4,48
299,15;4,52
299,414;4,52
299,678;4,55
299,942;4,54
300,206;4,56
300,47;4,58
300,734;4,6
300,998;4,64
301,262;4,64
301,526;4,61
301,79;4,64
302,054;4,66
302,318;4,64
302,582;4,67
302,846;4,67
303,11;4,68
303,374;4,7
303,637;4,73
303,901;4,74
304,165;4,74
304,429;4,76
304,693;4,75
304,956;4,77
305,22;4,79
305,484;4,83
305,747;4,86
306,011;4,85
306,275;4,84
306,538;4,86
306,802;4,88
307,066;4,9
307,329;4,88
307,593;4,88
307,856;4,88
308,12;4,85
308,384;4,89
308,647;4,9
308,911;4,91
