Data from redochrewhite_Reflection__0__07.txt Node;
"Date: Wed Sep 10 11:30:53 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;64,99
186,281;64,81
186,552;35,54
186,822;108,02
187,093;633,33
187,364;534,4
187,635;109,8
187,905;110,47
188,176;82,5
188,447;82,45
188,717;71,05
188,988;70,41
189,258;64,35
189,529;63,68
189,8;63,97
190,07;65,83
190,341;59,81
190,611;59,26
190,882;57,88
191,152;56,32
191,423;54,75
191,693;54,14
191,964;52,74
192,234;56
192,505;51,77
192,775;54,37
193,045;52,98
193,316;52,66
193,586;52,79
193,856;52,55
194,127;52,52
194,397;54,27
194,667;53,67
194,938;53,52
195,208;55,46
195,478;55,2
195,748;55,23
196,019;56,33
196,289;56,27
196,559;55,51
196,829;55,94
197,099;54,94
197,37;54,73
197,64;56,17
197,91;55,27
198,18;55,84
198,45;55,22
198,72;54,79
198,99;55,35
199,26;53,83
199,53;54,37
199,8;54,29
200,07;52,96
200,34;53,36
200,61;53,11
200,88;52,23
201,15;51,78
201,42;51,61
201,69;51,07
201,96;50,87
202,23;51,37
202,499;51,81
202,769;51,97
203,039;51,84
203,309;51,14
203,579;50,67
203,849;50,35
204,118;50,22
204,388;50,41
204,658;50,38
204,927;50,58
205,197;50,21
205,467;50,25
205,736;50,44
206,006;49,93
206,276;50,21
206,545;49,99
206,815;50,5
207,085;50,27
207,354;50,5
207,624;50,1
207,893;49,09
208,163;48,58
208,432;48,51
208,702;48,38
208,971;48,19
209,241;48,22
209,51;48,33
209,78;48,15
210,049;48,1
210,318;47,83
210,588;47,87
210,857;47,96
211,127;47,57
211,396;47,2
211,665;47,31
211,935;47,17
212,204;47,15
212,473;46,81
212,742;46,52
213,012;46,47
213,281;46,55
213,55;46,65
213,819;46,44
214,088;46,24
214,358;46,16
214,627;46,04
214,896;45,97
215,165;45,65
215,434;45,56
215,703;45,18
215,972;45,04
216,241;44,93
216,51;44,67
216,779;44,66
217,048;44,71
217,317;44,48
217,586;44,44
217,855;44,53
218,124;44,47
218,393;44,4
218,662;44,22
218,931;44,16
219,2;44,15
219,469;44,2
219,738;44,36
220,006;44,24
220,275;44,12
220,544;44,06
220,813;44,1
221,082;43,99
221,35;44,04
221,619;43,99
221,888;43,85
222,157;43,78
222,425;43,83
222,694;43,57
222,963;43,64
223,231;43,43
223,5;43,44
223,769;43,3
224,037;43,27
224,306;43,11
224,574;43,06
224,843;42,88
225,111;42,66
225,38;42,38
225,648;42,26
225,917;42,18
226,185;42,04
226,454;41,91
226,722;41,87
226,991;41,73
227,259;41,67
227,528;41,54
227,796;41,57
228,064;41,3
228,333;41,34
228,601;41,14
228,869;41,15
229,138;40,87
229,406;40,83
229,674;40,72
229,942;40,76
230,211;40,72
230,479;40,65
230,747;40,64
231,015;40,49
231,283;40,43
231,552;40,42
231,82;40,4
232,088;40,3
232,356;40,21
232,624;40,14
232,892;40,08
233,16;39,95
233,428;39,88
233,696;39,87
233,964;39,78
234,232;39,81
234,5;39,68
234,768;39,67
235,036;39,63
235,304;39,64
235,572;39,57
235,84;39,45
236,108;39,44
236,376;39,41
236,644;39,41
236,912;39,39
237,179;39,31
237,447;39,23
237,715;39,17
237,983;39,12
238,251;39,02
238,518;38,93
238,786;38,92
239,054;38,81
239,322;38,75
239,589;38,71
239,857;38,63
240,125;38,65
240,392;38,6
240,66;38,55
240,927;38,43
241,195;38,38
241,463;38,38
241,73;38,31
241,998;38,26
242,265;38,22
242,533;38,14
242,8;38,06
243,068;37,99
243,335;37,98
243,603;37,95
243,87;37,95
244,138;37,94
244,405;37,92
244,672;37,88
244,94;37,83
245,207;37,79
245,474;37,78
245,742;37,74
246,009;37,67
246,276;37,64
246,544;37,63
246,811;37,55
247,078;37,47
247,345;37,45
247,613;37,38
247,88;37,32
248,147;37,28
248,414;37,26
