Data from verderameWhite_Reflection__3__25.txt Node;
"Date: Thu Sep 11 16:26:49 CEST 2025 User: sycur";
186,01;-1384,55
186,281;1493,21
186,552;483,25
186,822;178,47
187,093;0
187,364;-466,58
187,635;-147,28
187,905;98
188,176;42,04
188,447;31,07
188,717;24,47
188,988;23,21
189,258;22,35
189,529;23,89
189,8;24,76
190,07;23,15
190,341;23,04
190,611;18,49
190,882;18,29
191,152;18,3
191,423;17,32
191,693;17,3
191,964;17,47
192,234;17,42
192,505;15,46
192,775;15,25
193,045;13,73
193,316;13,45
193,586;12,88
193,856;12,87
194,127;13,33
194,397;13,31
194,667;13,9
194,938;13,86
195,208;13,41
195,478;12,63
195,748;13,01
196,019;13,33
196,289;13,52
196,559;12,98
196,829;12,3
197,099;12,38
197,37;12,03
197,64;11,11
197,91;11,42
198,18;11,27
198,45;11,08
198,72;11,37
198,99;11,37
199,26;11,19
199,53;11,15
199,8;10,75
200,07;10,77
200,34;10,29
200,61;9,72
200,88;9,68
201,15;9,85
201,42;9,22
201,69;8,66
201,96;8,78
202,23;8,97
202,499;9,18
202,769;9,38
203,039;9,34
203,309;9,72
203,579;9,26
203,849;9,38
204,118;9,04
204,388;8,8
204,658;8,7
204,927;8,46
205,197;8,37
205,467;8,25
205,736;8,08
206,006;8,03
206,276;7,92
206,545;7,87
206,815;7,7
207,085;7,64
207,354;7,6
207,624;7,4
207,893;7,16
208,163;7,07
208,432;6,82
208,702;6,67
208,971;6,58
209,241;6,6
209,51;6,43
209,78;6,44
210,049;6,38
210,318;6,26
210,588;6,26
210,857;6,14
211,127;6,08
211,396;6,04
211,665;5,97
211,935;6,01
212,204;6
212,473;5,88
212,742;6,02
213,012;5,96
213,281;5,87
213,55;5,89
213,819;5,7
214,088;5,67
214,358;5,65
214,627;5,55
214,896;5,39
215,165;5,35
215,434;5,33
215,703;5,33
215,972;5,2
216,241;5,17
216,51;5,16
216,779;5,1
217,048;4,99
217,317;4,97
217,586;4,93
217,855;4,83
218,124;4,89
218,393;4,79
218,662;4,75
218,931;4,72
219,2;4,68
219,469;4,68
219,738;4,62
220,006;4,62
220,275;4,57
220,544;4,6
220,813;4,55
221,082;4,5
221,35;4,49
221,619;4,52
221,888;4,48
222,157;4,47
222,425;4,44
222,694;4,38
222,963;4,35
223,231;4,33
223,5;4,33
223,769;4,29
224,037;4,29
224,306;4,3
224,574;4,28
224,843;4,24
225,111;4,26
225,38;4,26
225,648;4,25
225,917;4,22
226,185;4,21
226,454;4,19
226,722;4,17
226,991;4,14
227,259;4,09
227,528;4,06
227,796;4,03
228,064;4,02
228,333;4,05
228,601;4,03
228,869;4
229,138;3,97
229,406;3,93
229,674;3,89
229,942;3,86
230,211;3,87
230,479;3,85
230,747;3,82
231,015;3,78
231,283;3,75
231,552;3,76
231,82;3,72
232,088;3,71
232,356;3,7
232,624;3,66
232,892;3,67
233,16;3,64
233,428;3,63
233,696;3,61
233,964;3,57
234,232;3,56
234,5;3,54
234,768;3,52
235,036;3,52
235,304;3,51
235,572;3,49
235,84;3,46
236,108;3,47
236,376;3,46
236,644;3,48
236,912;3,46
237,179;3,44
237,447;3,44
237,715;3,44
237,983;3,42
238,251;3,43
238,518;3,42
238,786;3,44
239,054;3,41
239,322;3,39
239,589;3,39
239,857;3,39
240,125;3,4
240,392;3,39
240,66;3,38
240,927;3,37
241,195;3,36
241,463;3,35
241,73;3,35
241,998;3,32
242,265;3,31
242,533;3,31
242,8;3,33
243,068;3,32
243,335;3,3
243,603;3,31
243,87;3,31
244,138;3,29
244,405;3,29
244,672;3,3
244,94;3,3
245,207;3,3
245,474;3,29
245,742;3,28
246,009;3,28
246,276;3,27
246,544;3,27
246,811;3,27
247,078;3,27
247,345;3,27
247,613;3,27
247,88;3,27
248,147;3,26
248,414;3,23
248,681;3,23
248,948;3,23
249,215;3,22
249,483;3,2
249,75;3,2
250,017;3,19
250,284;3,19
250,551;3,19
250,818;3,18
251,085;3,18
251,352;3,18
251,619;3,18
251,886;3,17
252,153;3,18
252,42;3,18
252,687;3,18
252,953;3,18
253,22;3,18
253,487;3,2
253,754;3,2
254,021;3,19
254,288;3,19
254,555;3,19
254,821;3,19
255,088;3,2
255,355;3,2
255,622;3,19
255,888;3,18
256,155;3,18
256,422;3,17
256,688;3,17
256,955;3,16
257,222;3,16
257,488;3,15
257,755;3,15
258,022;3,15
258,288;3,14
258,555;3,13
258,821;3,13
259,088;3,11
259,354;3,1
259,621;3,1
259,887;3,1
260,154;3,1
260,42;3,09
260,687;3,09
260,953;3,08
261,219;3,09
261,486;3,08
261,752;3,08
262,019;3,08
262,285;3,08
262,551;3,08
262,818;3,09
263,084;3,08
263,35;3,08
263,616;3,08
263,883;3,07
264,149;3,08
264,415;3,09
264,681;3,09
264,947;3,09
265,214;3,09
265,48;3,08
265,746;3,07
266,012;3,08
266,278;3,07
266,544;3,08
266,81;3,07
267,076;3,06
267,342;3,06
267,608;3,07
267,874;3,07
268,14;3,07
268,406;3,06
268,672;3,06
268,938;3,05
269,204;3,04
269,47;3,03
269,736;3,03
270,002;3,02
270,268;3,01
270,533;3,02
270,799;3,01
271,065;3,03
271,331;3,02
271,597;3,02
271,862;3,02
272,128;3,02
272,394;3,02
272,66;3,02
272,925;3,02
273,191;3,01
273,457;3
273,722;2,99
273,988;2,99
274,254;3
274,519;3
274,785;3
275,05;3
275,316;3,01
275,582;2,99
275,847;3
276,113;3
276,378;2,99
276,644;2,98
276,909;2,98
277,174;2,98
277,44;2,99
277,705;2,99
277,971;2,99
278,236;2,99
