Data from verderameWhite_Reflection__4__26.txt Node;
"Date: Thu Sep 11 16:28:01 CEST 2025 User: sycur";
186,01;-2494,62
186,281;2067,55
186,552;422,39
186,822;170
187,093;0
187,364;-113,83
187,635;-73,38
187,905;96
188,176;53,88
188,447;45,16
188,717;39,22
188,988;45,91
189,258;45,89
189,529;45,84
189,8;46,64
190,07;44,85
190,341;42,8
190,611;38,64
190,882;36,93
191,152;35,98
191,423;33,61
191,693;31,48
191,964;30,6
192,234;29,2
192,505;27,58
192,775;27,2
193,045;26,42
193,316;25,51
193,586;24,56
193,856;23,96
194,127;23,74
194,397;23,68
194,667;23,26
194,938;21,98
195,208;21,82
195,478;20,5
195,748;19,54
196,019;19,17
196,289;19,83
196,559;19,15
196,829;19,1
197,099;18,79
197,37;18,97
197,64;18,16
197,91;17,92
198,18;17,49
198,45;16,54
198,72;16,39
198,99;16,08
199,26;15,58
199,53;15,35
199,8;14,82
200,07;13,99
200,34;13,61
200,61;13,5
200,88;13,33
201,15;13,1
201,42;13,05
201,69;12,62
201,96;12,39
202,23;12,03
202,499;11,32
202,769;11,5
203,039;11,13
203,309;11,18
203,579;10,81
203,849;10,75
204,118;10,83
204,388;10,48
204,658;10,34
204,927;10,16
205,197;10,02
205,467;9,91
205,736;10,04
206,006;9,91
206,276;9,66
206,545;9,26
206,815;9,25
207,085;9,09
207,354;8,98
207,624;8,67
207,893;8,5
208,163;8,7
208,432;8,29
208,702;8,1
208,971;8
209,241;7,96
209,51;7,7
209,78;7,55
210,049;7,43
210,318;7,36
210,588;7,31
210,857;7,19
211,127;7,06
211,396;6,89
211,665;6,84
211,935;6,79
212,204;6,82
212,473;6,65
212,742;6,62
213,012;6,46
213,281;6,4
213,55;6,47
213,819;6,23
214,088;6,22
214,358;6,2
214,627;6,15
214,896;5,98
215,165;5,96
215,434;5,92
215,703;6
215,972;5,88
216,241;5,82
216,51;5,77
216,779;5,75
217,048;5,69
217,317;5,63
217,586;5,53
217,855;5,45
218,124;5,5
218,393;5,4
218,662;5,44
218,931;5,39
219,2;5,33
219,469;5,37
219,738;5,34
220,006;5,34
220,275;5,26
220,544;5,3
220,813;5,21
221,082;5,15
221,35;5,06
221,619;5,04
221,888;5,03
222,157;4,99
222,425;4,9
222,694;4,86
222,963;4,78
223,231;4,77
223,5;4,75
223,769;4,67
224,037;4,66
224,306;4,64
224,574;4,61
224,843;4,57
225,111;4,54
225,38;4,53
225,648;4,5
225,917;4,46
226,185;4,45
226,454;4,43
226,722;4,41
226,991;4,4
227,259;4,35
227,528;4,3
227,796;4,26
228,064;4,24
228,333;4,24
228,601;4,26
228,869;4,23
229,138;4,16
229,406;4,15
229,674;4,15
229,942;4,14
230,211;4,14
230,479;4,12
230,747;4,1
231,015;4,08
231,283;4,06
231,552;4,08
231,82;4,03
232,088;4
232,356;4,01
232,624;3,98
232,892;3,99
233,16;3,98
233,428;3,96
233,696;3,95
233,964;3,92
234,232;3,9
234,5;3,88
234,768;3,89
235,036;3,88
235,304;3,86
235,572;3,84
235,84;3,81
236,108;3,79
236,376;3,79
236,644;3,78
236,912;3,75
237,179;3,72
237,447;3,72
237,715;3,74
237,983;3,71
238,251;3,72
238,518;3,7
238,786;3,68
239,054;3,67
239,322;3,65
239,589;3,65
239,857;3,64
240,125;3,64
240,392;3,64
240,66;3,63
240,927;3,62
241,195;3,62
241,463;3,62
241,73;3,64
241,998;3,61
242,265;3,6
242,533;3,61
242,8;3,62
243,068;3,61
243,335;3,59
243,603;3,59
243,87;3,58
244,138;3,58
244,405;3,59
244,672;3,59
244,94;3,6
245,207;3,59
245,474;3,6
245,742;3,59
246,009;3,59
246,276;3,58
246,544;3,57
246,811;3,57
247,078;3,57
247,345;3,55
247,613;3,56
247,88;3,55
248,147;3,55
248,414;3,54
248,681;3,53
248,948;3,54
249,215;3,55
249,483;3,54
249,75;3,53
250,017;3,53
250,284;3,53
250,551;3,52
250,818;3,53
251,085;3,51
251,352;3,52
251,619;3,52
251,886;3,53
252,153;3,53
