Data from verderameWhite_Reflection__0__22.txt Node;
"Date: Thu Sep 11 16:20:41 CEST 2025 User: sycur";
186,01;-2736
186,281;2688,3
186,552;435,34
186,822;447,71
187,093;0
187,364;-564
187,635;-272,01
187,905;140,61
188,176;67,61
188,447;59,05
188,717;50,67
188,988;48,24
189,258;45,97
189,529;46,03
189,8;46,89
190,07;43,24
190,341;43,41
190,611;38,82
190,882;38,41
191,152;37,74
191,423;36,7
191,693;36,42
191,964;35,26
192,234;33,77
192,505;32,05
192,775;31,28
193,045;28,98
193,316;27,24
193,586;26,28
193,856;25,53
194,127;24,79
194,397;23,73
194,667;23,58
194,938;21,9
195,208;21
195,478;19,8
195,748;19,59
196,019;18,57
196,289;18,56
196,559;17,54
196,829;16,6
197,099;16,11
197,37;15,59
197,64;14,44
197,91;13,71
198,18;13,36
198,45;12,35
198,72;12,2
198,99;12,05
199,26;11,57
199,53;11,63
199,8;11,14
200,07;10,71
200,34;10,38
200,61;10,37
200,88;10,39
201,15;10,41
201,42;9,9
201,69;9,58
201,96;9,5
202,23;9,45
202,499;9,21
202,769;9,63
203,039;9,63
203,309;10,03
203,579;9,8
203,849;9,46
204,118;9,27
204,388;9,22
204,658;9,13
204,927;9,02
205,197;8,77
205,467;8,31
205,736;8,32
206,006;7,99
206,276;7,88
206,545;7,55
206,815;7,4
207,085;7,29
207,354;7,27
207,624;7,29
207,893;7,18
208,163;7,17
208,432;6,69
208,702;6,44
208,971;6,16
209,241;6,18
209,51;6,16
209,78;6,1
210,049;5,99
210,318;5,95
210,588;5,84
210,857;5,69
211,127;5,73
211,396;5,67
211,665;5,66
211,935;5,56
212,204;5,59
212,473;5,43
212,742;5,46
213,012;5,33
213,281;5,09
213,55;5
213,819;4,85
214,088;4,86
214,358;4,88
214,627;4,9
214,896;4,66
215,165;4,64
215,434;4,59
215,703;4,56
215,972;4,38
216,241;4,33
216,51;4,3
216,779;4,28
217,048;4,24
217,317;4,15
217,586;4,13
217,855;4,09
218,124;4,11
218,393;4,03
218,662;3,97
218,931;4
219,2;3,97
219,469;3,99
219,738;3,95
220,006;3,88
220,275;3,81
220,544;3,9
220,813;3,82
221,082;3,79
221,35;3,74
221,619;3,75
221,888;3,78
222,157;3,78
222,425;3,75
222,694;3,66
222,963;3,66
223,231;3,6
223,5;3,56
223,769;3,55
224,037;3,54
224,306;3,56
224,574;3,52
224,843;3,49
225,111;3,47
225,38;3,43
225,648;3,43
225,917;3,4
226,185;3,37
226,454;3,34
226,722;3,31
226,991;3,3
227,259;3,26
227,528;3,22
227,796;3,18
228,064;3,17
228,333;3,17
228,601;3,16
228,869;3,12
229,138;3,11
229,406;3,07
229,674;3,07
229,942;3,04
230,211;3,03
230,479;3,02
230,747;2,99
231,015;2,97
231,283;2,96
231,552;2,97
231,82;2,93
232,088;2,93
232,356;2,93
232,624;2,91
232,892;2,93
233,16;2,91
233,428;2,9
233,696;2,9
233,964;2,9
234,232;2,87
234,5;2,87
234,768;2,86
235,036;2,86
235,304;2,82
235,572;2,8
235,84;2,79
236,108;2,78
236,376;2,78
236,644;2,79
236,912;2,77
237,179;2,74
237,447;2,76
237,715;2,75
237,983;2,73
238,251;2,73
