Data from verderameWhite_Reflection__1__23.txt Node;
"Date: Thu Sep 11 16:21:53 CEST 2025 User: sycur";
186,01;-1351,45
186,281;1425,28
186,552;309,64
186,822;362,87
187,093;0
187,364;-232,68
187,635;-62,31
187,905;55,42
188,176;42,5
188,447;33,7
188,717;27,69
188,988;28,12
189,258;24,11
189,529;30,27
189,8;30
190,07;27,48
190,341;27,7
190,611;23,28
190,882;21,85
191,152;20,76
191,423;19,5
191,693;18,84
191,964;18,78
192,234;18,04
192,505;16,85
192,775;15,91
193,045;14,92
193,316;15,11
193,586;14,84
193,856;13,91
194,127;14,2
194,397;14,25
194,667;14,83
194,938;14,02
195,208;14,05
195,478;12,68
195,748;12,67
196,019;12,75
196,289;13,66
196,559;13,58
196,829;13,47
197,099;13,19
197,37;12,9
197,64;12,42
197,91;12,36
198,18;12,42
198,45;12,31
198,72;12,55
198,99;12,12
199,26;11,71
199,53;11,73
199,8;11,4
200,07;11,09
200,34;10,59
200,61;10,76
200,88;10,54
201,15;10,73
201,42;10,85
201,69;10,35
201,96;10,17
202,23;10,12
202,499;9,58
202,769;9,96
203,039;9,95
203,309;10,24
203,579;10,21
203,849;10,13
204,118;9,88
204,388;9,62
204,658;9,61
204,927;9,78
205,197;9,45
205,467;9,14
205,736;9
206,006;8,91
206,276;8,65
206,545;8,36
206,815;8,22
207,085;7,89
207,354;7,89
207,624;7,81
207,893;7,53
208,163;7,75
208,432;7,46
208,702;7,46
208,971;7,3
209,241;7,21
209,51;7,14
209,78;7,15
210,049;7,11
210,318;7,01
210,588;6,89
210,857;6,93
211,127;6,97
211,396;6,93
211,665;6,91
211,935;6,96
212,204;7,02
212,473;6,89
212,742;6,95
213,012;6,78
213,281;6,67
213,55;6,67
213,819;6,49
214,088;6,49
214,358;6,34
214,627;6,21
214,896;6,1
215,165;6,08
215,434;6,08
215,703;6,04
215,972;5,99
216,241;5,88
216,51;5,88
216,779;5,82
217,048;5,78
217,317;5,72
217,586;5,62
217,855;5,5
218,124;5,46
218,393;5,47
218,662;5,52
218,931;5,48
219,2;5,48
219,469;5,44
219,738;5,38
220,006;5,39
220,275;5,37
220,544;5,32
220,813;5,25
221,082;5,19
221,35;5,15
221,619;5,11
221,888;5,12
222,157;5,07
222,425;5,02
222,694;4,98
222,963;4,92
223,231;4,93
223,5;4,94
223,769;4,96
224,037;4,92
224,306;4,9
224,574;4,87
224,843;4,83
225,111;4,83
225,38;4,79
225,648;4,77
225,917;4,72
226,185;4,75
226,454;4,7
226,722;4,67
226,991;4,65
227,259;4,61
227,528;4,59
227,796;4,56
228,064;4,57
228,333;4,57
228,601;4,58
228,869;4,55
229,138;4,52
229,406;4,48
229,674;4,46
229,942;4,46
230,211;4,46
230,479;4,48
230,747;4,44
231,015;4,45
231,283;4,44
231,552;4,45
231,82;4,39
232,088;4,38
232,356;4,37
232,624;4,35
232,892;4,37
233,16;4,33
233,428;4,33
233,696;4,31
233,964;4,28
234,232;4,26
234,5;4,24
234,768;4,2
235,036;4,21
235,304;4,18
235,572;4,14
235,84;4,11
236,108;4,08
236,376;4,09
