User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
186,01;66,53
186,281;77,59
186,552;69,95
186,822;77,44
187,093;266,67
187,364;414,96
187,635;88,9
187,905;55,03
188,176;50,98
188,447;33,18
188,717;34,77
188,988;32,78
189,258;28,42
189,529;29,52
189,8;33,09
190,07;35,4
190,341;30,13
190,611;29,31
190,882;26,34
191,152;26,29
191,423;25,84
191,693;26,52
191,964;24,09
192,234;24,18
192,505;23,88
192,775;25,41
193,045;24,87
193,316;23,38
193,586;23,41
193,856;23,16
194,127;25,15
194,397;24,35
194,667;25,17
194,938;23,45
195,208;22,72
195,478;22,8
195,748;21,7
196,019;22,26
196,289;20,76
196,559;19,51
196,829;17,56
197,099;18,1
197,37;17,07
197,64;17,72
197,91;18,42
198,18;17,6
198,45;17,09
198,72;16,12
198,99;16,35
199,26;15,96
199,53;15,24
199,8;14,49
200,07;13,98
200,34;12,87
200,61;13,45
200,88;13,32
201,15;13,15
201,42;12,43
201,69;11,62
201,96;11,88
202,23;12,87
202,499;13,39
202,769;12,66
203,039;12,45
203,309;11,26
203,579;10,6
203,849;11,04
204,118;10,62
204,388;10,56
204,658;10,72
204,927;10,55
205,197;9,75
205,467;9,52
205,736;9,72
206,006;9,54
206,276;9,42
206,545;9,4
206,815;9,13
207,085;9,09
207,354;9,32
207,624;8,93
207,893;8,36
208,163;8,07
208,432;8,27
208,702;8,05
208,971;8,08
209,241;8,33
209,51;8,19
209,78;8,31
210,049;8,25
210,318;8
210,588;7,9
210,857;8,39
211,127;8,19
211,396;7,86
211,665;7,95
211,935;7,98
212,204;7,8
212,473;7,67
212,742;7,59
213,012;7,56
213,281;7,4
213,55;7,44
213,819;7,35
214,088;7,24
214,358;7,16
214,627;7,35
214,896;6,97
215,165;6,72
215,434;6,48
215,703;6,23
215,972;6,21
216,241;6,17
216,51;6,02
216,779;5,86
217,048;5,72
217,317;5,56
217,586;5,6
217,855;5,73
218,124;5,61
218,393;5,5
218,662;5,4
218,931;5,45
219,2;5,26
219,469;5,21
219,738;5,27
220,006;5,31
220,275;5,14
220,544;5,22
220,813;5,29
221,082;5,22
221,35;5,24
221,619;5,18
221,888;5,14
222,157;5,14
222,425;5,2
222,694;5,2
222,963;5,24
223,231;5,15
223,5;5,1
223,769;5,05
224,037;5,01
224,306;4,99
224,574;5,1
224,843;5,05
225,111;4,9
225,38;4,74
225,648;4,63
225,917;4,6
226,185;4,54
226,454;4,5
226,722;4,61
226,991;4,51
227,259;4,48
227,528;4,38
227,796;4,31
228,064;4,24
228,333;4,28
228,601;4,26
228,869;4,18
229,138;4,12
229,406;4,09
229,674;4,14
229,942;4,17
230,211;4,1
230,479;4,14
230,747;4,14
231,015;4,18
231,283;4,19
231,552;4,14
231,82;4,07
232,088;4,03
232,356;3,96
232,624;4,01
232,892;4
233,16;4,04
233,428;4,03
233,696;4,05
233,964;4,04
234,232;4,02
234,5;3,98
234,768;3,96
235,036;3,97
235,304;3,94
235,572;3,91
235,84;3,86
236,108;3,82
236,376;3,85
236,644;3,79
236,912;3,76
237,179;3,78
237,447;3,82
237,715;3,84
237,983;3,81
238,251;3,8
238,518;3,77
238,786;3,74
239,054;3,69
239,322;3,69
239,589;3,7
239,857;3,68
240,125;3,67
240,392;3,67
240,66;3,68
240,927;3,62
241,195;3,56
241,463;3,6
241,73;3,61
241,998;3,61
242,265;3,62
242,533;3,64
242,8;3,63
243,068;3,62
243,335;3,56
243,603;3,6
243,87;3,55
244,138;3,57
244,405;3,59
244,672;3,63
244,94;3,59
245,207;3,57
245,474;3,57
245,742;3,58
246,009;3,54
246,276;3,56
246,544;3,56
246,811;3,58
247,078;3,56
247,345;3,54
247,613;3,52
247,88;3,5
248,147;3,47
248,414;3,47
248,681;3,46
248,948;3,46
249,215;3,44
249,483;3,45
249,75;3,44
250,017;3,41
250,284;3,37
250,551;3,37
250,818;3,37
251,085;3,36
