User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
186,01;145,84
186,281;101,66
186,552;114,44
186,822;131,9
187,093;-366,67
187,364;101
187,635;58,15
187,905;46,72
188,176;23,76
188,447;19,9
188,717;26,72
188,988;23,73
189,258;22,48
189,529;29,11
189,8;24,15
190,07;22,91
190,341;26,54
190,611;24,51
190,882;20,11
191,152;19
191,423;20,65
191,693;20,81
191,964;22,34
192,234;24,31
192,505;22,89
192,775;27,86
193,045;26,59
193,316;25,04
193,586;24,6
193,856;25,63
194,127;24,93
194,397;23,93
194,667;24,31
194,938;22,74
195,208;21,25
195,478;22,52
195,748;22,53
196,019;21,84
196,289;22,84
196,559;22,23
196,829;21,06
197,099;21,37
197,37;19,73
197,64;18,53
197,91;16,27
198,18;16,97
198,45;16,36
198,72;16,39
198,99;16,71
199,26;16,23
199,53;15,28
199,8;15,77
200,07;15,71
200,34;14,9
200,61;14,77
200,88;15,81
201,15;14,74
201,42;14,4
201,69;14,66
201,96;13,44
202,23;13,9
202,499;13,88
202,769;13,68
203,039;13,63
203,309;13,41
203,579;13,99
203,849;13,99
204,118;12,98
204,388;12,95
204,658;13
204,927;13,08
205,197;13,01
205,467;12,59
205,736;12,44
206,006;12,11
206,276;12,73
206,545;12,21
206,815;12,42
207,085;12,09
207,354;11,96
207,624;11,87
207,893;11,8
208,163;11,57
208,432;11,53
208,702;11,15
208,971;10,72
209,241;10,66
209,51;10,49
209,78;10,77
210,049;10,48
210,318;10,08
210,588;9,76
210,857;9,78
211,127;9,77
211,396;9,58
211,665;9,76
211,935;9,47
212,204;9,27
212,473;9,14
212,742;8,95
213,012;8,9
213,281;9,14
213,55;8,9
213,819;8,66
214,088;8,41
214,358;8,53
214,627;8,63
214,896;8,51
215,165;8,17
215,434;7,95
215,703;7,84
215,972;7,62
216,241;7,5
216,51;7,28
216,779;7,05
217,048;7,1
217,317;6,9
217,586;6,86
217,855;6,96
218,124;6,96
218,393;6,8
218,662;6,74
218,931;6,6
219,2;6,43
219,469;6,49
219,738;6,49
220,006;6,48
220,275;6,46
220,544;6,47
220,813;6,5
221,082;6,44
221,35;6,41
221,619;6,61
221,888;6,65
222,157;6,77
222,425;6,86
222,694;6,62
222,963;6,59
223,231;6,44
223,5;6,35
223,769;6,09
224,037;6,19
224,306;6
224,574;5,92
224,843;5,92
225,111;5,77
225,38;5,63
225,648;5,53
225,917;5,42
226,185;5,41
226,454;5,41
226,722;5,46
226,991;5,41
227,259;5,3
227,528;5,33
227,796;5,21
228,064;5,07
228,333;5,12
228,601;5,07
228,869;5,09
229,138;5,06
229,406;5,15
229,674;5,1
229,942;5,14
230,211;5,15
230,479;5,13
230,747;5,19
231,015;5,17
231,283;5,15
231,552;5,15
231,82;5,03
232,088;4,98
232,356;4,92
232,624;4,96
232,892;4,9
233,16;4,85
233,428;4,83
233,696;4,85
233,964;4,81
234,232;4,85
234,5;4,81
234,768;4,81
235,036;4,8
235,304;4,8
235,572;4,83
235,84;4,76
236,108;4,72
236,376;4,67
236,644;4,65
236,912;4,62
237,179;4,62
237,447;4,63
237,715;4,6
237,983;4,57
238,251;4,54
238,518;4,52
238,786;4,5
239,054;4,53
239,322;4,52
239,589;4,51
239,857;4,47
240,125;4,47
240,392;4,42
240,66;4,4
240,927;4,34
241,195;4,26
241,463;4,24
241,73;4,25
241,998;4,24
242,265;4,23
242,533;4,27
242,8;4,25
243,068;4,25
243,335;4,25
243,603;4,25
243,87;4,21
244,138;4,22
244,405;4,24
244,672;4,23
244,94;4,19
245,207;4,17
245,474;4,18
245,742;4,16
246,009;4,11
246,276;4,13
246,544;4,13
246,811;4,12
247,078;4,17
247,345;4,17
247,613;4,17
247,88;4,15
248,147;4,12
248,414;4,12
248,681;4,09
248,948;4,13
249,215;4,11
249,483;4,11
249,75;4,12
250,017;4,04
250,284;4,01
250,551;4,05
250,818;4,08
251,085;4,05
251,352;4,06
