User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
186,01;95,2
186,281;64,2
186,552;38,33
186,822;54,81
187,093;66,67
187,364;259,32
187,635;44,81
187,905;40,8
188,176;47,17
188,447;47,5
188,717;45,53
188,988;40,29
189,258;38,76
189,529;42,17
189,8;40,47
190,07;47,02
190,341;38,74
190,611;37,68
190,882;38,43
191,152;41,76
191,423;40,66
191,693;38,82
191,964;39,31
192,234;42,4
192,505;42,93
192,775;42,52
193,045;41,19
193,316;41,81
193,586;41,91
193,856;42,43
194,127;41,59
194,397;41,48
194,667;42,52
194,938;42,58
195,208;42,42
195,478;42,8
195,748;41,19
196,019;41,87
196,289;41,59
196,559;39,44
196,829;38,67
197,099;39,6
197,37;38,64
197,64;38,47
197,91;36,66
198,18;35,14
198,45;36,32
198,72;36,3
198,99;35,94
199,26;35,71
199,53;35,52
199,8;35,7
200,07;35,45
200,34;34,46
200,61;34,45
200,88;34,17
201,15;33,51
201,42;33,3
201,69;32,4
201,96;31,91
202,23;32,3
202,499;32,71
202,769;31,94
203,039;31,58
203,309;30,7
203,579;30,8
203,849;31,09
204,118;29,77
204,388;29,45
204,658;29,16
204,927;28,64
205,197;27,75
205,467;27,23
205,736;27,15
206,006;27,05
206,276;27,04
206,545;27,19
206,815;27
207,085;27,38
207,354;27,66
207,624;27,49
207,893;27,31
208,163;27,07
208,432;26,92
208,702;27,03
208,971;26,97
209,241;27,04
209,51;27,14
209,78;26,96
210,049;26,75
210,318;26,7
210,588;26,96
210,857;27,22
211,127;27,18
211,396;26,81
211,665;27,16
211,935;27,09
212,204;27,04
212,473;27,03
212,742;26,62
213,012;26,56
213,281;26,73
213,55;26,92
213,819;26,67
214,088;26,64
214,358;26,62
214,627;26,78
214,896;26,61
215,165;26,41
215,434;26,48
215,703;26,45
215,972;26,44
216,241;26,34
216,51;26,1
216,779;26,13
217,048;26,25
217,317;25,9
217,586;26,01
217,855;25,97
218,124;25,97
218,393;26,08
218,662;26,03
218,931;25,94
219,2;25,65
219,469;25,67
219,738;25,73
220,006;25,64
220,275;25,51
220,544;25,49
220,813;25,41
221,082;25,4
221,35;25,36
221,619;25,37
221,888;25,37
222,157;25,42
222,425;25,38
222,694;25,2
222,963;25,25
223,231;25,08
223,5;24,93
223,769;24,87
224,037;24,66
224,306;24,53
224,574;24,35
224,843;24,39
225,111;24,33
225,38;24,23
225,648;24,23
225,917;24,14
226,185;24,1
226,454;24,1
226,722;24,07
226,991;23,99
227,259;23,82
227,528;23,65
227,796;23,6
228,064;23,48
228,333;23,56
228,601;23,46
228,869;23,41
229,138;23,3
229,406;23,2
229,674;23,22
229,942;23,25
230,211;23,35
230,479;23,28
230,747;23,3
231,015;23,23
231,283;23,19
231,552;23,25
231,82;23,2
232,088;23,08
232,356;23,03
232,624;23
232,892;23,03
233,16;23,01
233,428;22,94
233,696;22,92
233,964;22,86
234,232;22,9
234,5;22,84
234,768;22,84
235,036;22,85
235,304;22,83
235,572;22,8
235,84;22,68
236,108;22,65
236,376;22,59
236,644;22,58
236,912;22,51
237,179;22,5
237,447;22,48
237,715;22,5
237,983;22,47
238,251;22,46
238,518;22,44
238,786;22,45
239,054;22,49
239,322;22,52
239,589;22,5
239,857;22,45
240,125;22,49
240,392;22,5
240,66;22,49
240,927;22,44
241,195;22,42
241,463;22,42
241,73;22,43
241,998;22,39
242,265;22,36
242,533;22,38
242,8;22,32
243,068;22,3
243,335;22,26
243,603;22,26
243,87;22,29
244,138;22,27
244,405;22,24
244,672;22,23
244,94;22,21
245,207;22,2
245,474;22,2
245,742;22,13
246,009;22,08
246,276;22,03
246,544;22,01
246,811;21,98
247,078;22
247,345;21,97
247,613;22,01
247,88;22,02
248,147;21,97
248,414;21,94
248,681;21,93
248,948;21,95
249,215;21,93
249,483;21,91
249,75;21,86
250,017;21,82
250,284;21,76
250,551;21,71
250,818;21,68
251,085;21,66
251,352;21,66
